chunk_id,window_start,window_end,text,binary_hit,confidence
0,0:00:00,0:02:00,"[00:00–00:30]
We're good? Okay, great. Um sorry to start a little bit late, everybody. Um we had some hearings
that ran over. Um good evening. This meeting is now convened at 5 41 p.m. I would like to ask that
everyone please silence your cell phones. A quorum of the board members is present in the board
auditorium. They are from my right on the platform Cassandra Ozan Bandy, Michelle Cruz Arnold,
myself, Audrey Mominae, Rick Campo, Rolando Martinez, Paula Mendoza, and Adam Ravon. Um there are
some elected officials here.

[00:30–01:00]
tonight with us. So if you don't mind standing and being recognized, we'd appreciate that. Any
elected officials want to be stand thank you. Thank you for being with us this evening. We will now
be joined by a member of the Junior Reserve Officer Training Corps to lead our pledges. I would like
to ask that Mr. Martinez please introduce the pledge leader for this evening. Thank you, Madam
President. Uh Cadet First Lieutenant Naemma Anderson is a junior with Jack Yates High School. As a
19th Battalion Logistics Officer,

[01:00–01:30]
She supports 168 cadets in the program. Naemma maintains a 3.6 grade point average and is enrolled
in college level classes while being actively involved in her school. She is a member of the
volleyball and softball teams and participates in girls' flag football. Upon graduation, she plans
to attend the University of Southern California to pursue a degree in computer engineering. Her
hobbies include sports, gaming, and programming. Once again, cadet first lieutenant Naema Anderson.
Thank you.

[01:30–02:00]
Please rise for the Pledge of Allegiance. I pledge allegiance to the flag of the United States of
America and to the Republic for which it stands, one nation under God, invisible, with liberty and
justice for all. Honor the Texas",0,3
1,0:02:00,0:04:00,"[02:00–02:30]
flag. I pledge allegiance to the Texas, one state, under God, one and indivisible. Thank you. All
right. Thank you, Cadet First Lieutenant Anderson. I would now like to ask that board member Paula
Mendoza read our recognition regarding bullying, uh bullying prevention month.

[02:30–03:00]
A proclamation on Bullying Prevention Month, October 2024, whereas each October is National Bullying
Prevention Month, a nationwide campaign to call attention to the serious consequences of bullying
and to take an active role in its prevention. And whereas bullying and harassment and pervasive
problems at schools throughout our city, state, and our nation

[03:00–03:30]
With one in five students reporting they were bullied at school. And whereas bullying and harassment
cause lasting physical, social, and emotional harm to our children, including a much higher risk of
poor academic achievement, absenteeism, and dropping out of school. Therefore, be it resolved that
we, the school board of the Houston Independent School District, and the Superintendent of Schools,
do hereby proclaim October 2024 as bullying prevention month in.

[03:30–04:00]
Intervention Month in HISD in hopes that it may raise awareness and help and end bullying and its
traumatic impact on children. Houston, Texas, this 10th day of October 2024. Thank you. This evening
we are going to hear from our speakers in a different order from usual because we are going to first
hear folks with respect to Agenda Item 1, Board Monitoring Update, Presentation of Goal 3, Progress
Measures 3.1 and 3.2.",0,5
2,0:04:00,0:06:00,"[04:30–05:00]
3.2. The speakers have been notified about the um the change in the order. Please note that Spanish
live captioning is available to those who are viewing the meeting via live stream, and live Spanish
interpretation is available in person in the auditorium. If you need it, please talk with the ladies
in the back. Public comment during school board meetings will only be available to those persons who
have signed up to speak prior to the meeting time per current protocol. Verbal and other disruptions
by persons during the school board meetings are not acceptable as they inhibit the board's ability
to conduct business and the public's ability to observe those processes. Persons who

[05:00–05:30]
participate in such behavior will be given one warning, and if the behavior is repeated, they will
be asked to leave a meeting. Tonight we have 163 total registered speakers. 36 of them are
registered for item one. Speakers will be limited to one minute each per board policy as we have
more than 30 people registered to speak. We ask that you please stay on topic and refrain from
naming individuals, especially students, as their identity is protected under the law, but you may
name your own child. I ask that you please respect our procedures and the other speakers and end
your comments promptly when your time has expired and the timer rings. This evening we'll

[05:30–06:00]
start with public officials and I would ask that State Representative Jane Wu please come to the
microphone if you wanted to speak. Yes, sir. Thank you. Um thank you for allowing me to be here
today. Uh I'm here to uh speak up and oppose the uh HISD bond proposal. Um my purpose of saying this
is I have lots of reasons, but I think only since I don't have a minute. My issue is that I don't
have any faith in uh Superintendent Miles or this board to over",0,5
3,0:06:00,0:08:00,"[06:00–06:30]
Board to oversee him and to make sure that the funds are not misused, that the community's
considerations are uh are taken into consideration, um, or that the trustees here will actually
listen to people and change their plans and modify them and do what the community actually wants
with the money instead of what Superintendent Miles wants to do with the money. And this is
following a pervasive plan to silence people throughout HISD, silence teachers, silence principals,
fired.

[06:30–07:00]
Principals of the year because we knew that they would speak up and oppose things that were not good
for students. And with because of that, I think everyone should oppose this bond because there is no
trust. Thank you, sir. Um, with state representatives, I've got Molly Cook and Jolanda Jones. Either
of you want to come up first? Good evening, y'all. I'm State Senator Molly Cook representing quite a
few of the schools in HISD, and I wanted to

[07:00–07:30]
come and tell y'all that I've been wrestling with the bond, been talking to constituents, talking to
experts, talking to impacted community members, and no one has been able to convince me, even with
all the issues in our schools, with the issues with the facilities and what children and teachers
are dealing with, no one has been able to convince me that this is a good idea. And at the end of
the day, if there is no trust, then I am encouraging my constituents not to vote for the bond. And
Superintendent, Superintendent, I very much appreciate you and Audrey and Michelle.

[07:30–08:00]
making time to meet with us the other day and appreciate those conversations where we can go back
and forth. But I do want to say to y'all and to everyone listening and tuning in from home, I do
trust our teachers when they tell us do not vote for this government. Thank you all so much. Thank
you. Representative Jones. Yes, ma'am. Bully Mike Miles, you uncertified superintendent who was run
out of Dallas, and your unelected rubber stamp crew have created a very health and safety.",0,5
4,0:08:00,0:10:00,"[08:30–09:00]
issues you now complain of. On one Friday, you fired over 1,200 support staff, people who could have
fixed broken ACs and mowed the lawns. You cut essential principals, teachers, wraparound services,
and special ed experts, yet push a bond knowing it won't cover salaries. You've wasted money on
adult soul cycles and started in a $500,000 play instead of spending it on life saving
defibrillators. You funneled $41 million of our Texas tax dollars to your failing Colorado charter
schools. HISD wouldn't even qualify for a $1 million home repair loan under your bond plan. You do

[09:00–09:30]
Plan. You disrespect students, parents, teachers, and taxpayers while paying administrators up to
$150,000 more than certified teachers. We don't trust or respect you. And your voters and your
voters should vote against HISD bond props A and B. We're smarter than you think. We'll prove it at
the polls.

[09:30–10:00]
Um, I want to remember um Scott, the CTO, he was a great man at his funeral. There was no unkind
word spoken about him, and so I just want to model that type of life. And so, my moral obligation I
told my congregation that the word of 2024 was rebuild. It wasn't co-location, it wasn't closure, I
said rebuild. And so I can't tell my constituents that their neighborhood school has the right to be
closed, and so they will be going to the",0,5
5,0:10:00,0:12:00,"[10:00–10:30]
poll. We have registered thousands upon thousands this summer. And on October 21st through November
1st, we will be at the poll. And one thing that I appreciate, the Republican chair and the
Democratic chair, for the first time in history, we are bipartisan on something. They came to me and
said that I should have the same quality education on my side of town that they have on the west
side. That my children should not have to get on a bus to go to the best school, but the best school
should also be in my side.

[10:30–11:00]
of town. And so because of that, Mr. Miles, you have done something that no one thought you could
do. You changed Texas politics, everything. Thank you, Mr. Miles. I have Mr. Gomez, Placido Gomez.
Is he here? Trustee Gomez? No, okay. All right. And I appreciate um all of you being here this
evening. I think the full board is, and um, I know Mr. Miles does as well. We'll now hear from
speakers who identify themselves as students when they checked in this evening. Um, and if speakers
will please identify

[11:00–11:30]
yourself when you step to the microphone. That would be appreciated. Let me get to my list. Our
first student is Adidas Sage Bittner. Is she here? And then I'll just um call out the rest of the
students so they can. If if the student speakers could come forward, actually, there's some safe
seats up here for the kids. Um so I've got um Adita Sage Bittner, Luca Candida, Naya Dewart, Sohani
Dewart, Eliana Gottlieb as the next few.

[11:30–12:00]
speakers. You can go ahead. Hi, my name is Adidas H. Bittner, and I'm a fifth grader at Conset
Elementary, speaking on item one. I know adults want us to do well in school, but students are more
than test scores. We have dreams, talents, and interests that can't be measured on a bubble sheet or
completion status. Imagine if Harry Potter was only judged by his grades at Hogwarts. He'd still be
in the cupboard under the stairs. We need teachers who are passionate and qualified to teach career
and technology education, CT.",0,5
6,0:12:00,0:14:00,"[12:00–12:30]
Education CTE classes. How can we learn without great teachers to guide us? No one would take
potions class if Snape wasn't there to teach it, even if he was scary sometimes. And most
importantly, we need options that match our diverse interests. Every kid is different, like how some
people like Quidditch, while others prefer wizard chess. So let's make sure CTE has something for
everyone, not just a few things. Thank you. No trust, Navan. Thank you. Our next speaker is Luca
Candida. Luca.

[13:00–13:30]
Hola, soy Luca Candida. Could we have two minutes please? You will okay then get started. Yeah. This
is the time. Yep. Okay, go ahead. Soy Luca Candida. Antes me gustaba la escuela, pero

[13:30–14:00]
Hi, I'm Luca Candida. I used to like school, but now a little less. It feels different. It used to
be that we had lots of parents volunteering helping out the teachers, but now they're not there
because of so because of all the exams.",0,5
7,0:14:00,0:16:00,"[14:00–14:30]
Los maestros stand estressados, asustados y cansados. All the teachers are stressed out, they're
afraid, and they're tired. And they also get angry quicker. I've been talking, I've been here
talking for about a year. Or I come here I've been coming for a year talking.

[14:30–15:00]
When are you gonna listen to children like myself? Do your children need to begin hating school for
you to care about it? Thank you. Our next speaker is Naya Dewart. Good afternoon.

[15:00–15:30]
I'm Naya Dewart. You want us to say yes to spending $4.4 billion on schools, but it could turn into
$8.9 billion in debt over 30 years. That's a lot more money. Families could already have a hard time
paying for everything. We all know schools need money, but how can we agree to this without knowing
for sure it will help us and not just cost for too much later? Can you try?

[15:30–16:00]
Can you tr explain how we don't end up paying too much in the future? No trust, no bond. No trust,
no bond. No trust, no bond. Thank you. Our next speaker is Suhani Dowart. Mr. Miles, we're in the
second year of the undemocratic takeover and you still haven't improved HISD. Libraries and books
have been replaced by unused spin bikes. Map tests and team are really detention centers. Our
curriculum",0,5
8,0:16:00,0:18:00,"[16:00–16:30]
which was partially AI generated, values standardized testing over good teachers or extra time for
something fun. Educators are paid more for being bullied, and students don't have electives on NES
campuses. You sent millions of tax dollars to your charter in Colorado and expect us to trust you
with $4.4 billion when that third future money could go towards making sure students are drinking
lead. Miss Momonae, at the last meeting you were more worried about an F bomb than honoring a
student who died because you trust Mr. Miles.

[17:00–17:30]
plans, which never include checking ADs. Board of managers, don't expect us to trust you. No trust,
no bond. No trust, no bond. No trust, no bond. Our next, thank you. Our next speaker is Eliana
Gottlieb. And then our next students, our next student speakers are Zephyrus Kahn, August Longoria,
Rosalie Longoria, Helen Maddox.

[17:30–18:00]
Eliana Gottlieb? Is Eliana here? No? Okay. Um Zephyrus Khan? Yeah. Okay. August Longoria. August
Longoria? Okay. And um, you've got two kids, yes, August and Rosalie. So whatever order you guys
want to go. Go ahead. Okay. An interpretation of Latters and Words by Jonathan.",0,5
9,0:18:00,0:20:00,"[18:00–18:30]
Lawson. Cages or wings, which do you prefer? Ask the birds. Oh, books. Or sheets or books. Which do
you? Which do you prefer? Ask the kids. Fear or love, don't say the answer. Actions speak louder
than words. Why do we nod our heads?

[18:30–19:00]
although we know the boss is wrong as rain. Why? Why does you do you always vote yes? Although we
know the superintendent is wrong as rain as rain. How can we how can you hear our voices being
violent? Thank you. Thank you.

[19:00–19:30]
Our next speaker is Helen Maddox. Helen Maddox. Mrs. Maddox, go ahead. Hi, I'm Helen Maddox. I'm a
senior at a comprehensive HISD high school, and this is my first time speaking. I'm reading the
statement of a teacher who left HISD and was not allowed an exit interview. I wanted to do this
because HISD has lost too many good teachers since Mike Miles has arrived. And the board does not uh
the board

[19:30–20:00]
needs to understand why. Students lose out when teachers leave. At my school, students can feel the
stress radiating off the teachers and administration, and I'm afraid they will leave. I would rather
learn in a school with no air conditioning than in a class without a certified teacher. My statement
is by a certified teacher with more than 21 years of experience and a master's degree. They taught
at an NES high school and they left the district because of the Miles administration. They said
harassment, even if not directed at me, is stressful. The NAS program does nothing to prepare my
students for college. Thank you. No trust, no bond.",0,5
