chunk_id,window_start,window_end,text,binary_hit,confidence
0,0:00:00,0:02:00,"[00:00–00:30]
Okay, good afternoon. This meeting is now convened. Uh the time is uh 3 07 p.m. I would like uh to
ask everyone to please silence all cell phones. A quorum of the board members is present in the
board auditorium. They are from my right on the on the platform. Cassandra Zan Bandy, Michelle Cruz
Arnold, Jeanette Garza Lind Linder, myself Rick Campo, Audrey Mo Mani Mo.

[00:30–01:00]
Mo men, i.e. uh. We also have Rolando Martinez, uh Paula Mendoza, and Alan Ravon. Uh we have some
public officials in the audience this afternoon. Savant Moore, good to see you. I think that's it
there. I can't really see that far. Uh today uh we have speakers uh to the agenda. We will uh now
hear from our registered speakers. So we'll begin with uh public officials, followed by student
speakers. We'll then hear from the remaining

[01:00–01:30]
in-person speakers and Zoom speakers. Public comment during school board meetings will only be
available to those persons who have signed up to speak prior to the meeting. Time per current
protocol. Verbal and other disruptions by persons during the school board meetings are not
acceptable as they inhibit the board's ability to conduct business and the public's ability to
observe those processes. Persons who participate in such behavior will be given one warning, and if
the behavior is repeated, they will be asked to leave the meeting. We have 18 speakers today who
will be limited to two minutes each per board policy. We ask that you stay on.

[01:30–02:00]
topic and refrain from naming individuals, especially students, as their identity is protected under
the law. But you may name your own child. I ask that you please respect our procedures and that
other speakers at the end of comments promptly prompt promptly when your time has expired and the t
and the uh timer rings. We'll start with public officials. Uh will HISD Board of Education Trustee
Savant Moore. Good to see you.",0,
1,0:02:00,0:04:00,"[02:00–02:30]
Today is a historical day. Um one of my schools, Wheelie Ann Yates, will be playing in the um
regional finals if they're two more games away from a state championship. And so when I think about
a budget workshop, it's very important that when you make the decisions with your um with the
finances that you think of those children. I know many of those young men because they play sports
with my children football, basketball, track. So I know them personally and I know the railroad
tracks that they have to cross. So please consider your busing.

[02:30–03:00]
I know the young lady, she just texted me. She was able to pay for her housing, going to Stephen F.
Austin. She's gonna graduate this May. The challenges that she faces in Kelly Village in my
neighborhood, think of wraparound services. Think of the importance of why we should have a library.
I do thank the superintendent and his team because I know in Northeast Houston, academically, we
have improved. And so I appreciate you in that regard of making sure that you uplift their reading,
you uplift their math because it's important. But less

[03:00–03:30]
But let's make sure that what that constituent said when she was disappointed, that's real. It's not
fake news, it's real. And so please you have an opportunity to not disappoint the public when it
comes to the finances. Let's do right this term. You have another opportunity to for a second
opportunity, a second chance for the public to say, hey, he listens to us and he changes. And so I
hope that you do that. Thank you for everything that you do. I hope that you have a great day. I'm
about to unrun.

[03:30–04:00]
To um run because I'm gonna get my haircut and go to this game of being so excited, but I'm proud of
all of them and I'm proud of you. God bless each of you and God bless HISD. Thank you. We'll now
hear from uh speakers who have identified themselves as students when they checked in today. Uh
speakers, please uh state your name and topic um when you spec uh when you step to the microphone.
Uh Ms. Smith, uh, please call our speakers. So my understanding is we our student speakers did not
um attend today. Is that correct? Are there any student speakers? Okay.",0,
2,0:04:00,0:06:00,"[04:30–05:00]
Okay. Okay, thank you. So we can move on to speak regular speakers. Okay. Um I I will um welcome uh
board member uh Angela Flowers. Good to see you. Okay. Um next we'll call the in-person speakers to
the microphone. The uh will the first ten speakers come to the front row again. Please state your
name and topic uh when you begin speaking. Speaker number one.

[05:00–05:30]
Okay, well go ahead and Miss Smith, why don't you call the speakers? Where is she? No numbers. Go
ahead. Hi, my name is Anna Luciaga, and I'm a parent and I'm a part of this community. And I'm here
to talk to you about the budget. Um we've asked for transparency over and over again. It's 3 p.m. in
the afternoon, and I had to take off of work to be in here. And I'm I'm glad to do that, but I'm not
gonna be making income this afternoon. Okay, that's

[05:30–06:00]
part of a budget that will be a shortfall in my house. How do you guys actually listen to the
community? Because I feel I was last year in budget workshops where I was spoken to. Mr. Mike Miles
over here, you have done a lot of stuff unilaterally with our public funding. It's our public
education for our students and for our teachers. Not for you to unilaterally go ahead and have a
show or",0,
3,0:06:00,0:08:00,"[06:00–06:30]
Or decide to do marketing and advertising for a bond that failed due to the fact that we don't have
transparency. I want to trust you. I have hope for you guys. But I also have a lot of shame. We're
here for all the right reasons. Show us that. Show us that you actually are listening and engaging.
We don't just want to come up here and talk forever. We don't. We don't get the chance to. This is
our one chance. Please engage with us.

[06:30–07:00]
Let us know what you've spent the money on. What have you spent the money on? Brick campus. Wow. You
just got honored. Why? I really don't know. I'm sad. But I want to have some kind of faith in this
board. Show us transparency. Thank you. We'll be calling speakers by alphabet.

[07:00–07:30]
Speakers by alphabetical last name, Trista Bishop Watt, followed by Christy Brewster. Good
afternoon. I'm Trista Bishop Watt with Houstonians for Great Public Schools. As the board begins the
annual budget approval process, I urge you to consider the following principles to effectively
prioritize resources and ensure every student has the support they need to succeed. Student outcomes
should be the heart of the budget process. Resource allocation must align with the board's goals,
and workshops should clearly show how the budget will advance the.

[07:30–08:00]
district's strategy for student growth. Equitable resourcing is essential. The district's district
must continue to prioritize campuses and students with the greatest needs to close achievement gaps
across the district. The district must also maintain transparency. We appreciate the earlier start
this year and encourage the board to ensure that the public has timely, accessible information for
meaningful feedback. Long term financial planning should be a priority. Enrollment has been
declining in the district for over a decade now, and that underscores the need for",0,
4,0:08:00,0:10:00,"[08:30–09:00]
Overscores the need for careful future planning. We recommend five year financial forecasting to
keep track toward a balanced, sustainable budget. Lastly, regular reviews of budgeting practices are
crucial for accuracy and efficiency. Building on the past work of this administration, consider
policies for periodic efficiency audits to help identify areas for improvement. Thank you for your
time and your consideration. Thank you. Christy Brewster, followed by Jessica Compos.

[09:00–09:30]
Judith Cruz, followed by Catherine Danis. Buenas tardes. Um I appreciate the budget conversation
starting in February, so thank you for scheduling this workshop. I hope to see alignment of the
budget to the board goals, since per Lund Star governance, the resource allocation to meet the
board's goals should be the first priority. For board board goal three, there is incentive money
from the state for these student outcomes that actually put students

[09:30–10:00]
on a much clearer post secondary path that gives them options, and the return on investment is
significant. We are talking about millions and millions of dollars. 50 million is what HISD left on
the table just last year alone. Also, are we on track to be fully approved for the teacher incentive
allotment? This will also unlock millions of dollars, and designated teachers in the state of Texas
are retained at eight percentage points higher than their peers. And how much are we spending per
student? How do we ensure our students with high needs are receiving the weighted funding at any
campus?",0,
5,0:10:00,0:12:00,"[10:00–10:30]
they attend to ensure their needs are also met. We have students with high needs across each of our
campuses. The last thing I want to address is the ever growing deficit. Two years ago, you inherited
a substantial deficit. You adopted a budget with a large deficit in June, but now here we are two
years later, and the deficit still looms. Regardless of past boards and superintendents, this budget
and deficit is now yours. We don't have yet what will get past this legislative session, but even in
the best scenario, the basic allotment income.

[10:30–11:00]
basic allotment increases very slightly and will not be enough to address our enrollment decline and
deficit. Please help us understand how the district will address these complex challenges. Gracias.
Thank you. Catherine Donis. It's very easy to spend other people's money, isn't it Mike Miles? The
oops, I spent $870,000 without board approval is an honest mistake, isn't it? We all know private
businesses go broke with incompetent management, don't they?

[11:00–11:30]
They, especially when there's no property accounting or paper trail. Again, there's no
accountability on your end. Miles, you wasted our children's money by taking care of your cronies.
People who are willing to give and receive dishonest help, you cannot use flattery to gain favor
from us, the public, because we know that you, Miles, are not doing what was attended with the
money. Harming hundreds of thousands of underprivileged children, you have yet to show as the public
that you, Mike Miles, are complying with funding regulations. Did you illegally redirect redirect
the denettle to increase your cronies' salaries? Because it sure looks that way.

[11:30–12:00]
We, the public, will continue to speak out to make sure the money goes to the schools for the sake
of the underprivileged children and not your cronies. We will make sure there's no oops again. How
much did you pay Sheridan Miles, your sister, and Michelle Ray? And how did you, Mike Miles, get a
healthy bonus after mixed evaluation? Why is your annual performance evaluation confidential? We've
got the facts from Houston Chronicle. After all, you earned sixty-six point seven of the one hundred
possible points of evaluation according to the Board of Manager evaluation. You received a bonus of
one hundred and twenty six thousand.",0,
6,0:12:00,0:14:00,"[12:00–12:30]
126,730 or 66.7 of the 190,000 maximum bonus. HISD released a confidential review, the Houston
Chronicle, in response to an open record request. It's time for us to request an audit report.
Miles, why is it that the auditor only reviewed the largest purchasing order and within each project
and not the entire project? The audit did not list which specific purchases or projects or projects
the external auditor had sampled. Corrupt practices and financial access are closely related, isn't
it, Miles? Oops, did I say that?

[13:00–13:30]
Thank you. Ann Eagleton, followed by Eileen Harrell. Hello, I'm Ann Eagleton. I have to say, coming
into this budget season, I'm already in a bad mood. I'm trying to understand why taxpayer money was
spent on destination transformation. I'm unclear how inviting third future employees and board

[13:30–14:00]
members, vendors. What did that have to do with helping our students? We don't know how much it cost
yet, but I'm guessing instead of putting money down a rat hole, you could have actually used that
money to patch up real rat holes at Lanier Middle School. We don't have the money to waste on an
education summit that is a vanity project of Mike Miles. It did nothing to enhance our students and
the experience they are getting at HISD. And there better not be another one of these things in next
year's budget. I don't know if any",0,
7,0:14:00,0:16:00,"[14:00–14:30]
of you attended it. I don't know if I paid for your cocktails and light bites at the West End, but I
sure hope you all had the sense to stay away from it because it's not a pretty look going into
budgeting with the deficit that we have. It's completely irresponsible for you to sit around and let
this kind of stuff go on. And I see you have a smile on your face. You must have enjoyed the
cocktails and light bites. For the budget, I really need all of you to take off the rose colored
glasses, get your brains out of the overhead bin, and take a good hard look.

[14:30–15:00]
at the budget and what we're spending our money on. We are in financial trouble. NES isn't
sustainable. Just pull the financial statements for third future schools, and you are gonna see more
as so much red ink, you're gonna think it's a crime scene on there. They're drowning in debt. This
is the path we are on drowning in debt. You need to get a handle on how much NES really costs. Not
fanciful numbers, but how much is it really costing? Is this sustainable? You also need to weigh in
there, families are

[15:00–15:30]
Thank you. Eileen Harrell. Followed by Sean Leader. Eileen Harrell, good afternoon. Thank you for
beginning the budget discussion today. Whether we're looking at achievement data or aligning budget
expenditures with student outcome and achievement goals, where we focus our oversight is vitally
important. If we think of this question like a recipe for a cake, a list of ingredients is
insufficient. Knowing to add flour, sugar, vanilla, baking soda, and mixing and baking.

[15:30–16:00]
will not result in a very good cake. The details actually matter. We need student level data from
every campus because that is where the students are and where the learning happens. Disadvantaged
students, gifted students, special needs students, and English language learners exist on every
single campus. And this data exists. Delving into the specifics will allow you to see how funds are
being spent to meet the priorities and goals you have set on behalf of this community. It
demonstrates how many students on each campus.",0,
8,0:16:00,0:18:00,"[16:00–16:30]
have certain needs, and whether there are actual funds at the campus level to meet the students'
needs. To do right by our 174,000 students on our 273 campuses, we need to look deeper. We are in
this intervention because aggregate numbers bury the hard truths that student, campus level, and
subpopulation data reveal. It will allow for true comparison and understanding of the per pupil
spending on NES and PUA and SUS campuses.

[17:00–17:30]
Comparing that per pupil rate with the actual enrollment trends on individual campuses is vital to
making sure that we're building an equitable and sustainable model for the district as a whole.
Comparing our actual spending trends against budgeting projections and trueing it up is crucial. And
so is right-sizing this district. The task before us is huge, but students are counting on us to get
it right. Let us build a detailed recipe. Thank you.

[17:30–18:00]
Sean Leader, followed by Brooke Longoria. Tracy Riley, followed by Flor Vivar. Good afternoon. I'm
Brooke Longoria, and thank you for today's budget workshop. As you enter today's budget workshop, I
want you to think about what you're funding. Currently, you're funding an unsustainable NES model.",0,
9,0:18:00,0:20:00,"[18:00–18:30]
You're funding Mike Miles buying his preferred desks that sit in hallways. You're buying smart
boards to be on top of other newly purchased smart boards. You're purchasing spin bikes that nobody
wants and that sit unused in cafeteria. You're funding the closure of libraries. You're funding
novels not being read in schools. Today is, I don't know, where are we at? February 28th. My fourth
grader still hasn't read a novel. You are funding a mass exodus of teachers. You are funding a mass
exodus of students. All of this is the result of superintendent.

[18:30–19:00]
Miles' poor policies and planning. This is your opportunity to reverse course. This is your
opportunity to say, no more NES, we will not be funding it. This is your chance. This is your
opportunity. I hope you take advantage of it. Additionally, what else are you funding? You're
funding the increase in the administrative staff. What if it was um there were 28 in 2003, and now
there's 60 people making over $200,000? You're funding a bloated bureaucracy, is what you're
funding. What else are you funding?

[19:00–19:30]
Funding. Um, you're funding you're funding silent lunch. You're funding middle schoolers who are not
allowed to speak in hallways and they have to walk in silence and they never get a moment to
decompress and talk to their friends. Uh, you are funding a culture of fear and teachers who are
afraid to talk to parents and tell them what's happening in the classroom. You are funding um
however many people showed up to speak at a budget meeting, which is bizarre because it's usually
two or three. I know because I've watched at my home in the past, and there aren't usually speakers,
and there are today. So think about that, and good luck.

[19:30–20:00]
Thank you. Tracy Riley, followed by Flora Vivar. Thank you for the opportunity to be here today and
echoing the sentiments of other speakers. Thank you for starting this process earlier. Affording us
the opportunity for transparency or the perception thereof is huge. I think as you all commented on
the bond that you were going to make the approach to be more community-driven.",,
