chunk_id,window_start,window_end,text,binary_hit,confidence
0,0:00:00,0:02:00,"[00:00–00:30]
Noting that a quorum is present, I hereby call this regular board meeting of the Board of Trustees
of Katie Independent School District to order. Today is Monday, March 31, 2025, and the time is 501
p.m. Dr. Grigorsky, will you verify that we are in compliance with the provisions of the Texas Open
Meetings Act with regard to the notice for this meeting? Mr. President, I do confirm we are in
compliance with the provisions of our Texas Open Meeting Act for our meeting tonight. And we're
going to go ahead and jump right in and start off with our uh pledge.

[00:30–01:00]
leader, who I'm gonna bring up in just one moment. But we've got Logan Langey. Here's fifth grade
over at Fielder. Principal, I see her out there, Christina Borgstadt, parents Brittany and Cole
Lange. Got a sister Emma in the eighth grade. Special interests, cooking, reading, the Crave MAGA
self defense in Amazing Shape Club. Maybe we'll hear some of that today. And from principal um Mrs.
Borgstadt. Logan is a remarkable young man who brings so much to Fielder Elementary.

[01:00–01:30]
He recently was named the winner of Fielder's amazing Shake competition and truly exemplified the
spirit of servant leadership by consistently prioritizing the needs of both his teammates and
customers, fostering an environment of trust and respect. Logan will do great things in life, and it
is an honor to be his principal. And from Ms. Delane, fifth grade teacher, Logan is an outstanding
young man. He daily demonstrates excellence in his academic endeavors and empathy towards his
classmates. He was recently selected as the winner of Fielder's second and.

[01:30–02:00]
Winner of Fielder's second annual Amazing Shake competition, which he successfully ran a restaurant
that he named uh Falco Fantasio is also a vivacious individual. Stay tuned. He is currently
compiling a recipe book as well. So before we bring up our pledge leader, I want to also introduce
uh our Conbrio from Beck Junior High, who will be performing the national anthem after the pledges.
So from Beck Junior High, Principal Dr. Leah Radloff is our Conbrio group.",0,5
1,0:02:00,0:04:00,"[02:00–02:30]
music directors Shannon Skillman and Hatie Valdez, students with us tonight, Tyler Auer, Maddie Bru
Babrowski, Abby Carroll, Sofia Denkovska, Jose Fernandez, Emily Freeman, Kathy Garapu, Riley Lewis,
Noelle McClure, Julian Ortega, Abby Ransom, Zoe Singer, Taylor Sleuse, and Lila Wilkins. And from
our directors, Beck Junior High's Performing Ensemble, Conbrio.

[02:30–03:00]
Conbrio is comprised of advanced musicians dedicated to exploring new techniques and high
musicianship in a mixed choir. Students in this group rehearse twice per week before school. These
singers are leaders on campus, are involved in many activities. Most of them are involved in sports
on and off campus. Many hold officer positions in organizations like NJHS, Student Council, Quiz
Bowl, Destination, Imagination, Cheer, and Theater. So let's go ahead and invite up our pledge
leader, and we'll start there, and then we'll do the national anthem.

[03:00–03:30]
I pledge allegiance to the flag of the United States of America and to the Republic for which it
stands, one nation, under God, indivisible, with liberty and justice.",0,5
2,0:04:00,0:06:00,"[04:30–05:00]
On so broadly re hell that the twilight star screening Moose was stripes and bright stars through
the hairless spice Or the road but we wash for soundly streaming And the rockets red glad the
monster in air They grow through thy flag

[05:00–05:30]
But our flag was still there. Who stayed us as our strangle dwell with the love of bread?

[05:30–06:00]
Logan, you have some remarks you're gonna give us tonight? Okay, you can come on back up. Go ahead.",0,5
3,0:06:00,0:08:00,"[06:00–06:30]
It's such an honor to be here today and lead the pledges for you this evening. One of my favorite
things at Fielder was the amazing shake competition. It was a fun experience to show my people
skills, manner and manners. And I learned from the feedback sessions that I sometimes need to show
more of myself when giving speeches. Another really interesting thing that I've done at Fielder was
dissecting a cow eyeball and challenge. At the beginning I thought it would be disgusting, but when
I actually got to the dissection, it was interesting but definitely odd. I love to read and I'm not
sure what I want to do as a career, but I'm thinking about maybe being a teacher.

[06:30–07:00]
Thank you for inviting me here tonight for taking the time and taking for the time to listen to my
speech and learn a little about me. Thank you. Mr. President. Congratulations. Mr. President, point
of privilege. Logan, would you put me on the list for one of your cookbooks when it's ready? Okay, I
love to cook too, so I want one of your cookbooks, okay. Um

[07:00–07:30]
Um lunch by the restaurant that we have to uh analysis. Well done. And congratulations.",0,5
4,0:08:00,0:10:00,"[08:30–09:00]
Pretty much we're back. Yeah, we need the back. Thank you, uh, wire. That was fabulous. I mean it's
all the blue. It was very beautiful, it's very common. So here's a special backwards I think.",0,5
5,0:10:00,0:12:00,"[10:00–10:30]
Thank you. All next up on our um agenda are some recognitions that we're gonna take care of at this
time. I'd like to introduce uh Rachel Ross, General Manager for Media Relations for the recognitions
portion of our meeting.

[10:30–11:00]
Good evening, President Perez, Trustees, and Superintendent Grigorsky. Our first recognition this
evening is a testimony to the dedication, teamwork, and hard work our students demonstrate each and
every day. At this year's state leadership development event, the Katie and Tompkins High School FFA
chapter walked away as state champions. The Katy High School Senior FFA quiz team earned the top
prize in the Texas FFA chapter agricultural quiz, while the FFA Green Hand Quiz Team from Tompkins
High School won first place in the FFA Green Hand quiz.

[11:00–11:30]
At this time, with the members of the Katie High School Senior FFA quiz team, please come forward.
Samuel Burns and Sam Weathers. Emma Beeson and Jackson Peltier are not in attendance but are also
part of the team. Along with them are their sponsors, Megan Comb, and joining them will be Katie
High School Principal Katie High School Principal Dr. Rick Hall and Jeannie Kaneerum, Director of
Career and Technical Education.",0,5
6,0:12:00,0:14:00,"[12:00–12:30]
Congratulations to you all. Now we invite the members of the Tompkins High School Green Hand Quiz
team to please come forward. Melania Coop, Isabella Montacias Garcia, Sofia Moran, and Lauren
Petronella, along with their sponsor, Madison Pazinski. And joining them will be Tompkins High
School Principal Elizabeth Brott and Jeannie Kaneerum, Director of Career and Technical Education.

[13:30–14:00]
Congratulations. To introduce our next recognition, please welcome Damon Archer, Executive Director
of Fine Arts.",0,5
7,0:14:00,0:16:00,"[14:00–14:30]
Thank you, and thank you, President Perez, School Board, and Dr. Gorski. Earlier this year, KDISD
earned the top three spots in the UIL 6A Division I Spirit State Championship held in Fort Worth.
UIL Spirit recognizes the vital role of cheerleaders play in their school's culture. At the State
Meet, schools compete in three categories: crowd leading, fight song, and band chant. Tonight, we'd
like to honor and recognize the talent, determination, and the government, and the government,

[14:30–15:00]
Talent, determination, and drive that led the May Creek High School cheerleaders to bring home first
place gold medal. Will the May Creek High School cheerleading team please come forward, as well as
their coaches, Megan Montgomery, Camilla Wright, Taylor Incalarde, Principal Lizzie Herring, and
Lakeisha McGowan, Assistant Director of Fine Arts.

[15:00–15:30]
Parents, there are some chairs on the front two rows that are empty if you want to come up and get
some better pictures. Parents of these wonderful girls, there's some empty chairs right here if
you'd like to. And also, school board, they had medals for y'all if y'all got them for you. Thank
you.",0,5
8,0:16:00,0:18:00,"[17:00–17:30]
Wow. That's a lot to ask.

[17:30–18:00]
How many phones is it? Hello again. How are you doing? The girls are like, oh that's not like that
was thick. I saw you.",0,5
9,0:18:00,0:20:00,"[18:30–19:00]
Oh yeah. Congratulations. Yes, sure.

[19:00–19:30]
To present our final recognition this evening, I'd like to introduce Lance Carter, Executive
Director of Athletics.

[19:30–20:00]
Today as a proud Maid Creek resident, I want to say that was incredible and that was awesome, and we
are so proud of them. That was and I'll also state this that I think it's only fitting that one of
y'all, if y'all would like to come down and take her on real quick after this, you know, uh we'll
we'll we'll knock that out real quick, also. Uh 2025, the UIL tournament was held at the Barrie
Center and included the 6A wrestlers and contenders from all over the state of Texas. All nine of
our high schools qualified uh wrestlers for the state tournament. KDISD was blessed to have 16 total
medal.",0,5
