chunk_id,window_start,window_end,text,,,,,,,binary_hit,confidence
0,0:00:00,0:02:00,"[00:00–00:30]
I call this regular meeting of the Spring Branch Independent School District Board of Trustees to
order. Let the record show that the time is now six o'clock and a quorum of board members is
present. Chris Ernest is not in attendance. This meeting has been duly called, and the notice for
this meeting has been posted in accordance with the Texas Open Meetings Act, Texas Government Code
Chapter 551041. Please stand while Vice President Caroline H. Bennett leads us in the Pledges of
Allegiance to the U.S. and Texas flags.

[00:30–01:00]
I would like to introduce the senior administrative staff. They are Ms. Linda Buckman, Associate
Superintendent for Communications and Community Engagement, Dr. Brian Williams, Associate
Superintendent for Administration.

[01:00–01:30]
and Talent, Ms. Christina Massick, Associate Superintendent for Information Technology, Dr. Andy
Wolf, Associate Superintendent for Academics, Ms. Christine Porter, Associate Superintendent for
Finance, Mr. Travis Stanford, Associate Superintendent for Operations, Dr. Jennifer Parker,
Community Superintendent. I would like to introduce your board members from left to right. They are
Board Member Courtney Anderson, Board Member David Slattery, Stacey Kim, Executive Assistant to the
Board, Dr. Jennifer Blaine, Superintendent,

[01:30–02:00]
I'm Shannon Mahon, Board President, Board Vice President Caroline H. Bennett, Board Member Walker
Agnew Jr. Board Member Jennifer Highland. The first item on the agenda is prayer. Please stand and
join Trustee Courtney Anderson in prayer. Gracious God, we gather today with gratitude for the
opportunity to serve our students, families, and community. We ask for wisdom as we make decisions,
clarity as we discuss important matters.",,,,,,,0,5
1,0:02:00,0:04:00,"[02:00–02:30]
And patience and respect as we listen to one another. Guide our words and actions so they reflect
integrity, fairness, and care for every child entrusted to our schools. May our work tonight be
rooted in a shared commitment to learning, growth, and the well-being of all. We ask for
understanding when opinions differ, courage to do what is right, and unity in our common purpose.
Amen. Dr. Blaine, do you have any opening remarks? I do have a few. So first of all, I want to thank
everybody for coming out tonight.

[02:30–03:00]
We are going to have a celebration in a few minutes of our Board of Trustees. So I won't say too
much right now, but we do appreciate what they do. And this is not a paid job, by the way. It's a
volunteer job and they work very, very hard. So thank you. It's also National Mentoring Month, and
we have about 250 to 300 mentors that volunteer in our schools every single day and work with kids,
and we're just really grateful to have them. They provide an added support that we wouldn't have
otherwise. And so we want to thank those mentors that are working with our kids. We also are going
to hear the annual taper reports.

[03:00–03:30]
Taper report. This is a report required by law that we will hear in a few minutes by our academic
staff, Annie Wolfe and Dr. Jennifer Cobb. We're proud of our results. They have held strong. We
still have a lot of work to do, but I want to make sure that I say and put on record how proud I am
of our teachers, of our principals, our administrators, our central office staff that have worked
very hard, especially in light of the loss of lots and lots of supports to the system, to the
classroom. We all know that we are missing all of our math and reading instructional and
specialists. We had to cut those positions, and it has had an

[03:30–04:00]
impact, and our teachers are working really, really hard, and I'm just very, very proud of them. And
then last of all, just wanted to give a quick weather update since it looks like it could be cold
again this weekend. Just as for y'all to know, and I know our board is aware, but for our community,
when we make these calls regarding weather, we are not making them in a silo, and I think our
community knows that because we've tried really hard to educate our community over the years, and
they're always very gracious and kind when we have to unfortunately call school. But I just wanted
to share a little bit with how that has.",,,,,,,0,5
2,0:04:00,0:06:00,"[04:30–05:00]
done. So regional superintendents are on a weather call, a Zoom call with Jeff Lidner from the
county, who's a meteorologist. We all hear the same information as many days in advance as he has
it. We will have multiple calls sometimes in a day, and calls, subsequent calls, days before an
event and during a weather event, be it a hurricane or flood or ice or whatever it is. And we all
try to, as superintendents, understanding that, for example, many of our employees don't live in
Springfield.

[05:00–05:30]
Don't live in Spring Branch. We know they live in surrounding school districts. And so when we make
a decision to call off school, sometimes it's sometimes it is because we can't move around in our 44
square miles. And that was probably the case this past weekend on overpasses. But we also have to
consider that when we um don't have or when we when we have school, but our surrounding school
districts might not be able to, we may not have teachers in the classroom because they may not be
able to get in. We may not have bus drivers to drive buses or custodians to help us or food service
workers. So those are all the considerations that have to go into a closure. Sometimes it's

[05:30–06:00]
not only about actually it's never only about our 44 square miles, but it's about what's happening
in the regional area. And that's when you um when you hear that school districts have a tendency to
kind of close have closure together. That's because we're all in we're all dealing with have the
same issues. And so I wanted to share that. And then one question we did get from a uh a patron, and
it's a good one, and I want an opportunity to explain that too. We did get a question from one
person as to why we were not able to open our schools to have basketball games um on Saturday. So
the answer to that.",,,,,,,0,5
3,0:06:00,0:08:00,"[06:00–06:30]
is when we close, when we are closed as a district, and we were closed as a district this weekend,
we don't allow anybody to use the facilities. And the reason for that is because we have 62
facilities and a very limited maintenance staff. And we use all of our maintenance staff, all of our
custodial staff, and many of our other operational staff from both Christine's CNS team and um and
Christina Mass technology team. And it takes everybody to winterize and secure a facility, and there
are 62 of them, and we have to turn it around in a very short period of time. And some things have
to be done when there's nobody in the building.

[06:30–07:00]
And so we have to close those buildings on Saturday so that our people have an opportunity to get
those clo those schools winterized and closed, and then they have an opportunity to get home safely,
which which we have an obligation to make sure that they do. And so I just wanted an opportunity to
explain that. Our facilities, as a result of our facilities team and the work that they did, our
facilities fared very well. We had no issues. What little issues we may have had did not stop us
from opening school today, and we opened school for a full school day, and everybody was fine. So
hats off to my senior staff who and our chief of police.

[07:00–07:30]
who really kind of managed those events and I'm just proud of the work that they did. That's it.
Thank you. The next item on the agenda is public comment on special presentations. Because we have a
special presentation of guests tonight in our meeting to honor their time, we would like to hear
public comments only on the special presentation at this time. All other public comments will be
heard after the special presentation. No one has signed up to comment on special presentations. And
before we move to the special presentation, are there any Boy Scouts in attendance?

[07:30–08:00]
Okay, the next item on the agenda is special presentations. As January is National Mentoring Month,
this month Sights and Sounds around SBISD features our student voices saying thank you to some of
our most special volunteers. Please turn your attention to the screen and enjoy the short video
presentation.",,,,,,,0,5
4,0:08:00,0:10:00,"[08:30–09:00]
Today we're proud to celebrate two incredible groups who show up for our students, our board members
and our mentors. Volunteers whose impact inspire minds and shape lives. Thank you for caring about
every child, every minute, every day, every way. Thank you for leading with courage and helping
guide our future. Thank you for listening to our voices, our ideas, and our needs. Thank you for
serving our schools, our community, and our future. Thank you.

[09:00–09:30]
Thank you. Thank you. Thank you. Thank you. Thank you. No matter how you show up, thank you for
showing up for every child.

[09:30–10:00]
Okay, David, thank you for introducing Board Appreciation Month for me anyway, and mentoring month.
But seriously, January is School Board Appreciation Month, and I want to take a moment to recognize
our board members for their service and their leadership. Each of you gives generously of your time,
energy, and expertise, and often behind the scenes to ensure decisions remain focused on what
matters, that's our students. And oftentimes people don't maybe don't understand or have all the
information about how those decisions.",,,,,,,0,5
5,0:10:00,0:12:00,"[10:00–10:30]
are made, and it's really, really hard. And I know that and I understand that. I also want to
acknowledge how much time you all put in that's not in public view. And for those of you that are
listening tonight, this is a snippet of what these people do. The number of phone calls they take,
text messages they respond to, emails they respond to, phone calls from us asking for advice or
their thoughts or just to problem solve something. They really are the eyes and the ears of the
community. And there are a lot of things that happen behind the scenes that they are working on that
doesn't even account for the time that they're

[10:30–11:00]
sitting up here. And so many people see the votes you all take, but they don't know the hours of
preparation that has been put into, the study of complex issues, lots of difficult conversations
that have to happen and the weight of decisions that can carry long term impact. We also know some
of you may have people that you've been friends with before who no longer speak to you because of a
decision that you had to make. I think that really stinks. Um, but I I also know that that's how
that's how some of you, some of you have had that happen, and I apologize and I'm sorry, but we're
so grateful for your leadership anyway.

[11:00–11:30]
Um anyway. Serving on the board requires courage and integrity and a deep commitment to students in
the community. And I want you to know that your work is seen and valued and deeply appreciated. We
could not do what we do without the help of our school board. And I don't know that it operates that
way in every school district, but we depend on our school board members to give us advice, tell us
the truth that when maybe we don't want to hear something, and just to help us with really difficult
decisions that we know that we get paid to make, but y'all are volunteers and it's hard. And so for
anybody out there that takes a look at this and thinks that it's easy.

[11:30–12:00]
it's not. It's rewarding, I know, in many, many ways. And I think probably it's more rewarding most
of the time than not. But when you have to make a very difficult decision and somebody that you've
known for years decides they're just not going to speak to you anymore over it, I mean that that's
uh that's tough. And I want to apologize for each of you that that's happened to, because it's not
fair and it's not right. And those people have no idea the amount of time that you spent researching
and agonizing over a really difficult decision that you have to make that might negatively impact
the community that you're that you're living in. And so that's really, really hard.",,,,,,,0,5
6,0:12:00,0:14:00,"[12:00–12:30]
Hard. But we do, we know that. I'm grateful and for your thoughtful guidance and your willingness to
engage in meaningful dialogue. You always take our phone calls and we appreciate that no matter how
late at night or how early in the morning it might be, or whether you're at your student, your own
child's events, or whatever. So it's just it just means a lot your shared commitment to the district
and the community, and it's just an honor to serve alongside each of you. And I just hope if if
people listening hear anything from this, that this is a very rewarding job in many, many ways.

[13:00–13:30]
It's also an extremely hard job, and it is not for the faint at heart. And so thank you for all
y'all do. Um, and we just we applaud you guys for everything you do. Thank you, thank you, thank
you. And now I'm gonna ask y'all to come down off the dais, please. If you guys can come stand down
here, um, I'm going to introduce Lindsay Ripley. Where's Lindsey? There's Lindsay. Uh she's our
coordinator for visual arts, who in turn will introduce some art students who have prepared a very
special gift for you. Thank you, Dr. Blaine.

[13:30–14:00]
To celebrate School Board Appreciation Month, our fine art students have prepared a special gift for
you. Each of you will be receiving a set of note cards featuring our 2026 award-winning rodeo art,
which we just discovered. We have our winners up here at the front. Each year we have a number of
people who submit art to this contest, and we only get a certain number of awards from the rodeo, so
to be selected by the rodeo as",,,,,,,0,5
7,0:14:00,0:16:00,"[14:00–14:30]
As either a gold medal or a best of show is a huge honor. We're so proud of you guys. So we wanted
to make sure that you guys do a lot of correspondence in your jobs and you're an appreciator of the
art. So we have put every artwork on a note card with envelopes so you can use these to write notes
and to gift to people. It has the students' name, the title of the artwork, and on the back it has
the award that they won. So, students, if you'll come up, I'm gonna call the students' names and
they will deliver a note card to you.

[14:30–15:00]
and um we'll start with Cassiatan, Arcana Anwar, Annabelle Kai, Samantha Teodoro, Samuel Solas,
Liana Alvarez, Jasmine Hurtato. And these are all of our best in show and uh gold medal winners this
year. And then Dr. Blaine, we did make one for you. Thank you to have one as well. So also I want to
plug a little bit about um what

[15:00–15:30]
What we have on display here in the district, we have our SBISD student art showcase featuring rodeo
art from across the district. It's at the Altharita Jurgen Art Museum now through February 19th, and
it has not just our winners but everybody who participates, and it's such a wonderful display of all
of the talent that we have in this district. So make sure you go out to see now. These students'
artwork is not at the museum. We do have prints up, but their artwork is at the rodeo. So if you
want to see their artwork in person, you're gonna have to go to the Halo Gallery.

[15:30–16:00]
The Haloft Gallery at NRG Center and view that in the month of March. So thank you guys,
congratulations, and thank you, board. Here we go. Count of proofing. And then if I can have um
board numbers, we'll just start over there. There we go. One, two, and three.",,,,,,,0,5
8,0:16:00,0:18:00,"[17:00–17:30]
Can I give this one of each to you all? Four, five, six, seven. Perfect, thanks.

[17:30–18:00]
At board meetings, public comment time is set aside for individuals who wish to address the board.
During special meetings, workshops, and retreats, comments are limited to the agenda items only. At
regular meetings, individuals may comment on both agenda and non agenda items. Individuals who wish
to participate during the portion of the meeting designated for public comment shall sign up by
completing the appropriate form on the district website, by submitting the form in person at the
administration building, or by sending an email with the district form as an attachment to the email
addresses listed on the form. Public comment forms must be received no less.",,,,,,,0,5
9,0:18:00,0:20:00,"[18:00–18:30]
Be received no later than 12 p.m. noon on the day of the meeting and shall indicate the agenda item
or topic on which they would like to address with the board. The length of public comment shall be
at the discretion of the board president not to exceed four minutes. We will do four minutes today.
Because individual rights are protected by various laws and board policies, complaints regarding
specific employees or students should be directed to the administration. If a person makes
complaints about a specific employee or student during public comment, the board president has the
discretion to move the board into closed session to hear such complaints.

[18:30–19:00]
If anyone makes a complaint about a specific employee by name or by job title, the board may hold
the public comment until the end of the public comments and hear all such complaints individually in
closed session. Under the law, the board cannot deliberate, discuss, or make a decision on any
subject that is not on the agenda. So, as a general matter, the board does not respond to questions
at public comment. Specific factual information or review of existing policy, however, may where
legally allowed be provided in response to inquiries or questions. At this time, we will begin
public comment, and our first speaker is Chris.

[19:00–19:30]
First speaker is Christy Shark. We ask that you come forward to the microphone and please state your
name, address, and the agenda item number which you are speaking about. Can I ask for a
clarification? Sure. Am I able to reference individuals by name if it's not a complaint? Are you
speaking about a student or are you speaking about No, it's administration. No. No, I cannot speak.
No, we we may have to go into closed session to do that. Okay. All right. I'll try to avoid that
then. Okay. Okay. And I I will have to.

[19:30–20:00]
interrupt you if if that happens. I understand. Okay, just clarifying. Thank you. Good evening. I'm
Christy Shark. Uh why am I here tonight? Because I care about artificial intelligence interfacing
with our children in classrooms, um, the unknowns of that and the the district's position on it. Um
regardless of what I believe, the FTC's COPA and the Senate's FERPA Act dictate uh parameters for
practice. And um",,,,,,,0,5
10,0:20:00,0:22:00,"[20:00–20:30]
And I just am persuaded that not showing up here and those truths exist whether I speak to them or
not. And I just am persuaded that not showing up here is a disservice to you guys, and not speaking
to it is a disservice to you guys. Um I also wrote an email two weeks ago that has received no
response, no resolution-oriented response. One individual did respond to me after a conversation
with another individual. I think she was.

[20:30–21:00]
responding on the basis of that prior conversation and handed back to me the published privacy
policy of Amira Learning. My concerns are primarily regarding Amira Learning. She handed back to me
the privacy policy that birthed my concerns, the origin for my concerns, as though it was the
resolution. And I'll get into why I feel like that's really problematic. But first, I want to say
that the district spent the first half of the school year reassuring or suppressing concerns of
parents like myself by saying.

[21:30–22:00]
that the data sets are unidentified, that these are there's no personal data attached to the audio
files that Amira is collecting and storing, but that's categorically false because COPA defines the
voice, the child's voice, the audio file itself as an identifier. It warrants parental consent. Full
stop. And the reason the privacy policy is concerning to me, I'll give you two reasons as I may be
limited in time tonight. But the first is that it clearly makes a case for commercial use.",,,,,,,0,5
11,0:22:00,0:24:00,"[22:00–22:30]
They state that the data sets are used to optimize their AI model and their app, which they then
market to other school districts and the public at large. And if we think about that critically for
a moment, it's the data sets that house children's vulnerabilities, like speech impediments or poor
articulation, those are the areas where Amira stands to be optimized. So basically, it's leveraging
our children's vulnerabilities to optimize their AI. I don't know if that sounds reasonable to you
guys.

[22:30–23:00]
The second concern is that their privacy policy appeals to something they call the Copa School
exception. And what is that language? We don't know because the FTC proposed it and ultimately
decided not to publish it. They say the schools can authorize parental consent in this place on
behalf of or they can authorize consent, forgive me, in place of parents in this place because of
the COPA school exception, but this is language that

[23:00–23:30]
This language that does not exist. It's deceptive and misleading. Um, and for all we know, uh I mean
a mirror learning is backed by capitalist uh yes, thank you. Um we had one other gentleman sign up,
Bobby Zafarnia.

[23:30–24:00]
The next item on the agenda is a joint public hearing with the district improvement team for the
2024-2025 Texas Academic Performance Report. Dr. Blaine. Yes, we have uh Dr. Annie Wolf and Dr.
Jennifer Cobb coming to the podium. I believe Dr. Cobb is giving the bulk of the presentation. And
I'm going to turn it over to y'all.",,,,,,,0,5
12,0:24:00,0:26:00,"[24:00–24:30]
Members of the board, Dr. Blaine, the Texas Education Code requires that the Board of Trustees hold
an annual hearing for public discussion on the Texas Academic Performance Report or Taper. The taper
report includes student achievement and other indicators. These data are compiled from PEAMS data
and student assessment data from the State Text Testing Program, College Board, ACT, and the Texas
Higher Education Coordinating Board. The taper includes comparative data of the region and the

[24:30–25:00]
state. TEA also makes this data available online through the Texas Performance Reporting System, or
TPRS. The annual report includes data and reports from numerous categories, based on data from
different school years and data sources, some of which are outside of the TAPER report. Lagging data
from the 23-24 school year determines the district's accreditation status for 24-25. Attendance,
graduation rates, college readiness, and data used in the report from the Texas Higher Education
Coordinating Board.

[25:30–26:00]
are also lagging data from 23 24 or earlier. The district profile, star performance and ratings, as
well as the report on violent or criminal incidences, are all from the 24 25 school year. The campus
safety policies and procedures and the campus performance objectives are from this current school
year. As a reminder, the campus performance objectives were presented and approved by the board in
October 2025. The presentation will begin with the district's most recent accreditation statuses and
demographic profile. This will then be followed by an overview of",,,,,,,0,3
