chunk_id,window_start,window_end,text,binary_hit,confidence,
0,0:00:00,0:02:00,"[00:00–00:30]
Uh good evening. Um I would like to ask everyone to please take their seats and silence their cell
phones. We're getting ready to begin the meeting. Good evening. This meeting is now convened at 5 02
uh PM and just to note this clock up here, if you can see it, is five minutes slow tonight. So um a
quorum of the board members is present in the board auditorium. And we um we will get started. Um
I'd like to um welcome our elected officials in the audience.

[00:30–01:00]
I see we have uh elected uh trustees Sue Dygard. Uh we also have Elect Trustee Gomez and also more
elected trustee more. So thank you for being here. Pardon me? What do we have? I have another
elected official. I can't see that that one. Oh, I'm sorry. Yes, uh we have uh we have trustee elect
uh Ben Zan is here as well. Good to see you. I love your hat. Um Okay. Um what do we have going on
there?

[01:00–01:30]
Something's going on here. Okay. All right. We um tonight uh we are joined by a member of the junior
reserve officer training corps uh to lead our lead our pledges. I'd like to ask board member Marcos
Rosales to uh introduce the leader tonight. Thank you, President Campo. Cadet First Lieutenant Helen
Garcia has demonstrated accurate.

[01:30–02:00]
Demonstrated academic excellence, strong leadership, and dedicated community involvement over the
past three years at Sharpstown High School. She is a public affairs officer for the JROTC staff,
taking pictures of battalion events. As a color guard commander, she has led numerous parades and
competitive events. She plans to major in respiratory therapy at Columbia University. I think I've
heard of that one. And participate in ROTC with a goal of commissioning as a reserve officer in the
U.S. Army. Cadet First Lieutenant Garcia.",0,5,
1,0:02:00,0:04:00,"[02:00–02:30]
Please rise for the for a moment of silent meditation. Please remain standing for the pledge of
allegiance and pledge to the Texas flag. I pledge allegiance to the flag of the United States of
America and until the Republic for which it stands one nation under God, indivisible with liberty
and justice for all. Now to the Texas flag.

[02:30–03:00]
Honor the Texas flag. I pledge allegiance city. Texas, one state under God, one indivisible. Thank
you, Cadet First Lieutenant Garcia. Appreciate it. Thank you. And good luck at Columbia. Thank you.
Now I'd like to call for an another moment of silence in the memory of the late Dr. Rod Page, who
passed away this week. He played a huge role in both local and national education policy, so we'll
take a moment of silence.

[03:00–03:30]
And now, Board Vice President Angela Lamont Flowers will share a few words on behalf of the board in
honor of Dr. Page. Thank you, Mr. President. Yes, we would like to note that we are deeply set.

[03:30–04:00]
We are deeply saddened to hear of Dr. Page's passing. The board will be providing a resolution to
his family expressing all that he did for the city and nation. The resolution recognizes in part
that Dr. Page was a lifelong educator who served as an HISD trustee and superintendent, a professor
and dean at Texas Southern University, and as the first African American U.S. education secretary.
He led transformative changes in HISD that significantly improved student achievement and which came
to be known as.",0,5,
2,0:04:00,0:06:00,"[04:30–05:00]
the Houston Miracle, and which helped develop the No Child Left Behind Act. Dr. Page was a
remarkable leader and dedicated champion of public education, and we express our sincere condolences
to his family. Thank you. Please note that the administration is postponing item five, which is
approval of magnet program changes for.

[05:00–05:30]
Cashmere Northside and Heights High Schools, and item number 14, which is approval of a provision
proposed revisions to board policy EL local, campus, or program charters, a first reading. So these
items will be discussed and addressed at a later date. We'll now hear from public officials and
speakers who identified themselves as HISD students and parents. Please note that Spanish Live
Capuch captioning is available for those viewing the meeting via live stream, and live Spanish
interpretation is available.

[05:30–06:00]
in person in the auditorium. Public comment during school board meetings will only be available to
those persons who have signed up to speak prior to the meeting time per current protocol. Verbal and
other disruptions by persons during school board meetings are not acceptable as they limit the
board's ability to conduct business and the public's ability to observe those processes. Persons who
participate in such behavior will be given one warning, and if the behavior is repeated, they will
be asked to leave the meeting. We have 69 registered speakers tonight.",0,5,
3,0:06:00,0:08:00,"[06:00–06:30]
Tonight, who will be limited to one minute each per board policy, as we have more than thirty people
signed up to address the board. We ask that you stay on topic and refrain from naming individuals,
especially students, as their identities is are protected under the law. But you may name your own
child. I ask that you please respect our procedures and uh and and and the other speakers and at the
end of your comments properly, uh and your comments properly when the time is uh expired and the
timer rings. We'll start with public officials. Will HID Board of Education's trustee savant more?

[06:30–07:00]
you're up first. Thank you. Buenas noches, Desconse in Paz, Sergio Rodriguez. Good evening. Rest in
peace to Sergio Rodriguez. As this new bridge moves forward, may we do everything in our power to
prevent making our children angels too soon. I want to thank the administration for pulling the CTAE
item from the agenda. I'm grateful that you are not removing programming from Cashmere at this time.
Cashmere is a historical

[07:00–07:30]
high school that has produced leaders for generations, and I hope you will consider adding more
programs to increase enrollment and honor the legacy of this great community. As a trustee and
someone running for Texas Comptroller, I spend my time listening to Texans. Listening helps you make
better decisions. And tonight shows what happens when a community stands together with one clear
voice for our students. I'd like to thank the clergymen for being here today speaking and advocating
for their community. Merry Christmas, and may God bless our district to

[07:30–08:00]
reach that ideal place where the community is listened to, teachers are respected, and a bond that
is needed can be passed because we all have improved as leaders for our constituents. God bless you.
Thank you. Christy Gomez, you're up next. Thank you. It's my son's first birthday today, so I'm
feeling really sentimental. Uh and in that spirit, I want to talk about one of his favorite books,
El Kamian Sito Azul. Starts out with",0,5,
4,0:08:00,0:10:00,"[08:30–09:00]
a little blue truck, he's going through the neighborhood, he's saying hello to the animals, he's
being very pleasant. And then a very big cargo truck is rooming by and he says, Everybody out of my
way. I have important things to do. I don't have time for all you lost little ducks. Everybody out
of my way. And then he takes a sharp turn and he gets stuck in the mud. And at first, nobody wants
to help him because he was a little bit rude at the beginning. Luckily for him, the little blue
truck rallies the animals, the animals get the truck unstuck, and after the truck is unstuck, or the
big cargo truck is unstuck, uh, the truck learns a lesson

[09:00–09:30]
this you know it's I do have important things to do, but it's good to make friends along the way.
And so yeah, it is true that the big cargo truck probably did have something important to do. He
might have been on his way to deliver wholesale six times reform, but it's still worthwhile for that
truck to make sure it's making friends along the way and listening to every little on his way. Thank
you. Thank you. Christy Digard, you're up. Thank you for being here. Good evening. Thank you for the
opportunity to speak tonight.

[09:30–10:00]
This is my last board meeting as an elected trustee. When I was sworn in eight years ago, I couldn't
imagine that my last meeting would be on this side of the Dais. I want to thank the Board of
Managers for your service. Regardless of what I or anyone thinks of your decisions, you chose to
serve at one of the most challenging times in our district's history. Thank you to the newly elected
trustees and the candidates that did not prevail, whether you ultimately sit at this Dais or not.
Thank you for your willingness to put yourself in the arena. Few people are willing to make that
choice or the sacrifices that accompany it. When I first sat at the Dais, I made a public commitment
to hold myself accountable to three things more students.",0,5,
5,0:10:00,0:12:00,"[10:00–10:30]
reading on grade level, more students doing math on grade level, and more ready for college or
career. While it wasn't achieved in the way that I would have wanted, it was achieved. This document
here, I found it recently in a box in my house, is the plan that was presented to the board in
January of 2018. This was not only a plan to prevent a takeover, but more importantly, to improve
learning for students in chronically underperforming schools. It was shouted down in multiple
community and their administration were asking our board to make, I'd still be sitting up there.

[10:30–11:00]
But what makes me sad and angry are the lost opportunities for students. It haunts me to think of
the kids who remained underserved because of adult dysfunction. Our district had a plan literally in
our hands to improve learning for students with an elected board and give those students what they
needed and deserved to be ready for the world after graduation. While we did what we didn't have was
community support or absent that, a board with the courage to risk losing their next election. When
the district eventually returns to elected governance, I hope the people on that board, in that
administration, and in the community will work together to never let this happen again.

[11:00–11:30]
I want to add a brief comment about two agenda items, EL Local and ELA local. ELA is a policy I am
proud to have been part of passing. It planted the seeds for our district to sustain and scale high-
performing schools that have lengthy wait lists and to support the creation of new school models
that are responsive to the needs and interests of students and our innovative educators. I implore
you to be transparent with these policies and to also set any partnerships up to not just comply but
to thrive. Thank you for your time. Thank you. Thank you for your service. We appreciate that. Next
we'll heal here from Speaker.

[11:30–12:00]
We'll hear from speakers who have identified themselves as HISD students or parent speakers. Please
state your name and topic, and uh when you step to the microphone, Miss Smith, you may call our
first set of speakers. Luca Candida, followed by Micah Gabay.",0,5,
6,0:12:00,0:14:00,"[12:00–12:30]
Buenos maestros antes de la toma de control, y todavía tenemos buenos maestros, pero cada año
perdemos más. El señor Miles enmarca la perdida de maestros como algo positivo, diciendo que son los
maestros inferiores los que se van. Lo que dicen no es la verdad. We have good teachers.

[13:00–13:30]
Teachers before the day to control, and we still have good teachers, but every year we lose more.
Mr. Miles describes the loss of teachers as something positive, saying that those teachers are
inferiors to that the teacher what he says is not the truth.

[13:30–14:00]
But the distritus at the queen trasladan reconnect su talento y están recibiendo premios, como la
maestra del año para Jennifer Passington. Not only the majority of the teachers that have gone",0,5,
7,0:14:00,0:16:00,"[14:00–14:30]
were loved and respected, but the districts to where they have been moved recognize their talent and
are getting awards such as Teacher of the Year for Jennifer Blessington.

[14:30–15:00]
Grinch, but you don't change. You need to be kinder. HSD will continue to lose good teacher. Please
use your position to change the situation. Micah Gabay, followed by Ileana Gottlieb. Um good
evening. I'm here because the district is removing programs.

[15:00–15:30]
Programs that students depend on to succeed. These weren't extras, they were essential. Programs
like web development, graphic design, culinary and entrepreneurship gave students real skills, dual
credit, and motivation to stay on track for college and careers. Now instead of strengthening these
pathways, they are being eliminated, and students at Heights, Northside, and Cashmere are being
towed to ride buses across town, even though our own campuses are already invested in fully equipped
facilities.

[15:30–16:00]
Facilities. This isn't improving access. It's taking away opportunities and destabilizing schools.
When these programs disappear, success becomes harder not because students are trying less, but
because the tools that help that help us succeed are gone. Every student deserves a fair chance, and
these programs made that possible.",0,5,
8,0:16:00,0:18:00,"[16:00–16:30]
And take action to restore opportunities we've lost. Thank you. Thank you. Ileana Gottlieb, followed
by Christiana Thomas. Hello. Tonight I'd like to speak about the recent lawsuit involving a fellow
HISD student at Bel Air High School. For those who don't know, the student's parents sued the
district after school staff respected their child's request to use a different name and

[17:00–17:30]
pronouns. The district recently settled, agreeing to require teachers and staff to use only the
student's dead name and pronouns assigned at birth. But I'm not here to talk about the legal
details. I'm here to speak directly to that student. To my fellow HISD classmate, I see you. We see
you. What you're going through right now, being at the center of a legal battle, having your
identity debated by adults in public, no teacher should no teenager should have to go through that.
I want you to know that who you are is valid. Your identity matters, and there are so many students.

[17:30–18:00]
teachers, and community members in HISD who support you and believe in your right to be yourself.
You are loved for exactly who you are. You belong in our schools. You deserve to be treated with
dignity and respect, and you are not alone. Thank you. Hi, I'm Christiana, and I'm a senior at
Heights High School. I know that you're trying to cut like engineering programs and graphic design
and web development and move them to Barbara Jordan. Uh, but cutting these programs would also",0,5,
9,0:18:00,0:20:00,"[18:00–18:30]
force you to either fire or move those teachers, and they are people that are pillars of our
community. I've been at my school for four years, and I don't recognize basically any of the
teachers because of the severe turnover. And the teachers in those programs, when I had a kickball
tournament versus teachers, to be able to raise money for breast cancer, and our web development
team made a poster of all of our teachers after they won as like a school spirit thing. They're
pillars of our community in a way that is really personal, and forcing students to have to go to
Barbara Jordan for office hours or understand or connect to those people would remove and destroy a
school that already doesn't really have.

[18:30–19:00]
a really strong teacher community. I won't be in HISD next year, but my sister will. And these
teachers' admin and programs have shaped my life. Please don't ruin this experience and the chance
my sister and her other students have to have a job post high school. Um thank you. Thank you.

[19:00–19:30]
I know you're trying to cut programs like entrepreneurship, graphic design, and wealth of well web
development and move them to Barbara Jordan. I'm asking you to keep them at heights. By taking away
CTE classes from Heights and moving them to Barbara Jordan, students lose valuable time for
education and will be unable to take advantage of classes available. When students have to take a
bus to Barbara Jordan, not only does it cut time from other classes, which affects the students'
engagement and learning, but also moves their ability to be at their fullest potential. Because
their GPA will be lower due to them having to lose.

[19:30–20:00]
valuable class time. Currently students have a take uh who take classes at Barbara Jordan spend two
class periods there because they have to take because it takes time to ride the bus. If students now
takes if students now have to go to Barbara Jordan take one class, they will most certainly lose
time from their Zachary Youngbud followed by Adidas Bittner Zachary.",0,5,
