chunk_id,window_start,window_end,text,binary_hit,confidence
0,0:00:00,0:02:00,"[00:00–00:30]
I call this regular meeting of the Spring Branch Independent School District Board of Trustees to
order. Let the record show that the time is now six o'clock and a quorum of the board members is
present. This meeting has been duly called, and the notice for this meeting has been posted in
accordance with the Texas Open Meetings Act, Texas Governor Government Code, Chapter 551.041. Please
stand while Trustee David Slattery leads us in the pledges of allegiance to the U.S. and Texas.

[00:30–01:00]
US and Texas flags. To the flag of the United States of America, and to the republic for which it
stands, one nation under God, indivisible, with liberty and justice for all. Under the Texas flag, I
pledge of allegiance to the Texas, one state under God, one and indivisible. Please be seated.

[01:00–01:30]
I would like to introduce the senior administrative staff. They are Miss Linda Buckman, Associate
Superintendent for Communications and Community Engagement, Miss Karen Heath, Associate
Superintendent for Administration and Talent, Miss Christina Masick, Associate Superintendent for
Information Technology, Dr. Annie Wolf, Associate Superintendent for Academics, Miss Christine
Porter, Associate Superintendent for Finance, Mr. Travis Stanford, Associate Superintendent for
Operations, Dr. Jennifer

[01:30–02:00]
Parker, Community Superintendent, and Dr. Brian Williams, Community Superintendent. I would like to
introduce your board members from left to right. They are Board Member Courtney Anderson, Board
Member David Slattery, Stacey Kim, Executive Assistant to the Board, Dr. Jennifer Blaine,
Superintendent, I am Shannon Mahan, Board President, Board Vice President Caroline H. Bennett, Board
Secretary Walker Agner Jr., Board Member Chris Ernest, and Board Member Jennifer Highland. The first
item on the agenda is prayer.",0,5
1,0:02:00,0:04:00,"[02:00–02:30]
Prayer. Please stand and join Trustee Chris Ernest in the prayer. Please pray with me. Deavenly
Father, I thank you for the opportunity to come together this evening and Lord, just honor uh these
amazing employees that have dedicated their career to our students, some of our athletes and
students this evening. I just pray for wisdom as we seek to uh provide leadership over this school
district. I pray that you would give us just wisdom and guidance and decisions we make. In Jesus'
name, I pray. Amen.

[02:30–03:00]
All right, Dr. Blaine, do you have any opening remarks? I do actually. So, first of all, welcome and
thank you everybody for coming out. Um, May is one of our very favorite times in the school district
because we just have an opportunity to honor um all of our amazing people. We will be honoring our
retirees, um, our speech and debate qualifiers, our first tea champions, um, our fantastic athletes,
student trainers, and coaches, our Stratford Waste and Springwoods Color Guard, and um also get we
are going to get an opportunity to acknowledge our fantastic.

[03:00–03:30]
Fantastic Coach Hershey. I'm looking for her in the audience. For her leadership in athletics
throughout the state of Texas is a really big deal. We're super proud of her. Real quick, a
legislative update. I'm sure many of you have been, we've been sending out updates and emails
regarding the legislative session. Most notably, of course, we're following what's happening with
the funding. House Bill 2. Um, we're coming to the is the current funding bill for public school
finance. And we're coming to the end of the legislative session. The last day is June 2nd. So we're
continuing to monitor House Bill 2, which is the school finance.

[03:30–04:00]
bill, and here's what we know so far, we believe we know, or what they've said. It does include $8.5
billion for school funding statewide, and we're really very grateful to our legislatures for putting
that type of investment into public education. It includes dollars for teacher compensation, safety
and security, special education, pre K, early literacy screenings, and math programming, and also
teacher preparation programming. What we are watching and monitoring closely is what types of
strings might be attached to that money. And so to the extent that the money is flowing.",0,5
2,0:04:00,0:06:00,"[04:30–05:00]
That the money is flexible, we're able to really operate given the needs of our specific school
district, as are other school districts around the state. So that's that's going to be the
interesting part of how this all rolls out. The Senate and the House are still working through the
details of House Bill 2, and it has not been yet signed by the governor, but we will continue to
keep you all updated on that. And then lastly, the other piece of legislation that we're following
closely is House Bill 4. Many of you probably know there has been an outcry across the state for the
past several years over the star.

[05:00–05:30]
test. I don't think that educators, parents, students, board members, any of us are really thrilled
with that high-stakes one day test and the toll that it takes on our students and our staff and our
teachers. And House Bill 4 actually is a piece of legislation that would do away with the STAR test
and would replace it with a nationally norm reference test, which really provides significant, much
needed accountability reforms for school districts. So we would still be rated as a school district.
We would still be accountable, which we want, but it would replace the star test with a nationally
norm.

[05:30–06:00]
With the nationally norm reference tests, which is really more beneficial for our students and helps
us to better understand their trajectory as they have to take tests like the SAT when they get into
high school. So we're very interested in that piece of legislation, and we are very hopeful that it
will make to the governor's desk and that he will sign it. Thank you. The next item on the agenda is
public comment on special presentations. At board meetings, public comment time is set aside for
individuals who wish to address the board. To honor our guests and their time this evening, we will
hear public comments only on the special presentations.",1,5
3,0:06:00,0:08:00,"[06:00–06:30]
On the special presentation at this time. All other public comments will be addressed after the
special presentation. Since no one has signed up to speak, we will now move on to the next agenda
item. But before we begin our special presentations, are there any Boy Scouts in attendance? All
right. Can you please stand and give us your name, troop number, and the badge that you're seeking?
Hi, my name is Isha, and I'm for 1950. Thank you so much for being here.

[06:30–07:00]
All right. The next item on the agenda is special presentations. First off is going to be our Spring
Branch ISD retirees. We are honored to begin this evening's special presentations with recognition
of a very special group of SBISD employees. Individuals who have served SBISD well for more than a
combined 1,000 years, and who have announced their retirement.

[07:00–07:30]
Retirement. This year's retirees exemplify what it means to lead a life dedicated to every child.
Regardless of their role, they have contributed to the collective greatness of Spring Branch ISD and
have positively impacted the lives of thousands of children during their tenure as members of the
SBISD family. Each retiree will receive a watch to signify the appreciation our district has for the
time they spent here. And while we wish them the very best in this next chapter of their lives, we
know they will truly be missed by.

[07:30–08:00]
all their colleagues, parents, and students that they impacted during their careers. Thank you from
the bottom of our heart for all your years of service to SBISD. At this time, we invite all trustees
to come forward and congratulate our retirees as they make their way across the stage. Here to
announce those retirees that are with us this evening is Associate Superintendent for Communications
and Community Engagement, Linda Buckman.",0,5
4,0:08:00,0:10:00,"[08:30–09:00]
Thank you, Trustee Anderson, for that lovely introduction. This year, 88 colleagues announced their
retirement from Springbridge ISD. To be sure we have properly recognized their contribution to the
district, we've provided two opportunities for them to be celebrated. A number of these individuals
attended a reception in recent weeks, and a number of individuals are here with us this evening.

[09:00–09:30]
Evening. We are grateful for their combined and trustee Anderson. We did some math this morning.
1,826 years of service to Spring Branch ISD. That's pretty incredible, right? That's a lot of kids
and a lot of families impacted. 1,826 years. Each of you is responsible for the strong legacy of
excellence that sets SBISD apart and makes us the very best place.

[09:30–10:00]
in Houston to live, work, raise a family, and educate children. We pledge to continue to uphold that
legacy to ensure that SBISD continues to be a place where not only our students, but also our
employees find true meaning in our brand promise to inspire minds and shape lives. And now I'm
honored to introduce these wonderful individuals to you. So if y'all would please come forward.",0,5
5,0:10:00,0:12:00,"[10:00–10:30]
This is Cynthia Fratina with 10 years of service at Springwoods Middle School, and she goes, bye
Cindy. Hi Cindy, thank you. This is Nina Rubinsky with 36 years of service at Cedarbrook Elementary
School. I'm pleased to introduce Christine Oliphant with five years of service at Stratford High
School.

[10:30–11:00]
Please join me in congratulating Maria Torres with 28 years of service. Apparently, when you get to
Cedarbrook, you don't leave. 28 years of service at Cedarbrook. Jose Tomias, with 10 years of
service at Edgewood Elementary. And probably the foremost expert on accountability in the state of
Texas who has impacted Spring Branch ISD in too many ways for us to begin to enumerate with 33 years
of service, most recently in assessment and compliance, Dr. Keith has.

[11:00–11:30]
Dr. Keith Hafey. Thank you for everything, Keith. One of my favorite members of the Teacher of the
Year committee, Deborah Wilkes, with 25 years of service at Springloads High School. With 25 years
of service most recently in the Spring Branch Academic Institute, Linda Butorca, and also one of the
first people I was blessed to work with. Congratulations, Linda. Patricia Kassier, with 23 years of
amazing service in Spring Ranch ISD, most recently in

[11:30–12:00]
Most recently is the director of the Spring Branch Academic Institute. It's just incredible how many
years these wonderful people have given to Spring Branch with 37 years of service. Janice Cossey,
most recently at Hunters Creek Elementary School. This is Liz Williams with 20 years of service in
our special education department. Thank you, Liz. Karen Nickel with 39 years of service, Atlanta
Middle.",0,5
6,0:12:00,0:14:00,"[12:00–12:30]
School. This is Ro Lucan, who taught me the term of what an Argonaut was many years ago when we had
that opportunity. Twenty-three years of service most recently in our science department. And Karen
James with 10 years of service Atlanta Middle School. Let's give all these folks an incredible
applause. Thank you. Trustees, you are welcome.

[13:00–13:30]
to return to your seats as we get on with the rest of our special presentations. Congratulations
again to all of our retirees. You want a photo? Okay, if we can have all our retirees, please come
forward for a photo. Thank you all.",0,5
7,0:14:00,0:16:00,"[14:30–15:00]
We are so proud this evening to recognize Spring Branch ISD speech and debate students who exceled
during forensic competitions this year and have qualified for national and or state UIL or other
competitions. Here to tell us more and introduce students from Memorial, Spring Woods, and Stratford
High Schools, our speech and debate head coaches Victoria Beard, Harry Yu, and Carlos Diaz, and
introducing our Westchester Academy for International Studies students.

[15:00–15:30]
will be head debate coach Alma Villarreal. Okay. Hi, I'm Harry. I'm the head debate coach at Mawa
High School. This year we had a lot of success, uh, both locally, statewide, and nationally. We
brought home a UIL state championship back to Spring Branch ISD. We've been uh competing.

[15:30–16:00]
Competing at tournaments throughout all the country from Harvard and Dallas and Chicago. And so very
proud that we, Spring Branch, are represented and acclaimed and recognized throughout the country.
For Memorial High School, we have a couple of students. We have Chloe Shao, Aaron Jiao, Aisha Malik.
We had a couple of kids that should also be recognized but can't attend tonight. Andrew Shao, who
won our 6A championship in congressional debate, Arcana Anwar, Marie.",0,5
8,0:16:00,0:18:00,"[16:00–16:30]
Anwar Maurusio Khalif are also qualified for our nationals. We had uh state uh state finalists with
Alika Zaina and Murcio who won first, second, and third in their district competition, uh, as well
as Ava and Madeline Hopkins, who also compete at the regional competition as well. Uh so great year
for Moual Debate. Thanks. For those of you that don't know, that's one of my babies. Harry Yu was uh
graduated from Springwoods in speech and debate.

[17:00–17:30]
My new assistant is also an alum, Mr. Jeff Flores. I got him to leave another district to help out
at his alma mater. He was in speech and debate with me, and also the Stratford coach is also one of
my debate alum and also a young man at Northbrook named Brian Kim, who's resurrecting debate at
Northbrook. He is also my alum, so I kind of have a secret cabal and I love it.

[17:30–18:00]
From Springwoods competing for nationals, we have duo interpretation, Ariana Hirón and Alexa Raso.
In dramatic interpretation for qualifying for nationals, Joaquin Silva. In humorous interpretation,
Ryan Varvilla.",0,5
9,0:18:00,0:20:00,"[18:00–18:30]
In informative speaking, who also has a full ride to the University of Richmond, Ms. Lily Nipper. In
original oratory, and has a full ride to UPen, Nina Scay. And in extemporaneous commentary, Gerald
Anaya. She started in the middle of the

[18:30–19:00]
list, so I'm just gonna cap it off. The thing that she left off about the Summer Nationals that not
only Springwood Memorial, Stratford, and I'm assuming as well, West uh Westchester, is the largest
academic competition with over 6,000 students competing in 1,600 schools present, taking place over
the course of seven days. The other student present from Springwoods that's gonna be competing at
this national tournament is Diego Suarez in congressional debate with a full ride to Bowdoin. Some
of our other accolades this year include for congressional UI.

[19:00–19:30]
For Congressional UIL state competition qualifying Gerald Anaya, Shamir Kasser, a full ride to Yale,
and Diego Suarez. In addition, we had UIL District 5A speech and debate sweepstakes and the National
Qualifier Sweepstakes for Speech and Debate for Space City District as well. Also qualifying for
nationals is Stratford's Paul Robinson, who qualified in International Extemporaneous Speaking.

[19:30–20:00]
Good evening, everyone. Everyone, I am Alma Vierrial. I am the founder and head debate coach of
Waste Debate for the past seven years. It's been my pleasure to see many of our students develop the
skills that serve them in high school and beyond. Waste Debate operates at an elite level. We are
proud that we have had former team USA members, only 12 students.",0,5
