chunk_id,window_start,window_end,text,URE,URE Description,binary_hit,confidence,notes
0,0:00:00,0:02:00,"[00:00–00:30]
I call this regular meeting of the Spring Branch Independent School District Board of Trustees to
order. Let the record show that the time is now six o'clock and a quorum of board members is
present. This meeting has been duly called and the notice for this meeting has been posted in
accordance with the Texas Open Meetings Act, Texas Government Code, Chapter 551.041. Please stand
while Secretary Walker Agnew Jr. leads us in the Pledges of Allegiance to the U.S. and Texas flags.

[00:30–01:00]
To the flag of the United States of America and to the Republic for which it stands one nation under
God, indivisible, with liberty, and justice for all. Honor the Texas flag. I pledge allegiance to
the Texas one state under God, one and indivisible. Okay. I would like to introduce the senior
administrative staff. They are Miss Linda Buckman, Associate Superintendent for Communications and
Community Engagement, Miss Karen Heath, Associate.

[01:00–01:30]
Superintendent for Administration and Talent, Ms. Christina Masick, Associate Superintendent for
Information Technology, Dr. Annie Wolf, Associate Superintendent for Academics, Ms. Christine
Porter, Associate Superintendent for Finance, Dr. Jennifer Parker, Community Superintendent, and Dr.
Brian Williams, Community Superintendent. I would like to introduce your board members from left to
right. They are Board Member Courtney Anderson, Board Member David Slattery, Stacey Kim, Executive
Assistant to the Board, Dr.

[01:30–02:00]
Dr. Jennifer Blaine, Superintendent. I am Shannon Mahan, Board President, Board Vice President
Caroline H. Bennett, Board Secretary Walker Agnew Jr., Board Member Chris Ernest, and Board Member
Jennifer Highland. The first item on the agenda is prayer. Please stand and join Trustee Courtney
Anderson in prayer. Please bow your heads. Please be with us. Stand with us. Help everyone up here
to guide themselves.",,,0,5,
1,0:02:00,0:04:00,"[02:00–02:30]
and all their decisions to the best of their ability. We give thanks for everyone who is here to
celebrate tonight. Amen. All right, before we move to Dr. Blaine and her opening remarks, I wanted
to see if there were any Boy Scouts in the audience. Hello. Hi, welcome. If you could please, would
you state your name and let us know what merit badge you are pursuing?

[02:30–03:00]
Okay, thank you so much for being here. We appreciate you. Okay, Dr. Blaine, do you have any opening
remarks? I do, thank you. First, we would be remiss if we didn't say happy birthday to Chris Ernest,
who is spending his evening with us instead of with his family. Thank you, Chris, for your service.
Um wanted to first report on a just a tremendously great first day of school. It was very, very
smooth. Um, you know, we've

[03:00–03:30]
had smooth days, uh smooth first days. It's not that we haven't, but I would say that um, and I
think the principals would tell you that this is the smoothest in my six years of the
superintendent. Very, very smooth. Everything uh just went really well. Lots of happy faces, lots of
smiling parents, and um just a really happy day. And I'm just really proud of our teachers,
principals, and support staff for all their hard work to open schools. And in a few minutes, you're
gonna see a video and then some statistics that will roll with the video or after the video of what
it takes centrally also to get schools up and running. So there's a lot of work that happens behind
the scenes, as you all know, to

[03:30–04:00]
really make sure that we're prepared for school so that that first day goes really smoothly and
thank you to my um see my leadership team over here and then their staff for making sure that that
happens. I wanted to take a few minutes to just highlight our academics because I'm really proud of
how far we've come. So our academics continue to improve six years in a row and we're just really
again very proud of all of our teachers, our administrators, our support staff, student families,
mentors, volunteers, partners just for all of the work that has come together over the past six
years. But I want to",,,0,5,
2,0:04:00,0:06:00,"[04:30–05:00]
go over some highlights because I think they're really important to note for our schools and our
teachers or students and our families how very proud we are of them. First of all, just want to note
that we are a multiple measures district. So although the state test is important because that's
that's just a box we have to check, we know that. We know that the real meat of what we do comes
when our kids are college ready. And so any of you that have had a student graduate from high
school, which I have, mine's a junior in college this year. No one asked for his end of course exam
score. I'm not saying it's not important.

[05:00–05:30]
it is because they have to have it to graduate, but that is not what the colleges and universities
are looking at. They are looking at different types of metrics post secondary, so that's why that's
so important to us because we want to make sure we're achieving that T24 goal. So, on that note, um,
over 2,100 juniors or 91% participated district wide in the Spring Day's uh school SAT program. The
total mean score for these students was 52 points higher than the state average and 43 points higher
than all the students who took the test in the United States and

[05:30–06:00]
abroad. We believe these are probably the highest STT scores we've seen and I've seen in my years
here. I've been here 25 years, and we don't know that we've had scores ever had this high with the
number of kids that are participating. So we're proud of that. Second of all, over 3,000 Spring
Branch secondary students took a total of 6,855 AP exams, with 74% of the students earning earning a
qualifying score of three or higher, which is up a full 10 percentage points from last year in 2024.
That is a big deal.",,,1,5,"Yes, this is a mention of data"
3,0:06:00,0:08:00,"[06:00–06:30]
If you have a kid that's going to college or you have one that's in college, understand that that's
super important because that's tuition money. So when they can get college credit when they're in
high school and they have that score of three or higher, that's a big deal. And so we're really
proud of that. We want to keep pushing the envelope there. Our state scores on the state exam
continue to increase and they exceed both the state and regional averages by up to 15 points,
specifically in the meets and master's performance levels, which indicates college readiness. Also,
41% of our Spring Branch students completed algebra.

[06:30–07:00]
I in middle school, not high school, where most districts have their students take algebra one, and
two-thirds of them performed at the master's level on this on the state test. We're really proud
that five Spring Branch schools earned a distinction in every single category possible in the state
system, the Texas Accountability System. Those schools are Cedar Brook Elementary, Hollybrook
Elementary, Memorial Drive Elementary, Wilchester Elementary, Cornerstone Academy, and the Spring
Branch Academic Institute. So hats off to those kids.

[07:00–07:30]
Hats off to those kiddos. And finally, just this afternoon, you uh received an article in your email
from the Houston Chronicle spotlighting Westchester Academy as one of only two charter high schools
in the Houston area to make the U.S. News and World Report list of the top 100 charter high schools
in the nation. And Westchester is truly a microcosm of Spring Branch and of the state of Texas, the
demographic makeup, and so we're really proud of that. So to end on that note, move on to a couple
of other points. Just as we congratulate our school leaders, teachers, volunteers.

[07:30–08:00]
support staff, students, families, partners. I want to remind everybody that we were able to sustain
this academic growth despite the cuts that we had to make to our instructional program and supports
$35 million, most of which came in instructional supports at the campus that we were providing from
the district level. So this is a true testament to the capacity that we've built over time in our
system. Over the past six years, we've worked really hard to do that, and everyone has worked to
really keep our students forefront. But I also think it's critically important to understand the
role that these seven people",,,1,5,Yes this is a mention of data
4,0:08:00,0:10:00,"[08:30–09:00]
up here play, along with me, that's the team of eight, in making this happen. Our trustees have
really supported us in every way, shape, and form. And you all may not always see that, but they do
in many ways that I could go on and about it, not don't need to do that here, but they do. We have
remained focused on our shared priorities of reading, math, student supports, and career and
technical education, and meeting the needs of our students across this district. You can't do that
if you don't have a unified approach to what you're doing and you're not marching forward with kids
at the forefront of every single

[09:00–09:30]
decision that you made. So I would be remiss if I didn't stop and thank our board for uh making sure
that you're you know that how you all support us in that, and um we could not do what we do without
your support, so thank you. Um two more things bond work, lots of bond work happened this summer.
You're gonna see some of that in the presentation to come. First of all, our Agricultural Science
Center, or many of us know as the Ag Farm, opened, and there's going to be a ribbon cutting ceremony
on September 17th at 4 30. This is part of the 2022 bond program, and it's a 24.5 million.

[09:30–10:00]
4.5 million dollar investment. It's going to be a game changer for our kids. The kids are really
excited, and it's just if you haven't been out there, I encourage you to visit. It's really
incredible. And on the horizon to open in the fall of 2026 is the new Guthrie Center, which is a
$140 million investment in career and technical education. And we just want to thank our voters for
voting yes for that 2022 bond program because the facilities that are being enhanced as a result of
this are truly incredible. We're really proud of what may not seem like a big deal to most of us
whose kids may have had access may have access to play equipment every day, but not all of our",,,0,5,
5,0:10:00,0:12:00,"[10:00–10:30]
kids have in the past. But our board approved monies to be specifically allocated from unallocated
interest from the 2017 bond program to build Buffalo Creek a brand new playground. And it is
incredibly gorgeous. I've never seen a playground like it. I have a video on my phone. I wish I
could, I don't know, I don't know how to project that. I could probably play it for you, you could
hear it. But the kids are so excited that the principal took a video of the kids running out on the
first day. They hadn't seen any of the play equipment. And when I tell you the squealing and

[10:30–11:00]
And the oh my god, they're swings that you hear with these kids, just sheer delight to have such an
amazing playground. And again, that doesn't happen when you you know, we don't we're not allowed to
just do those projects without board permission. We came to our board, we asked if we could use
unallocated interests to build these kids a new playground that they desperately needed, and the
answer was of course yes, because this is this is um what they do. So we also uh built 11 more
security vestibules. You know, we're trying to work our way through the district, but we're getting
there. Uh, for everybody, we'll have a new security vestibule as a result.

[11:00–11:30]
of the 2017 bond program. And then last but not least, we also used unallocated interest. So thank
you to our board as well for a gorgeous new gym floor at Springwoods High School that could not wait
for the 2025 bond program. It needed to be done, it needed to be repaired. We also were able to put
new bleachers in there, and we're able to put beautiful new detailing on the walls. It looks just
really looks incredible. I encourage you to go visit. We also put new pavers in the Commons area and
beautiful new additions and upgrades to their cafeteria. And again, thank you to our board for
allowing us to move those money so that we could do that project.

[11:30–12:00]
Last of all, I want to touch on the fire, the devastating fire we had in our community recently. I
am proud to say that between all of our partners, we've raised many thousands of dollars and in less
than a week to support there's 40 or more families that were impacted by the Three Corners apartment
fire. And I want to thank our score school leaders, campus and central counseling teams. Tyra, I see
Tyra out there, her team was out in mass all night long helping families. CIS, CYS, staff members,
the Spring Branch Education Foundation, Memorial Assistance Ministry's.",,,0,5,
6,0:12:00,0:14:00,"[12:00–12:30]
Assistance Ministries, Chapelwood, HEB, and the Red Cross, in addition to our amazing PTAs who are
being awarded tonight, and other faith communities and community organizations who mobilize quickly
to help our families. And I think, you know, what I think of when I think of all this whole update,
especially the last part, is you know, this is what we do when we come together and work together on
behalf of kids, put our differences aside and do the right thing and march forward. Our kids are
safe and our kids are successful. So I just want to thank our Board of Trustees and our community
and our staff for doing so. Thank you.

[13:00–13:30]
Thank you, Dr. Blaine. The next item on the agenda is public comment on special presentations.
Because we have a special presentation of guests tonight in our meeting to honor their time, we
would like to hear public comments only on the special presentations at this time. All other public
comments will be heard after the special presentations. We have not had anyone sign up to speak
regarding our special presentations, and so we're going to move on to those actual presentations.
Okay. Um, first up, Walker. So this summer, 15 SBISD students were selected.

[13:30–14:00]
to attend the prestigious Rice University Tapia STEM camp. The camp provides an immersive week long
residential experience for 8th through 12th graders who have shown passion for STEM. Campers
complete STEM projects and presentations as they experience life as Rice student for the week and
gain technical knowledge and skills for success in future STEM-related careers. Tonight we are very
proud to recognize four emerging bilingual SBISD students from Northbrook Middle, Springwoods
Middle, and Northbrook High School who were recognized by the ExxonMobil judging.",,,0,5,
7,0:14:00,0:16:00,"[14:00–14:30]
Exxon Mobile judging panel for excellence in their final group project, which was called Carbon
Class. We congratulate Angela Velas and Fremen Sefuentes from Northbrook Middle School, Samantha
Torres from Springwoods Middle School, and Angela Corte Angelo Cortez from Northbrook High School.
We invite all of you to come forward at this time. And if we have staff members with us this evening
who supported these students through the program, as well as any building principals who are here
this evening, please also come forward for a photo.

[14:30–15:00]
at this time. Congratulations.

[15:00–15:30]
Springbranch ISD is pleased to recognize Memorial High School student Conrad Slott for his
performance at the UIL Computer Science Competition last spring. In Conrad's first year of
competition, he placed as one of the top five students in the state of Texas, and he is the first
SBISD student since 2022 to qualify for the UIL Computer Science State Competition. He is also the
only SBISD student since 2004 to earn a medal at the UIL State Meet.

[15:30–16:00]
We are SBISD proud to congratulate Conrad, and we also want to take this opportunity to thank his
teachers, Mr. Alcantar and Miss Robertson, the computer science and math sponsors at Memorial High
School, who have encouraged and supported Conrad as he represented Memorial High School and SBISD in
these UIL competitions. Congratulations to all. We invite Conrad and his teachers, if you are here,
to come forward to be recognized at this time.",,,0,5,
8,0:16:00,0:18:00,"[16:00–16:30]
In Spring Branch ISD, we are so fortunate to have strong and dedicated PTA council leaders and
thousands of committed PTA members and PTA leaders on many of our campuses.

[17:00–17:30]
who make amazing things happen every day for every child. In many ways, our PTAs are the backbones
of our schools, providing leadership and volunteer opportunities that engage our families and staff
and provide funds for important campus initiatives, as well as providing appreciation events and
special programs for staff and students. Our PTAs serve as key partners for our campuses and the
district. We are beyond grateful for every PTA and every member for your service. Your commitment to
our

[17:30–18:00]
schools and our district, and we are so very proud of the important recognitions earned last year
and presented this summer. I have personally seen how hard this group works, and it can be a
thankless job at times. It is now my privilege to invite SBISD Council of PTA's president, Heather
Morse, to the podium to share more about the recognitions earned by our Council of PTAs and local
PTAs this summer. Following Heather's message, we invite our Council of PTA's Executive Committee
members to join Heather up front for a photo.",,,0,5,
9,0:18:00,0:20:00,"[18:00–18:30]
opportunity. Thank you, Courtney. Thank you, trustees, and Dr. Blaine, for having us here tonight. I
am so excited to be the president this year for the Council of PTAs that was awarded an outstanding
gold level award from Texas PTA this year. I'm going to give you just a quick overview of some of
the awards that we won because we're really proud. So thanks for giving us time to go over these. We
earned nine membership awards plus five spotlight and initiative awards from Texas PTA this year.
First and foremost, our biggest one, we earned a council in

[18:30–19:00]
We earned a council increase, which means we increased our members from 24-25 or 23-24 to 24-25 with
a 101% membership increase. We've set a lofty goal to do that again this year, so we're hoping that
everyone will join this. We had over 15,000 PTA members districtwide. We also earned the Voice for
Every Child Silver Award. 58% of SBISD students are represented by a PTA member. Another way to view
this is that more than one in two students has a voice actively advocating for them and their
interests as a result.

[19:00–19:30]
of PTA and its advocacy efforts. We also won the KE Award. This recognizes councils that have grown
membership for three consecutive years, but we've grown it for five. We also won the best of three,
recognizes our highest membership since 2122. The Head Start Advocate Silver Award, 50% of our PTAs
achieved 75% of their prior year membership total by August 2024. We won the Golden Apple Award.
100% of district level administrators are PTA members.

[19:30–20:00]
We also won the Spring Community Builder Award for submitting angel memberships to Texas PTA. In
addition to membership awards, we won the Advocacy Impact Award. We were one of only two districts
in the entire state of Texas to be recognized for our outstanding advocacy efforts. And all of this
couldn't have been possible without our local units, who racked up over 90 individual awards from
Texas PTA. Our success as a council is a direct result of our local campus PTAs. And last thing I
want to touch on is just the amazing volunteer efforts of all these people. We have 5,000.",,,1,4,Yes this is a mention of data
