chunk_id,window_start,window_end,text,binary_hit,confidence
0,0:00:00,0:02:00,"[00:00–00:30]
I hereby call hereby call this special meeting of the Board of Trustees of KD Independent School
District to order. Today is Thursday, March 20, 2025, and the time is 5.01 p.m. Noting that a quorum
is present, the board will now reconvene, will convene an open meeting. Dr. Gorgorsky, will you
verify that we are in compliance with the provisions of the Texas Open Meetings Act with regard to
notice for this meeting? Mr. President, I do confirm we're in compliance to the provisions of the
Texas Open Meeting Act for our meeting tonight. Thank you. KDIST

[00:30–01:00]
KDIST Police Officer Howard will lead us in the Pledges of Allegiance. I pledge allegiance to the
flag of the United States of America and to the Republic for which it stands: One nation, under God,
indivisible, with liberty and justice for our all. Honor the Texas flag, I pledge allegiance to the
Texas.

[01:00–01:30]
Texas, one state under God, one and in the village. At this time, the Board of Trustees will give
members of the public an opportunity to speak in accordance with KDISD board policy, BED local.
Speakers who signed up by two PM on Thursday, March twenty, twenty twenty five, and provided their
first and last name will be allowed to address the board.

[01:30–02:00]
As this is a special meeting, public comment is limited to discussion on posted agenda items only.
Each speaker will get three minutes. If you are not finished speaking at the end of your three
minutes, your video will turn off. If speakers wish to share written material with the board, you
must provide ten copies to the Secretary for Board Services before the meeting for board members,
the superintendent, chief communications officer, and permanent record. If a speaker has not
attempted to solve a matter administratively through",0,5
1,0:02:00,0:04:00,"[02:00–02:30]
Through proper channels, as stated in board policy, the presiding officer's designee shall advise
the speaker to seek resolution through the appropriate policy. Finally, pursuant to text government
code sections 551.074 and 551.0821, the board will not permit the presentation of personally
identifiable information regarding a student and will not discuss the appointment, employment,
evaluation, reassignment, duties, discipline, or dismissal of a public officer or employee or

[02:30–03:00]
to hear a complaint or charge against an officer or employee. Should a speaker wish to address one
of these issues, they must do so through the appropriate legal grievance policies, FNG local, DGBA
Local, CKE Local, or GF Local. Our speakers will be called in the order they signed up to speak. Our
first speaker is Brenda Jones. Brenda Jones. Thank you. Welcome.

[03:00–03:30]
Welcome. Thank you. I'm Brenda Jones and I am a member of the community. I have lived in the KDISD
school district since 1980. I had four children that went to Katie Schools, and I have two
grandchildren who are about to attend Katie Schools. But most of all, I'm concerned about all of the
children in the community. I'm a Keys mentor and I am a child advocate in Harris County, and my
concern always goes to all the children, not just

[03:30–04:00]
my own. I am here tonight because I have spoken to teachers who basically either don't have the time
to be able to get here tonight or are concerned about their own jobs as being teachers and don't are
afraid to come forward. But they are concerned because they are not able to have the planning time
that they need during the",0,5
2,0:04:00,0:06:00,"[04:30–05:00]
day. And I'm told that like they are called away to substitute for because a teacher they don't have
a substitute for a class because they haven't been able to call a substitute or something. But I'm
sure tonight you're going to hear from teachers who will be able to tell you specifics about why
they don't have this planning time.

[05:00–05:30]
Because I know we can't, we would love to be able to pay our teachers more than they get, which is
that's always going to be a problem with teachers. But we want them to be happy in their jobs. We
want them to have the planning time that they deserve, and and that they need planning time,
certainly, so that they can do their job and that they have a time during the day when they can take
a mental break and be able to focus on what they're doing. That's required in any job. So I

[05:30–06:00]
I I can understand having I've never been a teacher, but having had jobs, I know that's very
important to be able to plan during the day. So I I want all the teachers to know who are going to
talk tonight who and and who have come tonight that the community is behind you and we support you
and we want you to have the resources that you can that you deserve, and I'm sure the board is with
you as well. Thank you. Thank you.",0,5
3,0:06:00,0:08:00,"[06:00–06:30]
Our next speaker is uh Autumn Maylor. And after that is uh Amy Whitlow Good evening, President
Perez, Dr. Grigorsky, and school board meet members. Thank you for giving us this opportunity to
speak up about something that is vital to what I do in my classroom, my planning time. My name is
Autumn Mahler, and I'm a high school teacher. This is my ninth year in Katy and my eighteenth year
in education. I was not sure that I wanted to come here and speak today because I'm afraid.

[06:30–07:00]
of retaliation. But at the same time, I have to speak up for all of my coworkers who aren't able to
be here for one reason or another. It's unclear on whether or not the decisions being made are at
the campus level or if this truly is a domino effect of decisions being passed down to my
administration. Regardless of where these decisions originated, I can share with you the effects
felt by a classroom teacher. I know from watching the last board meeting that you believe your
school principals understand teachers are to have 45 minutes uninterrupted and with no duties
assigned during their school day to plan and prep for their classes.

[07:00–07:30]
By state law, I'm to be given 450 minutes every two weeks. I currently have exactly a 45-minute
planning period which meets that requirement exactly. My conference is from 843 to 928 every day. In
October, I received an email invite to a PLC meeting for social studies where we were informed we
would be meeting weekly during our conference. Our goal was to rewrite the Canvas curriculum we had
been given. I responded to that email and shared my concerns about planning time. Then I spoke
directly with my assistant principal who scheduled a meeting with my principal in October to discuss
my concerns.

[07:30–08:00]
My principal informed me that other schools are using teacher planning time this way, so it must be
okay. I printed out state law and information from the Texas Teachers Union to give them, but the
information was not acknowledged. I informed my principal yesterday, because I respect her that I
will be speaking here today. Today we received an email canceling our PLCs so that they can be
restructured. She heard my concern and I appreciate it. However, this is not the case on other
campuses. As a result of losing these conference periods, I'm struggling to rewrite the Reigns
Canvas curriculum, which the district wants us to implement. My team of three social studies",0,5
4,0:08:00,0:10:00,"[08:30–09:00]
teachers are expected to complete the Herculean task of creating new computer based curriculum for
five core social studies classes. I believe my principal when she says that she has asked for help,
but none has been given. This has taken away from the normal tasks that I need to complete in order
for my class to be functional. I do not feel like my students are receiving the quality education
that KDISD prides itself on. With less time available during my conference period, I'm forced to
multitask during class. So instead of spending that time working one on one.

[09:00–09:30]
Time working one-on-one with students. I'm at my desk completing grades, communicating with
guardians, doing art paperwork, sending off transfer grades, or any other number of tasks that need
to be completed on a daily and weekly basis. Thank you for your time. Thank you. Amy Whitlow,
followed by Tana Weiss. Good evening, board members. I stand before you as a parent, a former
substitute teacher, a former instructional coach.

[09:30–10:00]
and a current teacher in KDISD. Speaking in regards to insufficient teacher planning time, I also
represent the teachers that are scared to step forward and speak for themselves. There are several.
My unique experience within KDISD has shown me that across the elementary campuses, following the
Texas law for planning is a major problem. It was suggested in a previous board meeting that this is
a campus problem. I'm here to tell you that this is not a few selected schools and a handful of
teachers at an elementary level. This is a district problem.",0,5
5,0:10:00,0:12:00,"[10:00–10:30]
I was instructed last year as an instructional coach for reading and writing to follow a detailed
plan for two planning periods each week in which the teachers should not deviate from, nor should I.
I assure you, it does not say my elementary school name on it, it does not say my administration's
names on it, it says Katie ISD. I have provided you with copies of this. In addition, I met with
several other instructional coaches in math and science facing the same issues.

[10:30–11:00]
that teacher plannings were dictated by administration. And this administration on the campus level
has constraints put on it from the district. Working at several campuses, I have heard planning days
called sacred days and dedicated days, in which they will not plan ARDs or other meetings.
Therefore, those other those are planned for the other three days of the week, taking additional
plannings away. I myself have documented 26 school business days in a row where I had zero planning
days due to this type.

[11:00–11:30]
of structure. I have also spoken with friends in secondary at four different campuses. They informed
me that it is even worse than elementary school. One of my friends laughed and said, What is a
planning period? I substitute teach other classes during that time since we do not have sub
coverage. This too is a district issue, the lack of substitutes. To be clear, I am not opposed to
planning with my colleagues, but I am opposed to these plannings being scripted for us, dictated
which days we meet, what will be

[11:30–12:00]
discussed, someone telling us that we are late, telling us to keep on track if we want to discuss
something different. And those are just a few that I experienced at different campuses. And after
speaking to many, many other teachers, it too is a problem at their campuses. The solution is
simple. Give control of plannings to teachers. We are, after all, professionals. Thank you very much
for your time. And I also want to thank my campus principal for her support.",0,5
6,0:12:00,0:14:00,"[12:00–12:30]
Thank you. Tana Weiss, followed by Yarrow Sledge. Welcome. Good evening, Dr. Gogorski and board
members. My name is Tana Weiss, and I'm reading on behalf of several teachers tonight. Thank you for
listening to teachers. I've been a teacher for 20 plus years in KDISD in the elementary school.

[13:00–13:30]
School. I have taught students in pre-K, Kinder, Third, and 6th through 8th grades. I'm sending this
letter to express information from several different teachers at several different elementary
schools. Teacher planning time is valuable for teachers for many different reasons. The most
important is planning for students. Teachers need to meet together in order to plan what they'll be
teaching to their students. In elementary, this is so important. You want the teams to be on the
same page. We live in Katie, Texas, and let's face it, parents talk. This is also

[13:30–14:00]
a time to help new teachers learn material. I feel strongly that as a veteran teacher, we can always
learn something new and some need to learn something new. No teacher should ever think they do not
need to plan with others or that they know it all. I do agree with some of the points that members
of the Texas AFT have presented. Yes, there are some meetings that really could be handled with an
email, but this should be handled at each campus and not with the school board. To several teachers
at different campuses.",0,5
7,0:14:00,0:16:00,"[14:00–14:30]
This seems to be like some members of the school board are trying to blame someone. Teachers need
more help with SPAD students and ESOL students. These are the topics that the school board should be
addressing. SPAD teachers are amazing yet so overloaded. ESOL does not have the help needed for all
the different languages in CD. With that being said, I feel that a survey should have been sent to
all the teachers so that you could truly understand what is occurring.

[14:30–15:00]
with teacher planning time. Please do not make a rash decision when there are so many campuses and
teachers that are okay with the planning time provided. Thank you for listening to both sides of
this situation, signed Concerned Teachers. Thank you. Welcome. Good evening, President Prez, board
members, Dr. Grigorsky, and staff.

[15:00–15:30]
Gorskian staff. I am here to address the complexity of teacher planning time. Having worked in the
district from 2009 to 2023 across multiple roles, including second, third, fifth grade, self-
contained special education teacher, emerging bilingual teacher, and textbook clerk, I have
experienced firsthand the varying demands placed on teachers. Planning periods were often consumed
by ARD meetings, staffings, 504 meetings, parent conferences, ESL collaborations, student support
meetings, CPS reporting, assisting students in need, just to

[15:30–16:00]
name a few. As Dr. Grigorski mentioned last week, teacher planning time is not a one-size-fits-all
issue. The needs differ significantly across schools, grade levels, and individual classrooms.
Throughout my time in KDISD, I was fortunate to work with administrators who fostered open
communication and problem solving. When I face challenges that impacted my planning time, my
administrators worked with me to find solutions, such as assigning a student teacher to me,
adjusting my duty schedule at dismissal time, or even involving district leadership.",0,3
8,0:16:00,0:18:00,"[16:00–16:30]
to provide additional support. I do want to note I was never retaliated against. These interventions
not only helped manage my workload, but also made me feel valued as an educator. While these
solutions may not be feasible for every campus or teacher, they illustrate the complexity of this
issue. Due to legally mandated meetings and the varying demands placed on educators, a standardized
policy cannot effectively address the complexities of teacher planning time. Requiring staff to
attend meetings before or after school.

[17:00–17:30]
contract contractual hours is neither a feasible nor sustainable solution. Implementing a blanket
policy without providing the necessary resources to campuses only exacerbate existing challenges
rather than solving them. Moving forward, I encourage a collaborative and flexible approach that
prioritizes ensuring both compliance and the well-being of educators. Thank you. Thank you. Alison
Knight, followed by Laura Johansson.

[17:30–18:00]
Good evening. My name is Allison Knight, and I'm a fifth grade teacher in KDISD. In my conversations
about teacher planning time, I have heard many questions about the legality of group planning
sessions potentially counting towards the state-protected 450 minutes. In the 1986 Stratter versus
Houston ISD court decision, the commissioner stated: The purpose of the planning and preparation
period is to allow teachers planning and preparation as the teacher, not the administration, deems
best.",0,5
9,0:18:00,0:20:00,"[18:00–18:30]
The statute clearly relieves the teacher of any duty during this period of time and prohibits the
district and its administration from requiring the teacher to engage in any other activity the
administration determines to be useful and important. Dr. Grigorski, last week you stated that your
position has always been to follow the Texas Education Code, which is great. But you suggested that
if teachers had complaints, we should take them up with our chain of command. Principals, area
superintendents, or you directly, which I trust would be effective if it were affecting just a few
teachers in campuses.

[18:30–19:00]
However, since the start of this 24-25 school year, 171 teachers from 56 KDISD campuses have
reported regularly losing at least one planning period a week. This is 78% of KDISD elementary
schools, 61% of KD junior highs, and 80% of KD high schools for a total of 74% of campuses across
the district that have teachers regularly losing state protected planning time.

[19:00–19:30]
And this is just from a short survey. Imagine what the actual number is. These numbers are alarming
and clearly not a coincidence or a one off, nor is it a problem isolated to individuals in any way.
This issue originates at the district level. The mandate for these planning periods was given
without considering the legal implications, and now the responsibility is unfairly being swept down
to campus administrators to fix a compliance issue created by district administration. We've raised
this concern multiple times with district administrators, including directly to area
superintendents, yet the response has been silence, dismissal, or even

[19:30–20:00]
intimidation. One teacher at the last board meeting even suggested an immediate free solution. Trust
teachers as professionals to collaborate as we see fit. She also provided a list of other solutions,
and another teacher will present even more solutions for you this evening. Unless the Katie way is
to violate the Texas Education Code, I urge you to stand behind your previous statement. Follow the
code, follow the law, make it abundantly clear to every teacher on every campus that mandated group
planning time is now optional and on our terms because it cannot be mandated.",1,4
10,0:20:00,0:22:00,"[20:00–20:30]
Thank you for your willingness to hear our teachers' voices this evening and work with us. I look
forward to seeing impactful solutions for us teachers and our students. Thank you. Thank you. Laura
Johansson, followed by Sarah Johansson. Good evening. My name is Laura Johansson, and I'm a teacher
here in KDISD. As you know, under state law, teachers are entitled to a minimum of 45 minutes of
planning time during each school day. This is not just a record.

[20:30–21:00]
This is not just a recommendation, it is a legal right. However, at least 78% of elementary campuses
on our district are currently facing a situation where this legally required planning time is being
reduced or taken away entirely. It is outlined clearly in the staff handbooks. Teachers are losing
two planning periods each week. To make matters worse, arts are also being scheduled during planning
times on the other days, further depriving teachers of the time they need to prepare lessons for
their students' success. This theft of planning time has gone on for far too long, and I stand here
today to say enough is enough. By scheduling additional obligations during teachers' legally
required

[21:30–22:00]
planning periods, the district is violating the law. Teachers are entitled to that time, and the
loss of it is more than just a logistical issue. It's an ethical one. It undermines the quality of
education we provide to our students, and it leaves teachers feeling overworked, undervalued, and
stretched thin. At this moment, the district owes its teachers over five days of compensatory time
just for the twice weekly planning periods that have been stolen from teachers this school year.
This is a considerable amount of time, and it was time that was legally guaranteed but
systematically stolen from teachers. In addition, I want to point out that next year's master.",1,4
11,0:22:00,0:24:00,"[22:00–22:30]
schedule for elementary schools is still in violation of the law. If we continue down this path, we
risk further harm to both teachers and students alike. So it's critical that we address this issue
immediately. I am lucky that my campus administration supports us and is willing to work with us to
try to find a solution, even though this issue is bigger than our campus. I ask that this board
listen to voices of teachers who are directly impacted by these scheduling decisions. We need your
support to correct the mathematical errors and the planning time allocations and to ensure that our
master schedules for the upcoming school year are in compliance with the law.

[22:30–23:00]
Teachers should not have to fight for their legal rights. We should be supported by a system that
prioritizes the well-being of both educators and students. In conclusion, the district must take
immediate action to restore the planning time that is rightfully ours. We need changes that not only
respect our legal rights, but also reflect the respect and value that we as teachers deserve. I urge
this board to walk alongside us, listen to our concerns, and act swiftly to correct the issue. Only
then can we move forward in a way that ensures our teachers have the time needed to provide the best
possible education for all our students.

[23:00–23:30]
Thank you. Thank you. Sarah Johansson. After that, uh Dana Watson. Good evening, members of the
school board, administrators, teachers, and fellow students. My name is Sarah Johansson and I'm a
junior at Morton Ranch High School. I am here tonight because I care about my education and the
well-being of the teachers who make it possible. I want to talk about something that isn't always
obvious unless you're living it every day. Our teachers are being stretched too.

[23:30–24:00]
thin. Their planning time is being taken away on a regular basis, and as a result, we, your
students, are feeling the effects. Planning time isn't a luxury for teachers, it's a necessity. It's
the time they use to prepare meaningful lessons, tailor instruction to our needs, gather materials,
and grade our work. But when that time is stolen, when meetings run over, when extra duties pile up,
when administrative tasks overshadow classroom preparation, it creates a domino effect. I have
personally walked into class to find my teacher flustered and unprepared because they just rushed
from an unexpected meeting. I've seen them search.",0,5
12,0:24:00,0:26:00,"[24:00–24:30]
I've seen them searching for materials that weren't copied in time or scrambling to adjust an
activity that hadn't yet been finalized. I've even had to wait outside of a locked classroom even
after the tardy bell because my teacher hadn't yet been released from a meeting. This is not just an
inconvenience. It cuts into our limited learning time. For students like me who are in GT or
advanced classes, the impact is even more pronounced. Many of us thrive on differentiated
instruction, lessons that challenge us, push us further, and align with our unique abilities and
interests. But how can teachers develop these types of lessons if they don't have time to prepare
themselves?

[24:30–25:00]
don't have time to prepare the basics. Instead of engaging projects or individualized instruction,
we often get generic assignments that don't meet our needs. Not because our teachers don't have this
desire or skills, but because they simply don't have the time. Teachers are constantly being asked
to do more with less. Less time, fewer resources, and growing expectations. But at what cost? When
teachers are overwhelmed, their stress carries into the classroom. When they're unable to prepare,
our lessons suffer. When they're bogged down with meetings instead of preparing for us, our
education is directly affected. I'm asking you, as members of this board,

[25:30–26:00]
to take a hard look at the policies and decisions that are robbing our teachers of their planning
time. What can be done to protect that time? What changes can be made to ensure that meetings and
administrative tasks don't take precedent over preparing for student learning? If we truly value
education, we must also value the time it takes to make it effective. Our teachers deserve better,
and so do we. Thank you. Dana Watson, followed by Jennifer Schneid.",0,5
