chunk_id,window_start,window_end,text,binary_hit,confidence
0,0:00:00,0:02:00,"[00:00–00:30]
Noting that a quorum is present, I hereby call this regular board meeting of the Board of Trustees
of Katie Independent School District to order. Today is Monday, May 12, 2025, and the time is 5 03
p.m. Dr. Ragorski, will you verify that we're in compliance with the previous provisions of the
Texas Open Meetings Act with regard to notice for this meeting? Mr. President, I do confirm we're in
compliance of the provisions of the Texas Open Meeting Act for our meeting tonight. Thank you. The
first item of business is to administer the

[00:30–01:00]
oath of office to the newly elected members of the KD Independent School District Board of Trustees.
Debbie Davis, Secretary for Board Services and Notary, will administer the oath of office to our
newly elected members, Mr. Lance Redmond and Mr. James Cross.

[01:00–01:30]
Of the office of school board trustee. Of the office of school board trustee. The Canadian
Independence School District. State of Texas. And will to the best of my ability to the best of my
ability. Preserve, protect, and depend.

[01:30–02:00]
Preserve, protect, independent and law. The United States. And of this state.",0,5
1,0:02:00,0:04:00,"[02:00–02:30]
Before turning the meeting over to the Vice President to continue with the meeting, um, I'm going to
uh if you indulge me, I'm going to make some um closing sort of farewell remarks, if you will. I
would like to extend my heartfelt thanks to the KDIC community for the opportunity to serve you. It
has been both an honor and a privilege. Throughout my tenure, I've had the pleasure of working
alongside many dedicated educators, staff members.

[02:30–03:00]
and parents, all deeply committed to the success of our students. One of the most rewarding aspects
of this role has been engaging directly with parents and teachers, listening to their concerns,
being their advocate, and striving to address the issues that matter most to them. I'm especially
grateful to trustees Amy Teamy, Mary Ellen Kuzella, and Morgan Calhoun for their confidence in my
leadership, for electing me as board president, and for their collaborative spirit. Together we
enacted meaningful policies designed to safeguard our children and strengthen our district.

[03:00–03:30]
District, among these were the groundbreaking parental authority and gender fluidity policy,
policies to ensure curriculum and library materials are appropriate and educationally suitable, and
measures to limit cell phone use in our schools to foster a better learning environment. During my
presidency, I asked more of trustees, greater time commitments, deeper engagement through board
committees, and participation in two board meetings per month. I am deeply appreciative of the hard
work.

[03:30–04:00]
and dedication shown by my fellow trustees and district staff. I would also like to thank Dr.
Grigorski for his accessibility. Establishing working committees was essential. These committees
allow trustees to perform due diligence, ask necessary questions, and collaborate effectively with
district leadership. A board without such committees risks becoming a mere rubber stamp, failing in
its oversight role. Regardless of the talent within our district administration, it is the board's
responsibility to",0,5
2,0:04:00,0:06:00,"[04:30–05:00]
To engage, scrutinize, and contribute solutions with a strong work ethic. As I conclude my service,
I would like to offer some recommendations for the new board's consideration. As finances permit,
prioritize more substantial pay raises for educators with 20 plus years of experience, where KDISD
seems to lag. Continued and enhanced the teacher lump sum bonus program introduced this past year,
rewarding longevity and dedication.

[05:00–05:30]
Develop strategies to protect teacher planning time following recent board discussions. Reevaluate
the policies regarding fighting, physical contact, assault, and self-defense to ensure clarity and
fairness for students and staff. Revisit and strengthen the policy on naming of facilities to ensure
transparency, broad community involvement, and to safeguard against undue influence. Public service
is a noble call.

[05:30–06:00]
Service is a noble calling, but it also comes with great personal sacrifice and challenges.
Unfortunately, in today's climate, those who step forward to serve often face relentless personal
attacks, particularly on social media. The level of ugliness spewed on social media is out of
control. It's a darkness, a cancer. Constructive debate and differing opinions are vital to a
healthy democracy, but personal vilification serves no one and discourages good people from running
for school board. KDIFD belongs to the entire community.",0,5
3,0:06:00,0:08:00,"[06:00–06:30]
not to a select few or an inner circle who seek to somehow maintain control or feel entitled. We
must reject the toxicity and recommit to civility and truthfulness and focus on what truly matters,
the well being of our students. Another critical issue is voter engagement. School board elections
held in May suffer from chronically low turnout, with participation rates of around 7%. This is a
disservice to our community. Moving these elections to November when voter

[06:30–07:00]
turnout is significantly higher, should be a priority to ensure that the voices of more taxpayers
and community members are heard. As I step aside, I extend my best wishes to all trustees and the
new board as they begin the important work ahead. To everyone who supported me along this journey, I
am profoundly grateful. Please do not be disheartened. Every chapter has its purpose, and I firmly
believe God has a plan. Thank you.

[07:00–07:30]
Welcome to our new and returning board members. Uh the board will now convene in closed meeting as
authorized under section five five one point zero zero one of the Texas government code for the
following purposes Texas government code five five one point zero seven one, five five one point
zero seven four, and five five one point one two three. Um one two nine

[07:30–08:00]
The board will now reconvene an open meeting. Today is Monday, November, I mean May 12th, 2025, and
the time is 5:20 p.m. On behalf of my colleagues, I welcome everyone to the to this evening's
regular board meeting. And each board member received the agenda and documentation for this meeting
on Friday, May 9th, 2025. The board will receive information and recommendations from staff and",0,5
4,0:08:00,0:10:00,"[08:30–09:00]
Administration and superintendent on these agenda items at tonight's meeting. Board members will be
able to ask questions, receive answers, and should be prepared to take action in accordance with
chapter 551 of the Texas government code. Any action arising from discussions in the closed meeting
must be taken in an open meeting. So we're going to go on to uh 5.1 consider and elect officers for
the 2025 2026 Board of Trustees.

[09:00–09:30]
Trustees. Trustees, we will now move to it and uh Madam Vice President. I would like to make a
nomination for president. I would like to make a nomination. I asked first. I said Madam President.
I haven't opened nominations are open for a position of the president. Madam Vice President, I would
like to make a nomination for president. Okay. Ms. Calhoun? Madam Vice President, I nominate Don
Champagne for the position of President. Madam President, while I'm I'm shocked at that.

[09:30–10:00]
Um, I would like to know I'm gonna nominate someone else, but I'd like to say the r to the rest of
you all if you I would appreciate your no vote to me. It is not my time for that right now, although
I I'm honored at the nomination. I would humbly like to have a no vote, and I would like to nominate
Lance Redman for president.",0,5
5,0:10:00,0:12:00,"[10:00–10:30]
Any okay a nomination was made by Morgan Calhoun to elect Don Champagne as president. Are there any
other nominations? No. Okay. Okay. We will vote on we're we're I've nominated Lance Redman. Right.
So we're gonna vote on your nomination, Don, and then we'll come to Lance. Okay? Madam Vice
President. Yes. You have to first entertain a motion to close nomination. I I understand. I was

[10:30–11:00]
just explaining to her what was going on. So do Madame Vice President. Mm-hmm. I move that the board
close nominations for the officer of president. Second. Okay, we will now proceed to vote. Board
members, please record your vote to close nominations on your keypad.

[11:00–11:30]
Okay, the nomination shall be voted on in the order in which they were nominated. A nomination was
made by Trustee Calhoun that the board elect Don Champagne for the office of president of the Board
of Trustees for twenty twenty five twenty twenty six school year. We will now proceed to vote. Board
members, please record your vote via your keypad.

[11:30–12:00]
So we will um the uh the nays have it and the motion has not been adopted. So now we will move um to
the second person nominated and repeat the vote. So now we're gonna vote on Lance Redmond being um
president.",0,5
6,0:12:00,0:14:00,"[12:00–12:30]
The nomination is approved by five to two vote. And Mr. President, it's all yours. Thank you, Ms.
Teamy. Nominations are now open for the position of Vice President. Mr. President? Yes, Ms. She. I
would like to nominate Rebecca Fox.

[13:00–13:30]
as our Vice President. Nomination was made by Don Champagne to elect Rebecca Fox's Vice President.
Are there any other nominations? The Chair will entertain a motion to close nominations. I move to
close nominations. Second. We will now proceed to vote on closing nominations. Board members, please
record your vote to close nominations via your keypad. Nominees will now be

[13:30–14:00]
voted on in the order which they were nominated. A nomination was made by Don Champagne that the
board elect Rebecca Fox for the office of Vice President of the Board of Trustees for the 2025-2026
school year. We will now proceed to vote. Board members please record your vote via your keypad. The
nomination is approved by a five to two vote. Congratulations, Mr. Fox.",0,5
7,0:14:00,0:16:00,"[14:00–14:30]
We will now move on to nominations for secretary. Nominations are open. Mr. President. Yes, Ms. Fox.
I nominate Don Champagne as Secretary. The nomination was made by Rebecca Fox to elect Don Champagne
as Secretary. Are there any other nominations? The chair will entertain a motion to close
nominations. I move to close nominations. Second.

[14:30–15:00]
Please record your vote to close nominations via your keypad. The motion passes seven to zero. We'll
now vote on nominees in the order which they were nominated. A nomination was made by Rebecca Fox
that the board elect Don Champagne for the office of Secretary of the Board of Trustees for the 2025
2026 school year. We'll now proceed to vote. Board members, please record your vote via your keypad.

[15:00–15:30]
The nomination is approved with a four ayes, two nays, and an abstain. Congratulations, Miss
Champagne. Mr. President. Yes, Miss Fox.

[15:30–16:00]
Yes, Ms. Fox. I ask for a point of personal privilege, please. Because our room is so crowded with
all of our honoree, our student honorees, would it be possible to take a brief couple of minutes to
take some pictures of the newly elected trustees with their families? And we have a lot of uh former
trustees here, and we'd like to get a quick photo of that so that then we can open up some of these
seats. I'm okay with that. We'll do that and then we will close out this part of the election.
Nomination. Well, the election",0,5
8,0:20:00,0:22:00,"[20:30–21:00]
This concludes the election of board officers. We'll now move on to the next agenda item, uh item
six point one, and the presenter is Dr. Ken Gruborsky, Superintendent. Thank you, Mr. President. So
earlier tonight we had our first ever annual um military uh presentation where we honored all of our
students who are going into the military, and as part of that, we have a special presentation.

[21:30–22:00]
tonight. We don't always get the honor of having our JROTC here, but they are here with us. So those
of you who watch board meetings know we always do the pledge and then we do the national anthem, but
we're going to do the colors first, pledge and national anthem. So I'm going to introduce all those
folks and then we'll jump right into that part of the uh presentation. So we've got our uh JRTC here
today. They're uh Cadet Chief Petty Officer Cody Lee from Morton Ranch High School, Cadet Seaman
Ryson Ramos from Made Creek High School, Cadet Petty Officer Second Class Jordan Garecki from Made
Creek High School.",0,5
9,0:22:00,0:24:00,"[22:00–22:30]
From Maid Creek High School, and Cadet Seaman Christopher Reyes Luna from Made Creek High School.
And this group of students is led by Commander Elvis Michael. Bringing up in just a few minutes,
we're going to get our special guest who's going to do our Pledge of Allegiance, and that is Blaise
Thibodeau, fifth grader from Griffin Elementary. Principal Jackie Kython, parents Amber and Joel
Thibodeau, has a sibling Perrin Thibodeau over at Beckendorf. Students special interest playing
football, playing the piano, and hanging with friends. Favorite subjects writing and science.

[22:30–23:00]
A couple of quotes from some folks as Principal Jackie Kython. Blaze is that child in your building
you just catch being good. He was a leader and a member of the House Council. Blaze is the one who
will break a line to allow an adult pass through. He is also a kid who will be found patiently
working with an English language learner student to translate and learn a new skill. On the
playground, Blaze is the one who takes time to include a student with special needs in the football
game by tossing the ball in his direction lightly and comfortably toward his outstretched arms.
Blaze is empathetic and respectful of others. And from Sarah Canalis.

[23:00–23:30]
From Sarah Canales, his English teacher. It's a tremendous honor to speak about a remarkable student
who not only represents our amazing school, M GE, but embodies the very spirit of excellence,
determination, and compassion. Blaze is dedicated to his studies and has a passion for creative
writing. Whether crafting a vivid and engaging story or compelling his audience through persuasive
essays, his love for writing is evident in every piece he creates. In addition to his academic
pursuits, he is an exceptional athlete. His commitment to his favorite sport of football is
unwavering, and he approaches every

[23:30–24:00]
play at recess with a spirit of perseverance and sportsmanship. Perhaps what sets Blaze apart the
most is his compassionate nature. He is not only hardworking and talented, but also incredibly
empathetic. He is a shining example of what it means to be a dedicated student, a talented athlete,
and a compassionate friend. We are incredibly proud to have Blaze represent Michael Griffin
Elementary tonight.",0,5
