chunk_id,window_start,window_end,text,binary_hit,confidence,
0,0:00:00,0:02:00,"[00:00–00:30]
Noting that a quorum is present, I hereby call this regular board meeting of the Board of Trustees
of Katie Independent School District to order. Today is Monday, December eighth, twenty twenty-five,
and the time is five PM. Dr. Gogorski, will you verify that we are in compliance with the provisions
of the Texas Open Meetings Act with regard to notice for this meeting? I do confirm we're in
compliance of the provisions of the Texas Open Meeting Act for our meeting tonight.

[00:30–01:00]
On to uh section two, our pledges of allegiance. Yeah, we're ready. We've got some exciting stuff
going today. We have a pledge leader coming to us from Hutsell Elementary, Dylan Vasquez, fifth
grader. I see his principal is out there, Shante Smith, parents Maria and Aleandra Vasquez, our uh
pledge leader tonight, Dylan. He likes soccer and art. His favorite subject is math. And from Miss
Bertrand, ELA and social studies teacher, Dylan's an outstanding young man. I'm eager to witness the
great things he will accomplish. And from Miss Uh from Miss Hausch, Math.

[01:00–01:30]
and science teacher, Dylan demonstrates integrity, humility, and quiet leadership every single day.
It's the kind of student who helps others without being asked, without expecting rec recognition,
and often without his teachers even knowing he stepped in. Dylan notices when classmates are
struggling and he checks in with them, offering encouragement, support, or advice to help them be
successful. We are proud to honor Dylan tonight for the remarkable character, generosity, and
determination he shows every day. But before we bring that pledge leader up, I'm going to go ahead
and

[01:30–02:00]
introduce over to my left over here a whole bunch of kids that are from the Falden Elementary Vox
Canis Choir, who will be performing the national anthem after the pledges. Uh, principals Catherine
Leaper, and our music directors with us tonight, Abigail Martin and Haley McCutcheon, and students
from the choir, Palumi Akinbola, Luis Solis Garcia, Lily Carinder, Jace Pontius, Tyler Farrington,
Mila Law, Rusty Pratt, Erie, Okuboy Ayu,",0,5,15
1,0:02:00,0:04:00,"[02:00–02:30]
Ayu, Quinn Weatherford, Maya Branch, Bethany Hoffman, Haley Zelaya, Delilah L, Tyler Carender,
Juliette Capen Cappellini, and Alan Anyachum. And a quote from our music directors the fifteen
vocalists here this evening are representing the ninety member Elementary Choir at Falden
Elementary. They show up eager, joyful, and ready to learn, and they remind us every day why music
matters. Fountain Elementary is proud to share their voices with you at tonight's board meeting.

[02:30–03:00]
Also welcome. I see Mr. Falden out there from Falden Elementary. Great to have you here tonight as
well. So let's go ahead and start with the pledge. I pledge allegiance to the flag of the United
States of America and to the Republic for which it stands, one nation, under God, indivisible, with
liberty and justice for all. Honor the Texas flag. I pledge allegiance to thee.

[03:00–03:30]
Seems to be Texas one state under God, one and indivisible.

[03:30–04:00]
Can you see why the horsemen light? We're so proudly we held at the twilight's last dream. Whose
rush rise and bright stars through the hell that spies or the red but we watched were so calmly.",0,5,
2,0:04:00,0:06:00,"[04:30–05:00]
And the rock is went. Oh, save us as I spend up and very for the land of the tree and the whole of
the

[05:00–05:30]
And if I could have Dylan, our pledge leader, come back up. I think you had some prepared remarks
you wanted to share. Come on back up.

[05:30–06:00]
Uh my name is Dylan Vasquez and I want to share a little about my time at Hudson Elementary. So my
favorite class is math because it involves numbers and I've liked that since I was a very young
student. I also think math is exciting because there's a lot of career outcomes that involve math.
My favorite grade was fourth grade because it got me into the gifted and talented program and I was
able to showcase most of my skills. I also got to participate in the Men of Honor program and serve
as class representative for student council. I don't have a favorite teacher because I love all my
teachers. They're all different and their personal",0,5,
3,0:06:00,0:08:00,"[06:00–06:30]
Different and their personalities made learning fun. Each teacher taught me different skills that
helped me learn more, and I have a big bond with all of them. When I came to Hudson in first grade,
I was pretty nervous. I thought I would only make about five to ten friends by the end of the year.
On my first day as I walked down that long hallway, so many people greeted me, which instantly made
me feel welcome. By the end of the year, I had bonded with all the kids and felt part of the school
community. I like everyone because each person has their own skills and personality, and I try to
learn from them every day.

[06:30–07:00]
I want younger students to know that Hatsu is a place where you can connect with everyone, make
friends, and showcase yourself. When I go to school, I think of it as if it was my last day ever
learning there. So I give it my best and try to make it memorable. Something very important I
learned is responsibility. Going to school and learning how to handle all the work along with
balancing social life is important because when you get older you will have more responsibilities.
I've also been learning how to deal with setbacks, like when I don't score as well as I wanted or as
I'm used to, and how to work through those challenges. Thank you so much.

[07:00–07:30]
So I wanted to let uh everyone know that Dylan is a very special student because only so many of
them get asked. So you must have impressed it. So you're gonna get extract act.

[07:30–08:00]
And I was so.",0,5,
4,0:08:00,0:10:00,"[09:00–09:30]
Alright, everybody. Have everybody kind of step backward? That'd be great. And picking that. Yeah.
And come backwards. There we go. And then we go to the squeeze in right here on the right side.
Yeah, there we go. Perfect. Awesome. Alright. Count down three, two, one. One more. Three, two, one.
Alright. Okay.

[09:30–10:00]
All right, I'm gonna take one more here. Three, two, one. All right. Thank you. Thank you, Dylan,
and Vox Canis. Uh, we have a another special recognition tonight, and we'd like to extend our
sincere appreciation to the Girl Scout troop, the Girl Scouts and Troop Leader Sarah Seegert, uh,
for their time and effort in putting up the Christmas tree that you were able to see as you walked
into our reception area.",0,5,
5,0:10:00,0:12:00,"[10:00–10:30]
at the ESC. Ladies, would you like to come forward and introduce yourself? Hello, I'm Hannah
Hilbert. I'm in eighth grade at Martin Ranch Junior High. I'm a Girl Scout cadet. Right now I'm
working on my Sopheroad project. My goal for this is to support the Girl Scout Horse Program by
helping teaching girls about safety and how to care for horses. Through this project, I hope to help
the Girl Scout and Horse Program community. Thank you. Thank you. My name is Eliza Dunham. I am a
fifth grader at James and Keiko Davidson Elementary.

[10:30–11:00]
I'm a junior and I just earned my bronze service award. My trip and I collected and sorted over
seventy pounds of crayons to be melted into new crayons for children's hospitals all over America.
Awesome. Thank you so much.

[11:00–11:30]
My name is Ayla Denham. I am a fourth grader at Davidson Elementary and I am in Miss Laddis class in
the fourth grade. I am a Daisy in Ghost Scouts and I just finished doing my coding for good badge
one.

[11:30–12:00]
this week I got several compliments on how beautiful the Christmas tree was. So thank you so much
for giving your time uh and just your free time when you could be doing so many other things to come
help decorate for us. Ms. Mr. President, may I ask you to as I I am so happy y'all are here. I just
want to let you know I was a Girl Scout troop leader for twelve years and both of my girls um have
their gold awards, they got their bronzes, they got their silvers and so it's very hard work. So I'm
really, really proud of you girls for getting those. And I know the little one there will be on her
way also. Exciting. Thank you. Yes.",0,5,
6,0:12:00,0:14:00,"[12:00–12:30]
Yes. Thank you so much. We could get a photo real quick. Yes. Look at all those badges. Thank you.

[13:00–13:30]
Do we have any other scouts in the audience tonight? We had a couple back there, but they're walking
out, so they're not here in a scouting capacity. Um well uh tonight, just like we've done over the
past few months, uh trustees are probably wearing the distinguished colors of one of our ten high
schools, Cinco Ranch High School. And in a spirit of unity and support, as we celebrate the
outstanding accomplishments of the Cinco Ranch community, trustee Amy Teamy uh fulfills the
important role of KDIC board liaison for Cinca Ranch High School.

[13:30–14:00]
uh for Cinco Ranch High School and I welcome her to share a few words, Miss Teamy. Thank you, Mr.
Redmond. I want to recognize our educators, our coaches, fine arts, and our staff who helped build
Cinco Ranch High School's legacy who are with us tonight. Thank you very much for being here.
Appreciate y'all. And um just a little bit about Cinco Ranch High School. Cinco Ranch High School is
home of the fighting cougars built in nineteen ninety nine. And as a national blue ribbon school it
holds a long tradition of top ranking",0,5,
7,0:14:00,0:16:00,"[14:00–14:30]
Top rankings among Texas high schools in the Houston area. And Cinco Ranch High School excels at
empowering students towards academic achievement, creative expression, competitive success, and
lifelong impact, all while supporting what they have coined as future. F period, U period, T period,
U period, R period, E period. It's an anachronym that's important to Cinco Ranch High School. And
it's used to describe the school's commitment to a focus on academics and

[14:30–15:00]
Academics, user friendliness, teamwork, uniqueness, relationships, and a safe and loving
environment. With multiple track and field titles and top rankings in wrestling and cheer over the
years, Cinco Ranch High School has also graduated professional athletes and entertainers and has
been recognized as a Grammy signature school for its outstanding commitment to music education.
Let's go, I and I just want to add one other thing from a personal note for this.

[15:00–15:30]
that Cinco Ranch was instrumental in starting our robotics program that we have district wide. And I
think Cinco Ranch, I want to give you guys credit for that. Thank you for all that hard work
teachers and parents did to grow that because it is infectious and it's all we're trying to get it
in almost all of our schools. We have it now. And thank you, Cinco Ranch High School, for um
pioneering that for our for the benefit of our whole community and our STEM students. So just want
to give Cinco Ranch educators and staff that are here.

[15:30–16:00]
tonight, a big round of applause. And we'd love to take a picture with you. So if you're here from
Sacred Ranch, if you'd come up forward, board's gonna come around and take a photo with you.",0,5,
8,0:16:00,0:18:00,"[16:00–16:30]
All right. Make sure I can see you guys right there. Yes. If we can have some stand up on the on the
top back row right there. There we go. Yeah.

[17:00–17:30]
Yeah. We can set it up in two rows. There you go. All right. Test the lighting out. One second here.
Okay, perfect. All right. And three, two, one. And one more. Three, two, one. All right. All right.
Thank you.

[17:30–18:00]
So at this time, the Board of Trustees will give members of the public an opportunity to",0,5,
9,0:18:00,0:20:00,"[18:00–18:30]
speak in accordance with KDISD board policy BED local. As defined by board policy, speakers who
signed up by 2 p.m. on Monday, December 8th, 2025, will be allowed to address the board. Speakers
who signed up to speak on posted agenda items will be allowed three minutes to speak. A total of
thirty minutes is allotted for open forum non-agenda items with the time divided evenly among
speakers. The maximum time allowed for any speaker is three minutes. Speakers who signed up to speak
on posted agenda items will be allowed uh to speak on non-agenda items will be limited to the first.

[18:30–19:00]
twenty speakers. Speakers that signed up to speak on non-agenda items will be allowed, let's see, it
looks like eight, three minutes. If a speaker is not finished speaking at the end of their allotted
time, the audio will turn off. The board shall not tolerate disruption by of the meeting by members
of the audience. If after at least one warning from the presiding officer, any person continues to
disrupt the meeting by his or her words or actions, the presiding officer or his or her designee may
request assistance from law enforcement officials to have the person removed from the meeting. If
speakers wish to share written material with the board, please provide ten copies to the Secretary
for Board's

[19:00–19:30]
Secretary for Board Services before the meeting begins for board members, the superintendent, chief
communications officer, and permanent record. If a speaker has not attempted to solve a matter
administratively through proper channels as stated in board policy, the presiding officer's designee
shall advise the speaker to seek resolution through the appropriate policy. Finally, pursuant to
Texas Government Code Section 551.074 and 551.0821, the board will not permit the presentation of
personally identifiable information regarding a student and will not discuss the appointment,
employment, evaluation, reassignment, duties, discipline, or dismissal of a

[19:30–20:00]
public officer or employee or to hear a complaint or charge against an officer or employee. Should a
speaker wish to address one of these issues, they must do so through the appropriate local grievance
policies FNG local, DGBA local, CKE local, or GF local. Our speakers will be called forward in the
order that they signed up to speak. We will start with our agenda items and our first speaker
tonight will be Ron Stefani, followed by Sean Dolan. Good evening trustees.",0,5,
10,0:20:00,0:22:00,"[20:00–20:30]
Trustees, thank you for giving me this opportunity to speak to you tonight. I'm Ron Stefani. I've
been a resident of Cinco Ranch 2 for over 15 years. My daughter graduated from Tompkins High School.
I'm here to address something fundamental to the health of our district's governance, and that is
voter turnout and school board elections. KDISD holds its board elections in May, and turnout has
been abysmally low, only 5 to 7 percent. That means over

[20:30–21:00]
90% of voters are not participating in choosing the leaders who direct a billion-dollar budget and
make decisions affecting 95,000 students and over 14,000 employees. This is not partisan. This is
not about who wins. This is about whether our community participates. We already know how to fix
this because we saw it happen here. In November 2020, the COVID year, the board the one year.

[21:30–22:00]
or board election aligned with a general election, turnout soared from single digits to 75%. Not
because interest suddenly surged, I want to repeat that. Not because interest suddenly surged, but
because November is when people vote. Meanwhile, may elections catch voters off guard. Five to seven
percent turnout is not a mandate. It does not reflect the will of this community. Moving board
elections",1,5,
11,0:22:00,0:24:00,"[22:00–22:30]
to November of even numbered years would fix that. Here's why. Turnout skyrockets, often 60 to 75
percent, in even year November. Voters have already spoken. They participate in November. By keeping
elections in May, we choose a system that excludes the vast majority of taxpayers, parents, and
community members from having a voice. And it favors splinter.

[22:30–23:00]
Splinter groups. By moving elections to November, we strengthen legitimacy, transparency, and trust
in the board. So I ask the trustees to take one simple step. Please move board elections to November
starting in 2026. Let's give our community its voice back. Let's make our elections representative
again. And let's align with what voters have made clear. They don't show up in May, but they
absolutely show up in November. Thank you. Thank you.

[23:00–23:30]
Next next is Mr. Sean Dolan, followed by Donna McClur McElmury. Good evening. Uh as an Eagle Scout,
it's always good to see the Girl Scouts represented. Uh they they tend to get overshadowed a lot, so
it's great seeing that in the lobby. A couple of weeks ago, my son and I visited the state capitol.
Uh my son put on a suit, stood tall, uh, shook hands with a bunch of leaders, and enjoyed a tour
with uh state rep Michael Schofield. Uh and then we met a friend of mine in the Governor Abbotsall.

[23:30–24:00]
Governor Abbott's office, and after a few moments of talking with my son, she looked at him and she
said, You know, you're incredibly well spoken. And as proud as I was, I uh flash back to the day we
received my son's diagnosis, that uh moment that a lot of parents go through where your world kind
of tilts, and you wonder if your child is gonna be okay or if they're gonna fit in or if they're
gonna find their place. And um, my son is who he is today, in large part because of the
paraprofessionals people like Katie Elementary's Miss Jenny and Miss Adrian. Um",1,5,
12,0:24:00,0:26:00,"[24:00–24:30]
They didn't just support him, they believed in him. They taught him how to regulate, communicate,
and advocate. Pairs don't just assist instruction, they change lives. And because their role is so
critical, we also have to acknowledge something uncomfortable. Across Texas, we've seen news stories
where vulnerable nonverbal children were harmed by adults in support roles. When a district
underpays a position, when turnover is constant, when the applicant pool shrinks and standards are
lowered just to keep classrooms staffed, the risk to children increases, as does the legal exposure
and

[24:30–25:00]
settlement costs. It's more than fairness, it's about student safety. So let's talk about the
budget. Every month this board approves expenses that might be nice to have, but they're nowhere
near as essential as the people working directly with our kids. In the December amendment being
presented tonight, I noticed proposed spending for items such as a $23,000 vinyl wrapped namesake
dedication wall, thousands for staff travel and consultants, awards and incentives, equipment
upgrades, specialty training, even water bottle filling stations.

[25:30–26:00]
All of which will likely be approved tonight without question. So let's look at what we haven't
funded. KDISD's general fund is projected to end the year with a $332 million fund balance. That's
the district's savings account. TEA recommends $190 to $285 million in reserve. We are $50 to $140
million above that range. A meaningful raise for all paraprofessionals, even just two or three
dollars an hour, brings them closer to what Bucky's pays as a minimum. Would cost the district only
six to nine million dollars a year. That's a",1,5,
13,0:26:00,0:28:00,"[26:00–26:30]
tiny fraction of the district's overall budget and less than 2% of the fund balance. If we can
afford optional expenses, we can afford the people who shape our children's future. Thank you. Thank
you. Donna McIlmurray, followed by Margaret Daniel. My name is Donna McIlmurray, and I'm speaking on
the topic of election days.

[26:30–27:00]
Regarding the issue of when school board elections are held, I strongly urge the board to move our
elections to November. For the last 10 years, KDISD board elections in May have had single-digit
voter turnout. In the most recent election, May of 2025, turnout was only 7.5% of district voters,
which means nearly 93% of eligible voters did not participate. In May 2016,

[27:00–27:30]
2016, only 2% voted, and in May 2017, only 2.5% voted. Over the last decade, excluding 2020, that
means roughly 93 to 98 percent of our voters did not vote in our school board elections. This
extremely small fraction of voters is choosing board members who oversee an operating budget of more
than 1 billion dollars and make critical educational decisions affecting tens of thousands of
students.

[27:30–28:00]
To give one example, this past May, one of the races was effectively decided by about 0.6% of our
approximately 240,000 district voters. I would hope the board wants greater representation from the
community in determining who holds these important positions. In my own neighborhood, I've seen
firsthand that before a May election, most voters don't even realize an election is taking place. By
contrast,",1,5,
