chunk_id,window_start,window_end,text,binary_hit,confidence
0,0:00:00,0:02:00,"[00:00–00:30]
I call this regular meeting of the Spring Branch Independent School District Board of Trustees to
order. Let the record show that the time is now 6 p.m. and a quorum of board members is present.
David Slattery is not present, and Lisa Alpe is not present. This meeting has been duly called, and
the notice for this meeting has been posted in accordance with the Texas Open Meetings Act. Texas
Government Code, Chapter 551.041. Please stand up.

[00:30–01:00]
Please stand while Trustee Chris Ernest leads us in the Pledge of Allegiance to the U.S. and Texas
flags. To the flag of the United States of America, and to the Republic for which it stands, one
nation, under God, indivisible, with liberty and justice for all.

[01:00–01:30]
Please be seated. I would like to introduce the senior administrative staff. They are Miss Linda
Buckman, Associate Superintendent for Communications and Community Engagement, Ms. Karen Heath,
Associate Superintendent for Administration and Talent, Ms. Christina Masick, Associate
Superintendent of Information Technology, Dr. Annie Wolf, Associate Superintendent for Academics,
Ms. Christine Porter, Associate Superintendent for Finance, Mr. Travis Stanford, Associate.

[01:30–02:00]
Associate Superintendent for Operations, Dr. Jennifer Parker, Community Superintendent, Dr. Brian
Williams, Community Superintendent. I would like to introduce you to your board members. From left
to right, David Slattery is not present, board member Chris Ernest, Stacy Kim, Executive Assistant
to the Board, Dr. Jennifer Blaine, Superintendent, Lisa Alpey is not present. I am Board Vice
President Courtney Anderson, Board Secretary, Shannon Mayhem.",0,5
1,0:02:00,0:04:00,"[02:00–02:30]
Secretary Shannon Mahan, Board Member John Perez, Board Member Caroline H. Bennett. The first item
on the agenda is the prayer. Please stand and join Secretary Shannon Mahan in prayer. Father, thank
you for these students, their families, and their friends who are here this evening. We are grateful
for the unique gifts that you have given them and ask that you continue to provide opportunities for
them to use these gifts for many years to come. May this be a special night of celebrating these.

[02:30–03:00]
amazing kids. Amen. Dr. Blaine, do you have any opening remarks? I do, thank you. It's a little
lengthy, I apologize. But I wanted to start by welcoming everybody to our April regular board
meeting. And we have just one more month left of school, and our teachers, our students, are
continuing to work really, really hard. And I'm just really proud of all the work of our Spring
Branch family. Our kids and our teachers and our staff are just doing a tremendous job, and it shows
in their results. The April board meeting is always one of my very favorite meetings because we have
an opportunity.

[03:00–03:30]
to recognize so many talented and incredible students. And as we celebrate these students, we also
want to celebrate their amazing teachers who stand behind them and supporting and guiding and
nurturing them and where their talent lies in supporting that all the way. We also want to support
and acknowledge their fantastic teachers that have helped them get here. So congratulations to each
of you and to your proud parents, grandparents, family members, mentors, teachers, and principals.
Congratulations too to our school leaders, teachers, families, and volunteers whose schools are
being recognized as honorable.

[03:30–04:00]
As honor roll schools this evening. We know that it takes everybody's collective greatness, and
we're appreciative of everybody's effort to reach these amazing achievements. I wanted to just uh
put a few reminders out there to you. Um, we have our elections and they are currently underway.
Tomorrow is the last day of early voting for our trustee and 2025 bond election. There are eight
candidates vying for three trustee positions, and there are four separate propositions for the
proposed 2025 bond. Voters consider and cast their ballots separately for each proposition.",0,5
2,0:04:00,0:06:00,"[04:30–05:00]
Position. Polls are open tomorrow from 7 to 7 at our early voting sites around the district. And
election day is this Saturday. And on Saturday, polls are open from 7 to 7, and voting is at voters'
zoned middle school locations. So as a note and Ms. Porter always likes to remind us: if your
student is zoned to a certain middle school but they're going to another middle school, you actually
vote at the middle school that you're zoned, zoned to go to for attendance purposes. Additionally,
there's a robust 2025 bond website on the district website with one-pagers and videos.

[05:00–05:30]
with information about each proposition, current conditions, and opportunities for each facility,
along with the financial impact and more. Should you have questions, please be sure to reach out to
us at the following email address bond at springbranchisd.com, and we will get your questions
answered as soon as possible. And as a reminder, because we get this question a lot, bond funds are
totally separate from general funds, as bond funds are locally controlled and can only be used for
capital improvement projects and the like, such as building new facilities.

[05:30–06:00]
They cannot be used for teacher salaries, utilities, programs, or anything on the general operating
costs to run the school district. It is on the general fund side where we see the legislature
controls our revenues and has not provided an increase in the basic allotment or other significant
funding since 2019. It's the general fund where we had to make all of those reductions the past
couple of years. So on the legislative front, as we know, we're all in a legislative session. Last
week the Senate followed the House in passing Senate Bill 2, which is the voucher bill, with a",0,5
3,0:06:00,0:08:00,"[06:00–06:30]
billion dollar price tag. This is the largest initial voucher bill in the country, and it is moved
to the governor's desk for signing. We continue to monitor the puck monitor the public education
funding bills, which we expect to go to conference committee sometime in the next week. As we shared
recently, the Texas House of Representatives passed House Bill 2, its public education funding bill.
The House promotes or as promotes proposes $8.1 billion for public education, including a $5.1
billion for increased investment in public education.

[06:30–07:00]
including a $395 student increase in the basic allotment or per student, and $3 billion for specific
schools or programs, and including $700 million for smaller mid-sized districts, $1.6 billion for
increased compensatory education and early childhood allotments that would fund our full pre-K
system. Currently it's not fully funded, and $750 million for teacher performance pay. The Senate,
on their side, does not include an increase in the basic allotment, which is something that we have
advocated for.

[07:00–07:30]
in their plan to date, with a $5.6 billion allocated for public education. Of this total, $4.4
billion is for increases in teacher pay, $700 million is for special education services, and $500
million is for an increase in safety and security. The concern that we have right now is that with
the passage of the voucher bill, there is speculation that the attitude for funding public schools
is diminished both in urgency and inadequacy, meaning that the Senate may now be less likely to
budge on a compromise with

[07:30–08:00]
the House with the school funding bill, even if that's what they proposed that they were going to
do. So it's time for our community members to be reaching out, like only SBISD can do, and we know
we can advocate, and let our elected officials know that how critical increased funding for public
education is for our students, our district, and the 5.5 million Texas public school students who
are the future of our great state. Thank you. Thank you, Dr. Blaine. The next item on the agenda is
public comment on special presentations.",0,5
4,0:08:00,0:10:00,"[08:30–09:00]
Presentations. At board meetings, public comment time is set aside for individuals who wish to
address the board. To honor our guests and their time this evening, we will hear public comments
only on the special presentations at this time. All other public comments will be addressed after
the special presentation. Since no one has signed up to speak on special presentations, we will now
move on to the next agenda item.

[09:00–09:30]
This introduction will include special presentation agenda item 5A. Spring Branch ISD has incredibly
talented students who are annually recognized for their excellence in the visual arts. In
celebration of Youth Art Month, which concluded recently, we are pleased to welcome to the podium
Lindsay Ripley, coordinator for visual arts, who will introduce our award-winning students and share
their magnificent artwork via the slideshow that will run on the screen as they are introduced.
Lindsay, in turn, will call to the podium.

[09:30–10:00]
We'll call to the podium Jeanette Sears, our PTA Council Reflections Chair, who will share more
information about this award and introduce our talented students whose entries in the PTA Council's
Reflections Contest have advanced to state andor the national competition. Thank you. Good evening,
board members, proud parents, and honored guests. Tonight we celebrate the remarkable achievements
of our student artists, whose talent and dedication have earned them significant recognition in
prestigious competitions throughout the 24 25 school year.",0,5
5,0:10:00,0:12:00,"[10:00–10:30]
From the revered Houston Livestock Show and Rodeo to the Historic Scholastic Art Awards, the State
VASE Competition, and other respective platforms like Performing Arts Houston, PTA Reflections, and
the Congressional Art Competition, these awards reflect countless hours of skill development and
creative exploration. Their passion, discipline, and commitment are evident in the caliber of their
work. As we are prepared to applaud their individual accomplishments, let us acknowledge the immense
effort, unwavering dedication, and persistence and grit that form the foundation of.

[10:30–11:00]
their success. It is now my distinct pleasure to introduce these exceptional student artists.
Students, when you hear your name, please come forward. After each level has been announced,
students will take a photo with their teachers and board members. We'll start with elementary.
Madeline Cotter, Houston Livestock Show and Rodeo, Elementary Gold Medal. Clark Elder, PTA
Reflections Award of Merit.

[11:00–11:30]
Ethan Fran, Performing Arts Houston, Second Place, Division A. Angela Harper, PTA Reflections Award
of Merit. Alex Oliphant, Houston Livestock Show and Rodeo Student Art, Elementary Best of Show.

[11:30–12:00]
There it is. Eleanora Soto, PTA Reflections, honorable mention. Lila Thomas, PTA Reflections,
honorable mention. Students, we will now take a photo with your teachers and board members. Parents,
you may also take a quick photo at this time as well.",0,5
6,0:12:00,0:14:00,"[12:00–12:30]
Oh, I'm sorry. Eli Henderson. PTA reflections, honorable mention. I'm sorry, Eli. Something got lost
in translation in my spreadsheet to this note.

[13:00–13:30]
I'm afraid you find a photo because it is a lot of it too. Thank you. Congratulations, elementary
artists. You can head back to your seats.

[13:30–14:00]
Next, let's celebrate our incredible middle school students. Olivia Aguirre, Scholastic, Honorable
Mention. Jocelyn Barsenas, Houston Livestock Show and Rodeo Student Art Middle School Gold Medal.
Mia Cardenas, TAEA Youth Art Month Spring Exhibition.",0,5
7,0:14:00,0:16:00,"[14:00–14:30]
April Lee, Houston Livestock Show and Rodeo, Student Art, Junior High Special Merit. Jalee Liu,
Performing Arts Houston, third place, Division C. Chan Hyun Park, Houston Livestock Show and Rodeo,
Student Art, Junior High, Best of Show, and Scholastic Gold Key.

[14:30–15:00]
Madeline Trin, Scholastic Honorable Mention. Lila Rene Vela, PTA Reflections Award of Excellence.
Jack Wilson, Scholastic Honorable Mention. Niku Moreno Zedei, PTA Reflections Overall Award of
Excellence. Students will now take a photo with your teachers and

[15:00–15:30]
board members.

[15:30–16:00]
And finally, let's celebrate our high school artists, starting with Maya Al Jaff, Scholastic Gold
Key. Arcana Onwart, Houston Livestock Show and Rodeo Student Art High School Special Merit. Allie
Arnold, Scholastic Gold Key, three times over.",0,5
8,0:16:00,0:18:00,"[16:00–16:30]
Paulina Asukya, Vase State Gold Seal, Scholastic Silver Key, PTA Reflections, High School Overall
Award for Excellence, Houston Livestock Show and Rodeo Student Art, High School Special Merit, which
sold at auction for $16,000. Natalie Soy Bay, Performing Arts Houston Staff Selection, Division E,
and Vase State qualifier.

[17:00–17:30]
Katherine Bohoret Scholastic Silver Key. Mary Butram, Scholastic Gold Key, and Silver Key. Marina De
Paula Valideris, TAEA Youth Art Month Spring Exhibition and Governor Galleries selection, Scholastic
Gold Key, and three scholastic silver keys.

[17:30–18:00]
Emily Doe, scholastic gold key and two scholastic silver keys. Ingrid Gallup, State Vase Gold Seal,
and a Scholastic Gold Key. Madison Gardner, PTA Reflections. Nina Georgidies, Scholastic Silver Key,
and eight.",0,5
9,0:18:00,0:20:00,"[18:00–18:30]
Key and ATPI fall photo contest. Sky Gobel Scholastic Gold Key. Ruby Gonzalez, Houston Livestock
Show and Rodeo, Student Art, High School Special Merit, sold at auction for $15,000. Elliot Hamlin
Scholastic National Silver Medal and Scholarship, Regional Gold Key and Regional.

[18:30–19:00]
silver key. Katherine Hahn, Houston Livestock Show and Rodeo Student Art High School Gold Medal,
sold at auction for $18,000. Sarah Haywood, Houston Livestock Show and Rodeo Student Art, High
School Special Merit. Paula Hang, Scholastic Gold Key.

[19:00–19:30]
Zoe Ju scholastic silver key. Luke Karnowski Scholastic Gold Key twice. Catherine Kearns, Houston
Livestock Show and Rodeo Student Art High School Gold Medal, sold at auction for $18,000. Two state
based qualifications and a state gold seal. Houston Livestock Show and Rodeo Quick Drive.

[19:30–20:00]
Rodeo Quick Draw, full figure class champion, and John Maury Fila Dog Show Best of Grade. David Kim,
Vase State Qualifier, and Scholastic Gold Key. Ada Lau, Performing Arts Houston, Honorable Mention,
Division E, Houston Livestock Show and Rodeo Student Art, High School Special Merit, and John Maury
Fila Dog Show Committee Choice Awards.",0,5
