chunk_id,window_start,window_end,text,binary_hit
0,0:00:00,0:02:00,"[00:00–00:30]
Yes. All right. Good evening. This meeting is now convened at 5 12 p.m. I would like to ask that
everyone please silence your cell phones. A quorum of the board members is present in the board
auditorium. They are from my right on the platform Cassandra Ozan Bandy, Michelle Cruz Arnold,
Jeanette Garza Lindner, myself, Audrey Mominae, Rick Campo, Rolando Martinez, Paula Mendoza, and
Adam Ravon. If there are any elected officials here in the audience this evening, please stand and
be recognized. Don't see anybody.

[00:30–01:00]
Member of the Junior Reserve Officer Training Corps to lead our pledges. I would like to ask that
board member Ravon please introduce tonight's pledge leader. Thank you, President Mominai. Cadet
Lieutenant Colonel Christy Rosel Lenadez, a senior from the High School for Law and Justice, is the
battle commander, battalion commander of the 15th Battalion, overseeing 208 cadets in the program.
She maintains a 4.0 grade point average and is enrolled in college level.

[01:00–01:30]
courses while being actively involved in her school. She's a cheerleader, a school ambassador, a co-
captain of the girls' flag football team, and captain of the girls' soccer team. When she graduates,
she will like to enlist in the Air Force, pursue a master's degree, and be an FBI special agent. Her
hobbies her hobbies include playing sports, going to the gym, and planning events. Welcome, Cadet
Lieutenant Colonel Christy Lenadez.

[01:30–02:00]
Lenardis. Please rise for a moment of silent meditation. Please remain standing for the Pledge of
Allegiance and the Pledge to the Texas flag. I pledge allegiance to the flag of the United States of
America and to the Republic for which it stands, one nation, under God, individual.",0
1,0:02:00,0:04:00,"[02:00–02:30]
Indivisible, with liberty and justice for all. Honor the Texas flag. I pledge allegiance to the
Texas, one state under God, one and indivisibly. You may be seated. Thank you very much. I would
like to ask Board Member Rolando Martinez to read our recognition in honor of Hispanic Heritage
Month. Thank you, Madam President. Whereas Hispanic administrators, teachers, and staff are making a
lifelong

[02:30–03:00]
difference in the lives of children of our children by dedicating themselves to providing the top
quality education all students need to successfully pursue their dreams. And whereas Hispanic
parents, PTA and PTO members and volunteers bring to our schools a wealth of knowledge, leadership,
and support that enhance learning and improves student outcomes. And whereas Hispanic students
enrich the lives of fellow students and the entire community by sharing their heritage and by
providing a unique perspective that broadens the experience and understanding of all. Now,
therefore, we, the School Board and the Superintendent of Schools of Houston Independent School
District,

[03:00–03:30]
do hereby proclaim September 15th to October 15th, 2024 as Hispanic Heritage Month in HISD, and we
encourage all to celebrate the rich traditions of the Hispanic culture in witness thereof on this
12th day of September 2024. Thank you, Mr. Martinez. We will now hear from our registered speakers.
We will begin with public officials, followed by student speakers, both in-person and on Zoom. We
will then hear from in-person speakers to both agenda and hearing of the community, followed by all
remaining Zoom speakers. Please note that Spanish live captioning is available.

[03:30–04:00]
for those viewing the meeting via live stream, and live Spanish interpretation is available in
person in the auditorium. Public comment during school board meetings will only be available to
those persons who have signed up to speak prior to the meeting time per current protocol. Verbal and
other disruptions by persons during school board meetings are not acceptable as they inhibit the
board's ability to conduct business and the public's ability to observe those processes. Persons who
participate in such behavior will be given one morning, and if the behavior is repeated, they will
be asked to leave the meeting. We have 70 registered speakers this evening who will be limited to
one minute each per board policy, as we have more than 30.",0
2,0:04:00,0:06:00,"[04:30–05:00]
people signed up to address the board tonight. We ask that you please stay on topic and refrain from
naming individuals, especially students, as their identity is protected under the law. But you may
name your own child. I ask that you please respect our procedures and the other speakers and end
your comments promptly when your time has expired and the timer rings. Please also identify yourself
and your topic when you step to the microphone. Um I believe we are going to start with elected
officials, but I don't see Mr. Savantmore here. Or Mr. Gomez. Um we will

[05:00–05:30]
Oh, Mr. Gomez. Oh, is Mr. Gomez on Zoom? Okay, we will call him as he is available. Um, we have a
few student speakers this evening, so let's start with let's start with our student speakers this
evening. And I have Brynn Cabe as our first student speaker, and then our next student speaker I
have is Eleanor Garza.

[05:30–06:00]
Mr. Miles, me again. I'm the girl who keeps challenging you to be a better human. I thought I would
clarify that statement a bit. When I say be a better human, I am urging you to be compassionate and
to understand our school communities. I'm urging you to work with teachers and administrators to get
what students need to succeed in life, not to merely pass a test. The NES model that you tout as
being superior is a suffocating learning and boxing it in to worksheet after worksheet. And if you
are a GT student and you finish your classwork, what's your award? Another worksheet in the team
center.",0
3,0:06:00,0:08:00,"[06:00–06:30]
which used to be a library. Shocking fact here in HISD, 144 out of 274 schools don't have
functioning libraries. That's 52 percent. In school, that would be failing. Mr. Miles, I am not your
appraiser, but the board is, and your time here has been so obviously ineffective. You're building a
workforce of people who won't be able to analyze anything beyond the four multiple choice questions
that are on the page in front of them. Be a better human. Please do better. Thank you. Our next
speaker is Eleanor Garza.

[06:30–07:00]
Hold on one second, I can't hear you. Let's start over. Go ahead. Managers, my name is Eleanor Garza
and I'm in third grade. I wanted to talk about the work we do in class. Sometimes HISD worksheets
have mistakes in them. As an example, this week I was completing an HISD worksheet and I couldn't
figure out the answer no matter how hard I tried. I got frustrated that I started crying because I
thought I

[07:00–07:30]
wasn't smart enough. It turns out the HISD worksheet has several typos in the question. I wish the
people who make the work could check it better. So clients like me don't feel so upset. Board of
managers, can I have your support on improving the HISD worksheets? Thank you. Thank you. I see Mr.
Savant Morris join us. I'm gonna let there's a couple of other student speakers and then is that
okay? Okay, great. Um Analia Espinoza.

[07:30–08:00]
Is she here? Hi, my name is Annalia. Some of you that know me may know that I attended DeBakey High
School just last year. However, I am now a sophomore attending the High School for Law and Justice,
a non-NES school. For once in my life, I feel like I'm growing and creating a community in my life,
walking through the halls to admire the art on the walls and the representation of our school, being
able to enjoy the freedom of being able to be heard as not just a",0
4,0:08:00,0:10:00,"[08:30–09:00]
Heard as not as a student but a member of the family at HSLJ. I remember that during the first week,
I'd get picked up and have nothing less than excitement when sharing my positive experiences there.
However, when we would go pick up my sister, it would be the complete opposite. She would have
complaints about not getting to know the kids during the first week, but rather doing worksheets on
the very first day of school. Because of this, she told us that it was difficult to make friends
because they were not allowed to speak to each other. Not only that, but she also had complaints
about a teacher not that I cannot name due to privacy purposes, having treated her differently, not
allowing her to use a restroom despite other kids being allowed to go.

[09:00–09:30]
Had told us before that she feels as if she's being watched constantly. But while at our school, we
have books slammed along the walls around our school with along with two library. My sister attends
particularly at MES school, just like the one she had attended for. And even after becoming middle
school, if you went to an entire independent school, my sister couldn't cost it from the many
school. Thank you. So we're just talking. Thank you.

[09:30–10:00]
Okay, our our next student speaker is Sophie Grace Rojas. Sophie Grace Rojas. Go Sophie. Go Sophie.
Meet that. Sophie. It's on rare. Okay. Yes. Uh hello, it's me again. I just wanted to say uh that my
school is owned by Mike Miles. Yes, I know it's embarrassing. But do you know what Mike Miles does
does? Uh does I made a list of it so you could see how silly it is.",0
5,0:10:00,0:12:00,"[10:00–10:30]
Here's a story how school is going this year. First day of school was horrible. I didn't even get to
introduce myself. We only went uh straight to work on the first day of school, really? You could do
better, by the way. And also, I have a teacher name I'm not gonna say her name. Uh was she was nice,
but then she turned rude. I'm sure it's because she's frustrated with the timer too. When I asked to
use the restroom, she said uh after she does the attendance. And I waited and she wasn't calling she
wasn't calling out names too.

[10:30–11:00]
out names. Two girls went and uh they when they came back I asked to use the restroom again because
I still haven't haven't used it. So I was holding it. Um the lesson was about to start and I and I
asked her if I can use the restroom again. She yelled at me saying that I should have gone after the
the lesson. She pulled me out of the class classroom and called another teacher telling the other
teacher that I was being disrespectful and saying that I told her that I didn't want to be

[11:00–11:30]
And I told her I can talk to the person on that. But she talked into a classroom, and the other
teacher asked me what happened to them and thank you. Thank you. Okay. Um Mr. Moore. Thank you for
joining us. Good evening to the Play family. You have my condolences. Um, I asked that the
leadership of HISD can you go to every school and physically make sure that there is an AED that is
working so that.

[11:30–12:00]
their son death was not in vain. I said that he'll be a world changer, and it starts with this
district. For district two, there's still children four weeks in that do not have transportation to
get to their school. We're taking kids every day to get to school. I've done the right thing. I went
through sunrise. I I emailed, I went through the division leadership, and still, when I get an
email, there's no update from routing. Can you please address that? And lastly, I'm asking that
there be a district wide policy.",0
6,0:12:00,0:14:00,"[12:00–12:30]
Policy for clear backpacks and metal detectors installed because there should not be on the news
Barr High School, there shouldn't be a child parent contacting me about an issue at Forest Brook
Middle School and so it's imperative that we be leaders in this nation to prevent another press
conference from ever happening again in this district. So I'm asking that you, as leaders, do the
right thing. Congratulations on your board director position and make sure that what you did.

[13:00–13:30]
last week was very important. Make sure that the audit committee is still doing public transparency
is very important. And once again, grab my condolences. I need all of y'all to remember that this
family needs your prayers. They need your support because it's not easy to lose a child. And so we
stand in solidarity with them today and after this award meeting as well. God bless y'all and God
bless HISD. Thank you, Mr. Morris.

[13:30–14:00]
Thank you. This family deserves answers, HISD. And the board would recognize the Peyton family being
here this evening and send our condolences. Thank you, sir. Okay. Um, I don't see any other student
speakers this evening. Oh, okay. Let's do the student speakers on Zoom.",0
7,0:14:00,0:16:00,"[14:00–14:30]
We should have Naya Duart and Suhani Duart. That's for the students. I'd like to let you know that
Aria Oza is a student speaker and she's with us as well. We gotta have that. Okay. Naya. Hey Naya.
Here's Naya. Hi, my name is Naya and I'm a fourth grader here. I love my school because I have great
teachers, safe classrooms, and friends.

[14:30–15:00]
but I'm worried about the $2.5 million you want to spend on your engineering sur on engineering
surveys. That money could be used for things we really need, like making sure our classrooms are
cool, fixing things that are broken, or helping us get ready for college one day. But if the bond
isn't passed, the money would come from the funds that help us, not just surveys. Please think about
our future and make sure the money goes to where it helps us the most, right here in our school.

[15:00–15:30]
In our schools for learning and kids like me. Thank you. Thank you. Guess what, Mr. Miles? You're
famous. And not only on the news. You've made a Wikipedia page. It's all about the takeover. And
there's some pretty things in it. For example, you were prescribed as a charter school leader at
first, which must be a great explanation for why you were chosen to leave one of the biggest public
school districts in the country. The BOM is described as mostly parents of HIST students.

[15:30–16:00]
And a later detail was that only one educator with classroom experience was selected. Also states
that the board members have chosen to be less responsive to community concerns, choosing to provide
more of this. A different article stated Mike Miles reminded me that schooling isn't about listening
to students. I guess this just shows how we, students and teachers, never pick the board ourselves.
This was all you and the TEA. We don't get say in any of this. Just a charter leader and board
members with little teaching experience.",0
8,0:16:00,0:18:00,"[16:00–16:30]
No trust, no bond. And I'm sorry, can you just tell us your name? Um, I'm Aria Oza. Okay, thank you.
Go ahead. When you search up HISC takeover, the first thing that pops up is an AI overview that
summarizes information from different articles. It states the takeover was an attempt to improve
schools that had difficulty meeting state standards. But the takeover hasn't improved anything.
Libraries are being replaced by detention centers. 154 principals changes have

[17:00–17:30]
Principles, changes have been made since June 2023. Teachers are fired if they're certified and
hired if either way, most HISC employees cannot speak up for the fear of their losing their jobs.
Mr. Minus has taken away anything that makes school enjoyable for everybody and replacing that with
fear. And yet he said it's to improve our district. So then we don't trust. No trust, no bond. Thank
you. Okay, I think that can does that conclude our student speakers? Oh, one more. Okay. Okay.
Adidas Bittner. I did. Okay. Absolutely.

[17:30–18:00]
I put over the background. Okay, we're ready. Okay. All right. Sorry. No problem. Okay, we're just
having some tech dish issues. Okay, hold on. There you go. Go ahead. Can I start? Yes, go ahead. My
name is Adidas H. Bittner and I'm a fifth grader at Contact Elementary. Did you know data can be
used for evil, especially in schools? When we focus too much on tech",0
9,0:18:00,0:20:00,"[18:00–18:30]
Gets too much on test scores, people sometimes cheat or do things just to make numbers look good.
For example, increasing from 6% to 10% might seem great, but if there were six kids doing well out
of a hundred, and now it's five out of only 20 kids, then 80 kids are missing. That four point
increase also has a huge drop in students taking the test. Where did those 80 kids go? Remember,
students are more than a test score. When school is focused only on numbers, they forget what really
matters. Helping us grow, be creative, love reading, and feel safe. Let's

[18:30–19:00]
stop chasing bad data and start caring more caring more about students like me as real people with
different types of talents and dreams. No trust, no transparency, no bond. Thank you. I think that
concludes our student speakers. Okay. So um I think our speakers have uh identified themselves with
the number one through ten. If the folks who are one through ten wouldn't mind coming forward, that
would be great. Um our first speaker is Carmen Nuncio. And we'll call you in the order in which you
um arrived this evening.

[19:00–19:30]
Good evening. My name is Carmen Nunzo, and I'm here to let y'all know that I am worried about our
kindergartens. The way that y'all are trying to teach them is not the right way. The teachers are so
stressed out when y'all send people in, they're interrupting them to tell them how what they should
do. It just hurts my heart what happened to the student at Marshall Middle School. Safety should be
your top priority.

[19:30–20:00]
at all schools. Another thing that I would like to say you're not about education anymore. You're
about the almighty dollar, the power, the contract. Why should our kids have to pay for the politics
that goes on up here? Another thing, I am hoping and praying that our elected officials and our
business partners are not gonna go for the bond because there's money in it for them. I am hoping
that's not gonna happen because they're gonna sell out our kids.",1
