chunk_id,window_start,window_end,text,binary_hit,confidence
0,0:00:00,0:02:00,"[00:00–00:30]
Good evening. The uh regular meeting of the school board uh Thursday June twenty june uh twelfth
twenty twenty five at five oh five p.m. is now convened. I last I would ask everyone to please
silence your cell phones. A quorum of the board members is present at the in the board oper uh uh
auditorium. I'd also like to recognize um uh our elected officials in the room, savant more.
Welcome. Uh placidio uh

[00:30–01:00]
Lasidio Gomez, is he here yet? There he is in the back. And we have uh Myrna Goodry. Is she here
somewhere? I know she's gonna be here later. Great. Um we'll now be joined by uh members of the San
Jacento District Boys Scouts of America, Troop 16, delete our pledges. I'd like to ask board member
Paula Mendoza to introduce our guests. Thank you, President Campo. Please welcome these four young
men who comprise the Troop 16 flag team. Two of our guests attend HISD schools. Prince Sanchez from
TH.

[01:00–01:30]
Rogers and William Alvarado from Cornelius Elementary. We also have Christian Diaz and Javier
Ravera. These students meet at the Garden Villas Parks Historic Scout House built by members of
Troop 16 over 70 years ago. They each began their scouting journey as a tiger cub and advanced
through the ranks of Cub Scouts, developing a wide range of outdoor and practical skills, including
fire and campfire safety, outdoor cooking, marksmanship, hiking, and trail navigation.

[01:30–02:00]
Their commitment enthusiasm reflect the spirit of scouting, and they continue to build their
leadership skills and a strong sense of service within Troop 16. Prince Sanchez, will you please
lead us in the pledges? Color guard attention. Scouts attention, audience attention. Please join me
in the Pledge of Allegiance. I pledge allegiance to the flag of the United States of America and to
the Republic for which it stands, one nation under God, in the visible",0,5
1,0:02:00,0:04:00,"[02:00–02:30]
with liberty and justice for all. Please join me for the Texas plan. Honor the Texas flag, I pledge
allegiance to the Texas, one state under God, one indivisible too. Scouts at ease, audience at ease,
color guard, dismiss reform ranks.

[02:30–03:00]
Thank you, Prince. Uh, I'd like to begin this meeting uh by acknowledging uh a change in our board
composition. As the Commissioner of Education announced at the beginning of this month, the state
intervention is extended for two more years. While impressive results have been achieved to date,
there is much more work to be done. The commissioner also made the decision to welcome four new
board members who are who uh join are joining us here tonight. Edgar Cologne, Marty Goosen, Lauren
Gore, Marcus Rosales uh who are here tonight. And welcome and thank you for being here.

[03:00–03:30]
We are grateful for the four of them accepting the call to serve Houston HISD. On behalf of the
Board of Managers, I would also like to extend the utmost appreciation for the four outgoing board
members for their service, dedication, and commitment to HISD. I would like to invite HISD
Conservator Dr. Anastasia Lindo Anderson to read remarks on behalf of Commissioner Marath and the
Texas Education Agency. Dr. Anderson, welcome.

[03:30–04:00]
Good afternoon. On behalf of Commissioner Morath and TEA, it is a pleasure to welcome the new board
members. We are grateful for your acceptance of the work and the sacrifice that you will put in to
continue the work that has begun here in HISD. We are also grateful for the outgoing board members
who have helped HISD come this far. They have been professional, they have been committed, they have
believed in HISD students and in Houston. And we are grateful for the time that they gave us and for
the work that's being done.",0,5
2,0:04:00,0:06:00,"[04:30–05:00]
We are looking forward to Superintendent Miles' presentation this evening so that we can all join
together in understanding the progress that this district has made. Welcome. Thank you. We now have
some recognitions and superintendent reports to share. Superintendent Miles, you have the floor.
Thank you, President Campo. I'm going to wait just one second for the slides.

[05:30–06:00]
All right, thank you. Um June marks the end of the school year. And what a successful school year
we've had. For this month's spotlight, we are going to take a look at some of our fabulous schools
and recognize some of the outstanding graduating students who will be shaping the future of our
community.",0,5
3,0:06:00,0:08:00,"[06:00–06:30]
Community and the world. This spring, HISD Now started a weekly series to provide a window into HISD
campus dubbed Campus Closeups. This series highlights teachers and students' triumphs and unique
features and programming on HISD campuses. We are grateful to the six campuses that participated to
date and are excited to start capturing more campus close ups starting in August. So to wrap up this
inaugural

[06:30–07:00]
Inaugural season of HSD now. Check out these highlight reels. School is how much the students and
the teachers feel. Oops. Feel passionate toward it. She inspired me to take action. I started doing
this while I was in kindergarten. My family, like like pretty much my whole family, all went the
cage. The good thing about the school is they give us the opportunity to do it in person. Campus
close up. Bringing you stories about our schools from our schools. From dynamic programs that are
preparing our students for.

[07:00–07:30]
the future. Kind of gives an outlet for those people who want to contribute and contribute in a
different way. To one of a kind clubs and after school programs that are building leadership,
creativity, and community. We specifically moved to Garden Oaks because of the school. And so we're
very big advocates of public schools and supporting our neighborhood, supporting the city. I think
what I love most about this school is that there's a lot of wildlife. I think some things that make
ROE special is its diversity and how open students are. Real life skills such as chess help students
learn patience.

[07:30–08:00]
My favorite thing about color in middle school is how we learn and how we encourage each other. He's
doing it, he's doing it. Oh, oh, there you go. We had our high schoolers mentoring the middle
schoolers. And then this year we officially partnered with big brother, big sister, and also felt
like I was doing something to help someone else. And we're giving you an up-close look at the high-
quality instruction happening in our classrooms every day and recognizing our incredible teachers.
This is kind of like they call this the outdoor classroom. Sometimes we're making makerspace
projects that tie in for science objectives. Our focus every day is high quality instruction.",0,5
4,0:08:00,0:10:00,"[08:30–09:00]
Instruction, but it's also preparing our kids to be successful. I was sitting here for about well,
pre Kate all the way to fifth grade, and then I had the honor to come back as a teacher, and then
now I'm serving the community as an assistant principal. So it's very much like a full circle moment
for me. My experience has definitely challenged me in a lot of ways, but it's also made me a better
teacher. I just feel like it's a very great district to work for just because we want to get the
kids to the point where they believe in themselves. It's been great.

[09:00–09:30]
Um I've built my community here with the teachers. I've built my community with the staff, the
clerks, also the admin. The students are phenomenal. And we are also celebrating students'
achievements from athletics to academics and everything in between. You can see all the great
stories we did from our campus close-up series on the HISD Now YouTube channel, like this one of the
District Spelling Bee Channel. Campus close-ups only on HISD Now.

[09:30–10:00]
Thank you. Uh Chief uh Elizondo deserves a lot of credit for the communications of HISD Now. And I
know you have a whole team there. Some of you saw you saw some of them on the on the video. Um but
good things are happening in in all the schools all the time. That was just six schools. We're gonna
do more of those next year and hopefully get uh you know twenty or thirty of them on HISD Now's uh
campus close-up. Um but you can always go to the schools too and see some of the good things that
are",0,5
5,0:10:00,0:12:00,"[10:00–10:30]
happening. So our second highlight of the evening is to recognize HISD's graduates. I had a chance
to go to several graduations and it's always so much fun to see the kids walk across the stage. It
just puts a smile on your face if if you if you've not been you should. We're so proud of the class
of 2025. These graduates are headed off to colleges coast to coast. Some are joining the military
some are pursuing a career that will immediately add value to this community. So Class of 2025 we're
very proud of you.

[10:30–11:00]
I'd like to take this moment too to recognize the 2025 valedictori and salutatorians. These
exceptional students have earned the highest academic honors in their schools, a reflection of their
hard work, determination, and commitment to excellence. Many of them have taken on rigorous college-
level coursework, excelled in athletics, performing in visual arts, and dedicated time to community
service. And you see the salutatorians on the screen from each of our high schools.

[11:00–11:30]
These outstanding students have demonstrated remarkable dedication to their studies and have
achieved exceptional academic success. Their leadership and perseverance have made a lasting impact
on their schools and communities. Please join us in celebrating their accomplishments and all that
lies ahead for them.

[11:30–12:00]
Valedictorians, just to so people can see their names. Salutatorians. Okay. Now HIC has over 10,000
graduates, and it's impossible in a short set of remarks to capture all of who they are and who they
will be. However, as one way to shine a bright light on the class of 2025, we want to take",0,5
6,0:12:00,0:14:00,"[12:00–12:30]
just a moment to highlight four exceptional seniors, just one from each division in the district.
And these four have demonstrated remarkable leadership, character, and drive, but they're just an
example of many of the others, salutitarians and valedictorians in the district. These students were
nominated by the division leaders for standing out in truly meaningful ways, whether through
academics, service, creativity, or resilience, each of them represents the very best of HISD.

[13:00–13:30]
Now, students, as I read a bit about you, please stand to be recognized. So representing the North
Division is Tamia Curtis from Scarborough High School, a determined scholar and community advocate
who leads by example. And when she comes in, if you can stop us and just

[13:30–14:00]
we'll just say hi to her and applaud her as well. But I'm going to read about tomorrow anyway, uh
since Tamaya here as you are here. So Tamaya earned her associate degree from Houston Community
College while still in high school, becoming a first generation college graduate in her family. She
plans to tutor other students in dual enrollment programs using her own experience to help others
succeed. Tamaya's volunteer work includes helping with the Garden Club",0,5
7,0:14:00,0:16:00,"[14:00–14:30]
Club, reading to elementary students, and distributing food with the Houston Food Bank. Tamaya is
passionate about combining art and technology and plans to pursue an innovative path at the
intersection of fine arts and coding. After graduation, Tamaya will attend the University of
Houston, downtown, to study fine arts. From the Central

[14:30–15:00]
Division, we proudly recognize Christy Roselle Lenares of the High School for Law and Justice. Her
leadership service and initiative have shaped her campus community. Christy balances academic
success with extracurricular leadership, organizing major campus events like the Powderpuff Football
Game and Senior Week while serving as soccer team captain. As a JROTC leader and student ambassador,
she supports.

[15:00–15:30]
her peers and represents her school with distinction. Christy consistently steps up to serve her
school community from coordinating Law Day to securing Teacher Appreciation Week donations. She also
produced a district-wide Spanish-language onboarding video to help families understand the dual
credit process and support their students. Christy has enlisted into the Air National Guard Civil
Engineering Squadron as an engineering assistant. Thank you for that.

[15:30–16:00]
Thank you for your future service. From the South Division, we recognize Cesar Duran Mohica of Milby
High School. Cesar is a focused and determined student whose academic journey reflects resilience
and growth.",0,5
8,0:16:00,0:18:00,"[16:00–16:30]
Inspired by his mother, his mother's educational journey, César committed himself fully to his
studies, earning the title of class valedictorian. Outside the classroom, he is a dedicated member
of the Houston Dance Stars team, where he performs professionally and hones his creative expression.
Says active in the National Honor Society and contributes to community service efforts that benefit
his school.

[17:00–17:30]
and neighborhood. He plans to study accounting and pursue a personal training license, beginning his
academic journey at a community college. Congratulations, Sasa. And then finally, representing the
West Division is Luke Castro from West Side High School. Luke is a student leader who exemplifies
quiet strength, innovation, and a deep

[17:30–18:00]
commitment to serving others. Inspired by the philosophy of Kaizen, Luke improved systems as
historian for the National Honor Society, including automating service hour, tracking and
streamlining communications. Luke has achieved academic excellence with a 4.0 GPA, a 1540 SAT score,
and a rigorous course load that includes AP and engineering classes. Luke's leadership spans
multiple areas.",0,5
9,0:18:00,0:20:00,"[18:00–18:30]
Areas. He's a peer tutor, robotics engineer, student council vice president, and concert band
keyboardist. Following graduation, Luke plans to attend Texas AM University. Congratulations, Luke.
Tamaia, Christy, Cesar, and Luke, we are thrilled for all that is ahead of you. And again, thank you
for being among the best of HISD.

[18:30–19:00]
Mr. President, if I can continue, we'll just move on to the superintendent's reports. Go ahead. So
moving on to my monthly reports, we have an update on the Sunrise Centers, the results and
accessibility of the Sunrise Centers, and I'd like Naja Callender, Deputy Chief of Family and
Community Partners, to come forward to talk about it. It's so exciting to hear what the students are
doing next.

[19:00–19:30]
Next. Happy to be in front of you today talking about the Sunrise Centers report. As you all will
remember, two years ago, Superintendent Miles visioned a Sunrise Center program, and his words is
that the Sunrise Centers were to be an embodiment of our community working together to support
students and to really meet their needs. So in a pretty truncated time period, we worked together to
open seven Sunrise Centers, and they were across the city.

[19:30–20:00]
and we really wanted to focus on how we could extend students actually getting services and add that
to HISD's existing continuum of care. So our first year we were able to serve about 30,000 families,
and one partner that we leveraged very early on in this process was Rice University's Houston
Education Resource Consortium Research Consortium, or HERC. And HERC is a research practice
partnership that has been a part of HISD or working with HISD for the last 10 years.",1,3
10,0:20:00,0:22:00,"[20:00–20:30]
So while our team had some initial ideas about where Sunrise Centers should be or what should be
included in them, we really relied on HERC to help us land that information. So for today, I'm going
to ask our partners from HERC. I'm going to invite Dr. Gabriella Sanchez Soto to come up and really
tell us a little bit about what the work is that we've done together, but also explain some of the
impact that we've had in Sunrise Centers.

[20:30–21:00]
Thank you so much, Nadja. Thank you, everybody. Good evening. Thank you for having me here today.
So, uh, yes, as Naja mentioned, HERC has been working for quite a while with HISD, specifically
focusing on the needs of students and many, many, many, many other topics. Uh, today I'm going to
talk to you about some of the work we've done related to non-instructional support needs, including
the Sunrise Centers. Uh, HERC actually started this work on uh wraparound needs, non-instructional
supports several years ago because we ran a needs assessment survey in 2021 where we actually ask
families, teachers, campus staff, and students about the things they need.

[21:30–22:00]
About the things they needed and the barriers that they faced to get them. So, from this needs
assessment survey, we actually learned so many things. One of them is that most of the most common
family needs were related to enrichment activities, access to physical health care, and to mental
health care. And a lot of the barriers, you know, you can see in the screen, but they will be very
familiar to anybody who is in HISD. So the first thing we did with this information and for the
Sunrise Center team was that we put all of this information in maps, right? We needed to help them
understand where to go, give students what they needed.",1,5
11,0:22:00,0:24:00,"[22:00–22:30]
This is an example of the maps we created. Basically, it has the different high school feeder
patterns in the district, and the darker areas show you where families have higher physical health
needs. We did similar maps for each one of the needs that we assessed. And we used then this
information to help face to figure out where sunrise centers should be put. Once they actually
identified these locations, we actually took those locations and kind of reversed the analysis to
understand how easy it would be for families to come to those locations to get services.

[22:30–23:00]
Services. So what we did is that we tested driving times. So we used basically you know 10-minute
driving times, five-minute driving times, which you can see here in purple and red respectively, to
all of the locations of the sunrise centers. And what we found was that eight in ten families in
HISD can get to a sunrise center within those driving times. We also, of course, not everybody has
access to a car, so we looked at uh what would it take for families to go uh to take public
transportation, right? So um most sunrise centers, actually, pretty much all sunrise centers have
access to.

[23:00–23:30]
a bus stop that would get them, that we had families to the center within a 15 minute walk to the
bus stop. Now, of course, you know, the once we know the locations, once we understand accessibility
a little bit better, the next step is to understand who is coming to the centers, right? So our goal
here was to figure out once we knew people coming to the centers, where they were coming from and
where they were going to. So we use here the zip codes and the addresses where people lived, uh
families in HIZ live who came to the Sunrise Centers to identify.

[23:30–24:00]
where they went to. If you see here, the darker areas in the map shows you where more families were
coming to the centers and the lighter areas the opposite. As you can see here, most of the sunrise
centers are represented here, and people in HISD come from various locations, but they're highly
highly concentrated in the northern and southeastern areas of the district, which includes actually
the most popular sunrise centers, which are YBC, the West Orm YMCA, and Missing Milby. Now, the next
thing we did.",1,5
12,0:24:00,0:26:00,"[24:00–24:30]
was we actually wanted to understand individual centers, right? We actually figured that families
were willing to go quite a long way to attend centers. This is just an example of it. We have
Mission Mobi on one side and the Youth Development Center on the other. And what you can see there
is basically in blue is every uh air zip code in the city, in the excuse me, in HISD, where families
are visiting the centers from. So pretty widespread, and this was pretty consistent across the
centers. Now, of course, after we figured out that families are coming, we also wanted

[24:30–25:00]
to know who they were. And what we figured out was that most families are families who are coming
from which of students who identified as either black or Hispanic. Most of students who attended a
Sunrise Center are actually coming from elementary schools. And nine in ten, or over nine in ten
students who visited a sunrise center are classified as economically disadvantaged. Now, now that we
know a little bit more who who the centers are serving, we also have started using data to
understand what this imp was it, what impact it has on students.

[25:30–26:00]
We very much want to know how well this is working for students. We found out that on average, the
students who came to the centers visited about four times. And actually, in some very preliminary
analysis that we have conducted, trying to connect outcomes with visits to the sunrise centers, we
found out that students who visited a sunrise center multiple times had benefits in their attendance
and behavior. Like three or plus visits were related to improved attendance and behavior. Now, I
will highlight again these are preliminary results that we're hoping.",1,5
13,0:26:00,0:28:00,"[26:00–26:30]
to confirm as we get more information now that the school year has ended. And we continue to cook to
collaborate with H with HISD and NADA's team in figuring out all of these questions. Thank you.
Thanks so much, Gabby. So I do want to share some of our results from year two, and can't note
enough that we're just closing the year out. And my team will tell you we have until June 30th to
meet.

[26:30–27:00]
all of our metrics, but um this year we have really continued to grow. You'll notice that we've
served about 10% of the district's students. So we're at 17,000 unique students served, so actual
students in the buildings getting resources. Um we've provided 27,000 plus families with food. We're
focused on clothing and basic needs. So you'll notice the 9,000 families either got clothing or
uniforms. Um so we're really trying to help students meet those basic needs so that they can show up
to school.

[27:00–27:30]
ready to learn. We do have work to do, and we acknowledge that, but I am so proud of our team and
the progress that they have made. And so I know that we have partners here tonight, but we also have
the Sunrise Center team. So I'd like to ask them to please stand and just be recognized for their
hard work and thank you so much for your time.

[27:30–28:00]
Any questions or comments? I just want to say we appreciate your hard work and all that you do for
the students in our community, so thank you very, very much. Thank you. Absolutely, thank you.",1,3
14,0:28:00,0:30:00,"[28:00–28:30]
Okay, good. When it's P. Well, Windows P. Okay. How's that?

[28:30–29:00]
Mr. President, for the last part of my report, members of the board, uh just want to go over briefly
the STAR results. Uh last week you received the end of course results for high school. So SAR has
two parts. End of course, that's algebra one, English one, English two, by

[29:00–29:30]
One, English two, biology, and U.S. history. And then today we got the preliminary results from TEA
this morning for the third through eighth grade star. So you're gonna get a lot more data, but today
I'm just gonna give you a big overview. Um and we the team just got it this morning, so um we
haven't broken it down by subgroup and things like that. You'll get that. But today uh I just wanted
to go over the big pieces, and we can just already say that in uh this year.",1,5
15,0:30:00,0:32:00,"[30:00–30:30]
every single star exam improved uh third through eighth grade. And so and the the state had missed
mixed result. Not only did we improve, but we did better achievement growth than we did last year,
which was already uh a remarkable year. So two years in a row has been phenomenal for our kids, and
so two years uh of this intervention has really transformed all.

[30:30–31:00]
Transformed already the academic success of our students. And we'll talk a little bit more about
what that actually means. So for example, on the left you see where we started in 2023, in 20 exams,
so five high school, 15, uh elementary, middle, 20 exams. HISD was behind the state by a lot, as you
can see there on the high school, in all 20 exams. And you can also see, um, especially for our new
board members who may

[31:00–31:30]
not have um gotten as much information about this. We had in 2023 121 D and F ready campuses, as you
can see on this on the screen. That's a district that's struggling. We were struggling academically.
So you already uh even though you had this later um last week, I'm gonna just briefly go over it.
Biology improved by 23 points in two years, algebra by 17, English one by

[31:30–32:00]
five, English two by eight, and US history by four. What is a good increase in STAR? For a district
this size, a good increase is two points a year. So somewhere around two or three would be a good
thing in all grades, in all exams. The state also, if if um if the state does well, it state does
one or two points every year. That would be good. Um so to have us doing this is has never been done
in in",1,4
16,0:32:00,0:34:00,"[32:00–32:30]
in Texas and we're actually looking at uh other states to see if it has ever been done the growth in
proficiency in anywhere in the United States. Here's algebra one for example uh 38 last year 51 this
year 13 points improvement that is incredible and I hope we take a chance to celebrate our kids in
fact um let's hear it for the kids let's hear it for the kids

[32:30–33:00]
And then it's your first warning. And then for two years in a row, this is the growth that our
teachers and students got. You know, no matter what else you believe, at least take a moment to say
the students did great because they were celebrating. They know what this means. The teachers know
what this means. And it's great to see this sort of growth that's never been done in Houston.

[33:00–33:30]
or in the state of Texas, that's how much improvement our kids did on these star exam. This is high
school, and I'll show you the third through eighth grade in a minute. Um compared to the state now.
Now, if the state also grew 17 points in algebra, that then our results are good, but it's not you
know phenomenal. Checkout in two years, the state went up two points, good for the state, 17 points
for HISD, biology.",1,4
