chunk_id,window_start,window_end,text,binary_hit,confidence
0,0:00:00,0:02:00,"[00:00–00:30]
Okay, good evening. This meeting uh is now convened at 5 uh what time is it? 5 04 um p.m. This
clock, by the way, is slow by about five minutes, just to let everybody know that. I'd like everyone
to uh to please uh silence all cell phones. A quorum of the board uh members uh is present in the
auditorium. Um we will now be joined uh by a member of the junior uh reserve officer training corps
uh to lead us in our pledges. I would like to ask uh board member Edgar Kalan.

[00:30–01:00]
Member Edgar Cologne to introduce tonight's pledge leader. Thank you. Cadet Lieutenant Colonel Rocio
Roswities is a Westside High School Senior and the battalion commander of the school's twenty-second
battalion Army JROTC program.

[01:00–01:30]
She was the first brigade command sergeant major in the HISD Outstanding Cadet Board and placed
among the top six cadets in HISD. She is academically exceptional with all dual credits and on ramps
classes through the University of Texas at Austin and a 3.8 grade point average. Cadet Gutierrez has
been a class president all four years of high school, also serving as the co-student body

[01:30–02:00]
Bodie uh president for student council. She plans to attend Texas AM in the uh fall and major in
statistics. Cadet Gutierrez. Please rise for a moment of silent meditation. Please remain standing
for the pledge of allegiance and pledge the Texas flag.""
1,00:02:00,00:04:00,""",0,5
1,0:02:00,0:04:00,"[02:00–02:30]
United States of America and to the republic for which it stands, one nation under God, indivisible,
with liberty and justice for all.

[02:30–03:00]
If there are any um elected officials in the audience, please stand so you can be uh uh recognized.
I know we have some uh uh some HISD uh trustees here, uh but if there are any others, uh I would
like to uh see you. Well uh I'd like to uh congratulate our newly elected and reelected trustees who
were sworn in last week. District one trustee um uh uh is uh with her with us tonight. Uh Felicity
uh Perea, uh District 5 Trustee Maria Benzon, Dr. Miriam Benzon, I see you there. Thank you for
being here.

[03:00–03:30]
District 6, Trustee Michael McDonough. Good to see you, Michael. District 7, Trustee Bridget Wade. I
think I saw you back there, Bridget. Let's see. And District 9 uh Trustee Myrna Grund Gindry, thank
you. I'm sorry, I saw you there. Okay. And uh let's see, do we have Senator uh Boris Miles here? I
know we have his team. The Miles uh uh uh the Miles uh scholars for sure. I don't see see uh Senator
Miles, so right. Anybody?

[03:30–04:00]
Great. Anybody else that I missed? Dr. Patricia Allen is in. Oh, yes. Great. Thank you so much for
being here. Okay. We will now hear from our public officials, speakers, and others who have
identified themselves as HIC students or parents. Please note that Spanish live caption captioning
is available for those viewing the meeting via live stream, and live Spanish interpretation is
available in person in the auditorium. Public comment during school board meetings.""
2,00:04:00,00:06:00,""",0,5
2,0:04:00,0:06:00,"[04:30–05:00]
will only be available to those persons who have signed up to speak prior to the meeting time per
current protocol. Verbal and other disruptions by persons during the school board meetings are not
acceptable as they inhibit the board's ability to conduct business and the public's ability to
observe those processes. Persons who uh participate in such behavior will be given one warning, and
if the behavior is repeated, they'll be asked to leave the meeting. We have 72 uh registered
speakers uh tonight uh who will be limited to one minute each per board protocol. Uh as

[05:00–05:30]
As we have more than 30 people signed up to dress the board. We ask that you stay on topic and
refrain, refrain from naming individuals, especially students, as your identity is protected under
law, but you may name your own child. I ask that you please respect our procedures and the other
speakers, and at the end of your comments prompt end your comments promptly when your time has
expired and the timer rings. I want to note that tonight the board will not be considering agenda
item 10 approval of the annual comprehensive.

[05:30–06:00]
financial report for the fiscal year ending June 30th, 2025. This I mean this item will be addressed
at the board's uh uh February twelfth, twenty six, uh twenty twenty-six meeting. Uh this item should
have been approved a long time ago, but it was it was delayed because of the government shutdown and
getting the information that we needed from the government to finish the audit. Uh so we will
hopefully have that. I think we definitely will have that on February uh February the um the twenty
the twelfth. Um our hearing for speakers will begin with public officials.""
3,00:06:00,00:08:00,""",0,5
3,0:06:00,0:08:00,"[06:00–06:30]
The first speaker, HISD elected trustee, Felicity Perea. Felicity, you're up. Welcome. And
congratulations. Thank you. Hopefully I won't do this a lot, but uh the pronunciation is Pereira. So
we'll get some practice. So I was sworn in last week as the trustee for District 1, which represents
the North Side, the Heights, and the Garden Oaks neighborhoods. And I'm officially I'm excited to
officially get started. Over the weekend, we sent out over 20,000.

[06:30–07:00]
text messages to parents across the district. And I've been personally fielding all the incoming
responses as well as meeting with folks before work very early and after my toddler goes to bed. So
what I can report so far is that a clear majority of the people that I'm talking to are not in favor
of what the administration is doing. I've corresponded and met with parents who are distressed about
the toll that the uh administration's policies are taking on their children's mental health, kids
who have lost their love of learning, and teachers who are demoralized.

[07:00–07:30]
Were demoralized, teachers who were actively seeing the light leave their students' eyes. I'd like
to remind the administration, but to collect additional qualitative data. If you really want to do
right by the community, you'll have to do your own research. You've got to consider the alternative
hypothesis. I'd also like to call attention to two reports released today. The first from U of H, my
um alma mater, where researchers found that students leaving HISD has accelerated during this
takeover.

[07:30–08:00]
Takeover, and the most severe declines were actually observed at NES schools. To quote Willa
Friedman, the report's co-author, quote, in economics, choices are informative. If parents choose
HISD schools less, that suggests that they perceive the quality to be going down, not up. The Kinder
Institute also released a report today calling attention to the fact that the hiring of uncertified
teachers is slowing down across Texas, except in HISD. To quote the author, researchers at the
University of Texas have found students across grade levels and subjects learn less from uncertified
teachers compared.""
4,00:08:00,00:10:00,""",1,4
4,0:08:00,0:10:00,"[08:30–09:00]
Compared to educators certified through traditional university programs. TEA data also shows that
60% of uncertified teachers leave public education workforce within five years, compared to about
40% of teachers certified through universities or alternative programs. On tonight's agenda is the
vote to extend the hiring of uncertified teachers in HISD for another four years. I hope you will
all vote in line with what the research suggests that we do. I should have just received my official
HISD email address. There's a delay on that. But once I do, I'm going to be reaching out to all of
you.

[09:00–09:30]
I'd love to meet for coffee, and I'd also love to invite you all to come and attend some of these
meetings I'm having with parents and teachers across the district. Thank you. Thank you. Did Trustee
Savant Moore come in? I don't think I saw him. Um let's go ahead. Um Trustee McDonough, you're
you're uh up. Good afternoon. If you don't feed the teachers, they eat the students. I suspect many
in this room are

[09:30–10:00]
I expect many in this room remember that book or have heard tales of it. Essentially, a primary
responsibility for any leader is to never lose sight of the fact that they have stewardship of the
lives they have the privilege of leading. As a new District 6 trustee, I would like to first
acknowledge the efforts of our teachers, counselors, social workers, clerical staff, and all those
who show up each day to support our kids. And as we engage with the work of this room, we should
never forget that they are the ones doing the most important work each day, and we clap for them.
Item 20 of the consent.""
5,00:10:00,00:12:00,""",1,5
5,0:10:00,0:12:00,"[10:00–10:30]
agenda is my focus this evening, and I will preface this with the understanding that the item simply
cleans up the language of the policy. The performance contract that has been in place for principals
for more than a quarter century predates each of you and has been a point of contention for school
principals all along the way. While I do not protest the agenda item, I would be remiss if I did not
take this opportunity to highlight for campus leaders. Dr. Rod Page told me once that the primary
job of the principal was to get the job done. In addition to ensuring kids

[10:30–11:00]
are smarter and stronger every day, campus principals are tasked with feeding the teachers,
maintaining a sorely underpaid staff, while preserving the confidence of their community. Yes, the
principalship is incredibly complex, and they deserve to engage in that work with the confidence
that they are seen and valued. The current performance contract allows the district to terminate a
principal without cause. Let me repeat that, without any reason at all, for nothing. And if a
contract is simply non renewed, there is no right to a hearing because employees on these contracts
have waived those rights.

[11:00–11:30]
Legal experts have claimed the contract is illegal as the district cannot force you through
acceptance of the contract to waive your rights granted to you by state law. My ask to the Board of
Managers is that the contract itself be something that you further learn about. Our campus
principals are the leaders in this district, and as someone who worked under that contract, I can
assure you they need your interest and your support on this item. They've earned at least that.
Thank you for your consideration, and I look forward to working with you over the coming months.
Thank you.

[11:30–12:00]
Dr. Benzone, since you're in person, go ahead. Go ahead. Thank you. My name is Dr. Maria Benzon,
elected trustee for District 5. I'm deeply concerned by the Houston Chronicle article regarding Mr.
Miles' role in brokering nearly a million-dollar contract between a charter network and a consulting
firm tied to his personal network. Mr. Miles traveled to Dallas to teach classes to chartered
leaders, and HISD families are simply expected to.""
6,00:12:00,00:14:00,""",0,4
6,0:12:00,0:14:00,"[12:00–12:30]
trust that no personal benefit occurred. Ethical concerns are not limited to direct payments.
Influence, access, and future opportunities all matter. This arrangement does not serve HISD
students or taxpayers. It undermines public trust at a time when our students need stable
leadership, fully funded classrooms, and leaders focused solely on their success. This is not
stewardship. It raises the appearance of self dealing. I urge the board of managers to act
immediately. First, launch

[13:00–13:30]
Launch an independent investigation. Second, trustees to oversee it. And three, release the findings
publicly. Our students deserve leadership that is transparent, accountable, and focused on them, not
personal networks. Thank you. Thank you. Trustee, Trustee Faust is with us on Zoom. Please go ahead.
Thank you so much.

[13:30–14:00]
Um I'm in Dallas right now. Apologies I couldn't make it in person. Alexa Houston significantly
better. Sorry to anybody who's shopping and listening. But I want to talk about the I agenda item
11, the proposal for $205 million bonds for a CTE center. Because I think this really is a great
example of how HISD has failed to communicate with the public and has failed to get any semblance of
community input. If this were explained to me or explained to the public, I'm a huge supporter of
career and technology education. I imagine I might support it. Yes. But in a dem in a democracy, we
can't just unilaterally""
7,00:14:00,00:16:00,""",0,5
7,0:14:00,0:16:00,"[14:00–14:30]
say to the community, this is absolutely what you want, without any public discussion. This is a
great example of why the bond failed, and I urge the board of managers and the superintendent and
the superintendent's team to make an effort to get in the community and get the input that we need
in order to make collaboration happen. Thank you. Thank you. Okay. Uh now we'll hear from speakers
who identify themselves as HISD uh students or parents. Uh speakers, please state your name and the

[14:30–15:00]
topic, and when you step up to the microphone, Ms. Smith, you uh may call our speakers. Yes, I'd
like to call all student speakers to the front row. All student speakers to the front row, starting
with Eliana Gottlieb. Last week, five new board trustees were sworn in, people our community elected
to represent us. But

[15:00–15:30]
But they still can't vote or make decisions about our schools because the state takeover continues.
According to the Houston Chronicle, Superintendent Miles helped set up a nearly $1 million deal
between a charter network and a consulting firm. In that deal, he gave away HISD's curriculum for
free. That's curriculum developed with our taxpayer money and district resources. Why anyone would
want our AI slop curriculum is beyond me. However, this raises serious questions about transparency
and whose interests are being served. Meanwhile, important decisions are being made without our

[15:30–16:00]
input. While our district is planning school closures and cutting CTE programs, our publicly funded
curriculum is being given away to charter schools at no cost. Elected trustees are calling for an
independent investigation. We deserve to know whose interests come first. We need transparency and
accountability. We need our elected trustees.""
8,00:16:00,00:18:00,""",0,5
8,0:16:00,0:18:00,"[16:00–16:30]
Go ahead. Hola, my name is Ana Gaitán, soy estudiante de Durham Elementary y solo quería decirle,
señor Mayos, que su sistema, su curriculo está afectando gravemente a mi escuela.

[17:00–17:30]
La mayoría de mis amigos y amigas se han ido de la escuela por las decisiones de usted. Eso
significa que la escuela perderá fondos. Todos somos muy inteligentes. Yo me sé los 66 libros de la
Biblia. Ahorita se los voy a decir. Génesis, Éxodo, Levítico, Números, Deuteronomio, Josué, Jueces,
Ruth, Primera y Segunda Samuel, primera y segunda de Reyes, primera y segunda de Crónicas, Edres
Nemies, este Job, Sanos, Proverbios, Ecclesiastes, Cantaré, Isaías, Jeremiah, Lamentaciones,
Ezequiel, Daniel, Oseas, Joel, Lamos a

[17:30–18:00]
Tito Filemón, Hebreo, Santiago, primera y segunda de Pedro, primera y segunda, tercera de Juan,
Judas, Apocalipsis. Por favor, ya no siga destruyendo nuestro sistema escolar. Gracias por escuchar.""
9,00:18:00,00:20:00,""",0,5
9,0:18:00,0:20:00,"[18:00–18:30]
Hi, my name is Anna Gaitan. I'm a student at Durham and Elementary. And I just want to say that Mr.
Miles and his system of his curriculum has affected has greatly affected my school and my teachers
and my classmates. Uh he doesn't give us enough time to learn and most of my friends have left
school.

[18:30–19:00]
because of this because of his decision. This means that school is gonna lose funding. Thank you for
hearing me out.

[19:00–19:30]
All other students, go ahead. My name is Adidas Sage Bittner and I'm a student at YWCPA. Last week I
went with my mom to a community meeting about changes to the CTE programs. The auditorium was pretty
empty. Parents were worried that changes were being made without families really being informed
about the meeting and include it in the conversation. As a student at HISD, I would hope that people
making decisions about my future would include me in those conversations. It's important to listen.

[19:30–20:00]
to students because you can bring a horse to water, but you can't make it drink. In the same way,
you can expand a program, but if students aren't interested, they won't take the classes. Even if
the salary sounds good. Please don't vote to change CTE programs until you've truly listened to more
students and families. Thank you. Thank you. Um, good evening. My name is Aubrey Barr. I'm a student
at Northside High School. HIC's support for fine arts is unequal in in etiquette and oh my lord and
frankly unexpected.""
10,00:20:00,00:22:00,""",0,5
