chunk_id,window_start,window_end,text,,,,,,binary_hit,confidence
0,0:00:00,0:02:00,"[00:00–00:30]
Noting that a quorum is present, I hereby call this regular meeting of the Board of Trustees of
Katie Independent School District to order. Today is Monday September 23rd and the time is 5 p.m.
Dr. Rikorsky, will you verify that we are in compliance with the provisions of the Texas Open
Meetings Act with regard to notice for this meeting? Mr. Perez, I do confirm we are in compliance
with the provisions of the Texas Open Meeting Act for our meeting tonight. Thank you. Uh and now we
will have the pledge of allegiance. You bet. So we have some speciality.

[00:30–01:00]
So we have some special guests with us here today from Jinx Elementary School. We have Parker Levin,
fifth grader at Maydale Jinx, principals out there in A. Canales, parents Stacy Levin and Jason
Levin, has some siblings over at Tompkins High School, Addison and Haley. And Parker has been a Jinx
Jaguar since kindergarten. He's actively involved in church activities, a member of Scout Pack 106,
where he is currently in AOL rank, member of the safety patrol and the instrument ensemble, Jam and
Jags. Parker is also a member of the

[01:00–01:30]
Jenks Choir, which was one of our four Texas elementary choirs, invited to sing at the State Music
Conference this school year. Favorite subjects, math and science. And from Mrs. Davis and Miss
Adams, Parker is an exceptional student who always strives to do his best, sets a positive example
for others, and goes out of his way to be kind to everyone. Parker's positive energy is infectious.
We have no doubt he will continue to excel and make a positive impact wherever he goes. And from
Joel In Busby, Parker is an all-around great kid. He's kind, respectful, polite, and hardworking.

[01:30–02:00]
Parker is an outstanding role model to others. I know he will do great things. So in a moment, we're
gonna bring Parker up. Before we bring him up, we want to also introduce our Seven Lakes High School
trumpet quintet, who will be performing the national anthem Following the Pledges. So, here from
Seven Lakes High School, along with their principal Kerry Finnison and their music director John
Mays, you have uh five seniors out there. Kai Alkastad, uh Michael Georges, Zarek Hallium, Jack
Kint.",,,,,,0,5
1,0:02:00,0:04:00,"[02:00–02:30]
Jack Kink Kenny, Brandon Petrino, and from their director, a message here that tonight we have a
very special feature for you. We are proud to present five of our outstanding senior trumpet players
from the Seven Lakes High School Spartan Band. These dedicated musicians have been instrumental in
our band program, making significant contributions across multiple ensembles. These five exceptional
students embody the spirit and dedication of the Seven Lakes Band program. Their hard work and
talent have been integral to our success and have a left a

[02:30–03:00]
lasting impact on our music community. So let's go ahead and invite our pledge leader up. We'll
start with the pledges and then go to the national anthem. I pledge allegiance to the flag of the
United States of America and to the Republic for which it stands. One nation under God would live to
team justice for all. I honor the Texas flag. I pledge allegiance to the

[03:00–03:30]
Origins to the Texas, one state under God, one in a little bit of a lot of people.",,,,,,0,5
2,0:04:00,0:06:00,"[05:30–06:00]
Good evening, President Perez, board members, and superintendent Greg Gorsky. My name is Parker
Levin. I'm a fifth grader at Jinx Elementary. I've been a Jinx Jaguar since kindergarten.",,,,,,0,5
3,0:06:00,0:08:00,"[06:00–06:30]
My favorite thing about Jinx Elementary is how everyone is excited to come to school every day. I am
so lucky to have so many great teachers over the past six years. With their influence combined with
the influence from my parents, I want to be a second grade math and science teacher. I want to
create fun lessons and experiments for my future students so they love math and science like I do. I
love hoping teachers and others. Thank you for giving me the honor of representing my school. I hope
you have

[06:30–07:00]
a wonderful meeting and a blessed year. You did such a great job. It was a pleasure meeting you when
I was at Jinx Elementary last week. We met you with your your uh principal, and you were just very
impressive. And you know what I'm most excited about? That you want to be a teacher. Would you
promise to come work for KDSD? Right, Dr. Grigorsky? Okay. I love that. And you're so positive and

[07:00–07:30]
everyone at school says that and thinks that, and you're so confident here and takes courage to
speak in front of a group, right? And you just did great because that's you're such a strong leader.
This is a certificate that we give to everyone who says the pledge at a school board meeting, and
there are not very many, probably nine or ten a year. And so, congratulations on being one chosen.
This is your very own Katie Beck. Okay. Now we're going to take a picture and come back here.

[07:30–08:00]
Is it actually? So here we go. And three, two, one. And by and in three, two. Last one, and in
three, two, three. Congratulations. And your sister is in the Tompkins band, right? Congratulations.",,,,,,0,5
4,0:08:00,0:10:00,"[08:30–09:00]
Congratulations. Thank you so much, and that's awesome as far as the star spying all that. A ISD is
on the lake, it's so proud of you guys. We know how hard it works, how hard you work to give where
you are. You're all received, right?

[09:00–09:30]
Fantastic. What are you gonna do from your own? Do you uh play in bands? You're gonna go apply to
scholarships in bands, all that. Fantastic. Every ever thought about playing like a piano bar,
explaining that'll be later. That'll be much later. Probably for your success. Um everybody's really
proud of you to keep it up. Uh takes a lot of work, you know, a lot of practice, right? Every day.
Uh thank you so much. Proud of you as well as KDIC, and you represent KDIC really well. Thank you so
much for your.

[09:30–10:00]
Maybe it might be lower voice high. Let's give it a little bit of yellow guys. So here we go, then
five, and then three, two, one, and do another one. And then three, two, one, last one, here we go,
and a three.",,,,,,0,5
5,0:10:00,0:12:00,"[10:00–10:30]
As uh Mr. Perez makes his way back up to the dais here. I want to go ahead and um move forward. Next
up, we have some recognitions we're going to take care of tonight. And at this time, I'd like to
introduce Rachel Ross, General Manager of Media Relations, for our recognitions portion of tonight's
meeting. Good evening, President Perez, trustees and superintendent Grigorski. Tonight is the
evening for Seven Lakes High School to Shine.

[10:30–11:00]
We are excited and pleased to recognize Alan Shu, a student athlete who won the Class 6A Boys State
Tennis Tournament. Here to introduce him is Coach Lance Carter, Executive Director of Athletics.
Good evening, President Perez, Trustees, and Superintendent Gogorski. Congratulations to Alan, his
family, and the coaching staff at Seven Lakes High School. At this time, I'd like to ask that Coach
Bramlett, Campus Coordinator Jimmy Hammond, Principal Kerry Finnison, and Assistant Athletic
Director in charge of tennis.

[11:00–11:30]
Kyle Green, please come forward to be recognized. Yes. And three, two, one.

[11:30–12:00]
Thank you, Coach Carter, and congratulations, Alan. This past May, the Seven Lakes High School UIO
academic team won the state championship. It was Seven Lakes' first academic state championship and
only the second for KDSD since 2007. The Academic State Champion is comprised of categories
including the following, in which the team earned top honors.",,,,,,0,5
6,0:12:00,0:14:00,"[12:00–12:30]
6A Computer Science, 6A Speech Team, and 6A Spelling. With us tonight are the three team members who
are available to attend this evening Victor Liu, Anthony Lee, and Tejus Morale. Joining them are
Heidi Bruce, the journalism coach, Josh Andrews and Faith Claus, the math coaches, Kaylin Cabler and
Bryce Piotrowski, the speech and debate coaches, and Paul Stroud, the UIL academic coordinator and
computer science and spelling coach, and also Principal Carrie Finnison.

[13:00–13:30]
Do you want somebody else or

[13:30–14:00]
All right, here we go, guys. And three, two, one. Let's do another one.",,,,,,0,5
7,0:14:00,0:16:00,"[14:00–14:30]
Congratulations to you all on this accomplishment. And this concludes the recognition portion of the
meeting. I think this is a time where we ask if any are uh the we have any scouts in the audience.

[14:30–15:00]
Audience? Any scouts? We had a couple of scouts last week. All right. No scouts. And now we have
some uh oath. Yeah, we're gonna administer oath of office. Uh Henry Gaught, chief of police, you'll
come down and take care of that for us.

[15:00–15:30]
Good evening, Dr. Gagorsky, President Perez, Board of Trustees. Tonight we had the pleasure of
swearing in. Should have been two, but unfortunately, one of them is not feeling well tonight. But
we do have uh Jesselyn Vinko here with us tonight. So Officer Jesselyn Vinko graduated from Cypress
Lakes High School in 2019. She then graduated from Lone Star College with her associate's degree in
criminal justice in May of 2022. In Officer Vinko's family, there are law enforcement officers,
military and health care professionals, which influenced her decision to pursue.

[15:30–16:00]
community service. Also Vinkel is the second born of three girls, where two of them chose law
enforcement, and the last one chose to go into the medical field. She then joined University of
Houston Downtown's Police Academy and graduated in April 15th of this year and started here in KDISD
shortly thereafter. And this part, her sister doesn't know about.",,,,,,0,5
8,0:16:00,0:18:00,"[16:00–16:30]
Kayla at Aldava, who has always been her biggest inspiration. So tonight to pin her badge is her
sister, also Kayla Aldava, and alongside with her parents also. Raise your right hand. You after me,
I state your name. I definitely go. You solemnly swear.

[17:00–17:30]
Swear. Do solemnly swear. I will faithfully execute the duties. I will faithfully execute the duties
of the Office of Peace Officer. Of the Office of Peace Officer. Of the Office of Peace Officer. Of
the KD Independent School District. Of the K independent school district. Of the State of Texas. The
state of Texas. And will and will to the best of my ability. To the best of my ability. Preserve,
protect, and defend. Preserve, protect, and defend. The Constitution and Laws. The Constitution and
Laws. Of the United States. Of the United States. And of this state.

[17:30–18:00]
This date. So help me God. Congratulations.",,,,,,0,5
9,0:18:00,0:20:00,"[18:00–18:30]
Congratulations. At this time, the Board of Trustees will give members of the public an opportunity
to speak in accordance with KDISD Board Policy, BED Local. As defined by Board Policy, speakers who
signed up by 2 p.m. on Monday, September 23rd, 2024, provided their first and last name and signed
in 15 minutes prior to 5 p.m. will be allowed to address the board. Speakers that signed up to speak
on non agenda items, and I believe all the speakers signed up on non agenda items will be allowed
three minutes to speak.

[18:30–19:00]
If a speaker is not finished speaking at the end of their allotted time, the audio will turn off. If
speakers wish to share written material with the board, please provide 10 copies to the Secretary of
Board Services before the meeting begins for board members, the superintendent, the chief
communications officer, and permanent record. If a speaker has not attempted to solve a matter
administratively through proper channels as stated in board policy, the presiding officer's designee
shall advise the speaker to seek resolution through the appropriate policy. Finally, pursuant to
Texas Government Code 551.

[19:00–19:30]
551.074 and 551.08721, the board will not permit the presentation of personally identifiable
information regarding a student and will not discuss the appointment, employment, evaluation,
reassignment, duties, discipline, or dismissal of a public officer or employee to hear a complaint
or charge against an officer or employee. Should a speaker wish to address one of these issues, they
must do so through the appropriate local grievance policies, FNG Local, DGBA Local, CKE Local.

[19:30–20:00]
or GF Local. Our speakers will be called forward in the order they signed up to speak. And our first
speaker tonight is Rishonau Dunbar. After that, Yarrow Sledge. Welcome. Good afternoon. I was
inspired to address this board and parents after my son complained.",,,,,,0,5
