chunk_id,window_start,window_end,text,old_binary_hit,confidence,binary_hit
0,0:00:00,0:02:00,"[00:00–00:30]
Noting that a quorum is present, I hereby call this regular board meeting of the Board of Trustees
of Katie Independent School District to order. Today is Monday, September 22nd, 2025, and the time
is 5 p.m. Dr. Grigorsky, will you verify that we are in compliance with the provisions of the Texas
Open Meetings Act with regard to notice for this meeting? Mr. Redmond, I do confirm we're in
compliance of Texas Open Meeting Act for our meeting tonight. Thank you. We will now move on to our

[00:30–01:00]
We'll move on to our first item, uh, pledges of allegiance. Dr. Ravorsi? You bet. Yes, so we have a
special guest here tonight who is gonna do our pledge leader in just one moment, and that is Dean
Blahos, a fifth grader at uh Hayes Elementary. I saw out there Principal Heather Mulcaini. Mulcay is
joining us as well, parents Anthony and Darcy. And we'll give a shout out to Darcy, who also serves
on our foundation board and does a whole lot of work with the foundation. We're gonna be hearing
from the foundation tonight. Um Dean has a couple of sisters over at McMean's and Taylor.

[01:00–01:30]
Special interest, loves sports and plays basketball, football, and baseball. He's also involved in
musical theater and serves as an altar boy at the church. Dean loves school. His favorite subject is
history and is an avid reader of historical fiction. A couple of quotes from his teachers from Mr.
Smith, Math and Science. Dean is a leader among his classmates. He is a hard worker who always
strives to do his best. He is a member of the choir and was just elected to serve on the student
council for the second year. He's truly an awesome Hayes Hawk. And from Ms. Freeman, ELA.

[01:30–02:00]
ELAR Social Studies Dean is a bright and dedicated student who is known for his strong work ethic
and love of learning. Whether he is diving into the rich history of the world or stepping up to the
plate on the baseball field, he gives 110% everything he does. He is always eager to do to go the
extra mile. He's not only a top performer in class, but also a kind and helpful friend to those
around him. But before we bring up our pledge leader, I want to go ahead and introduce out here our
Maid Creek High School Orchestra. And Principal Lizzie Hearing and the group is.",0,5,0
1,0:02:00,0:04:00,"[02:00–02:30]
our Maid Creek High School Orchestra, music directors Andrew Geisens and Kimberly Musiel. Students
here with us tonight, all seniors, Christian Consuelo, Duke Park, and Midori Osawa. And a little bit
about this group. This trio consists of students who made the state finals in the UIL chamber
competition last year. Each one of these seniors exemplifies the best of the Maid Creek High School
Orchestra program as musicians, leaders, and future outstanding citizens. So we will go ahead and
start with the

[02:30–03:00]
pledge, and then we'll go right into our national anthem. I pledge allegiance to the flag of the
United States of America and to the Republic for which it stands, one nation, under God,
indivisible, with liberty and justice for all. Let's please recite the Texas Pledge. Honor the Texas
Pledge. I pledge allegiance to the Texas one state under God one.

[03:00–03:30]
One and indivisible. Go ahead and hold off on the remarks. We'll do the anthem first, then the
remarks.",0,5,0
2,0:04:00,0:06:00,"[05:30–06:00]
Good evening, President Redmond, Board Members, and Superintendent Grigorski. Hi, my name is Dean
Vojhos and I'm a fifth grader at Jeanette Hayes Elementary. I want to start by thanking my amazing
principal, Miss Mulcahy, for asking me to represent Hayes today. Thank you, Ms. Mulcahy. I love
being a student at Hayes. There are a lot of fun clubs to be a part of. I'm a second year member of
both Student Council and Safety Patrol, and this year I'm in the fifth grade choir. My classes and
teachers are very",0,5,0
3,0:06:00,0:08:00,"[06:00–06:30]
Professors and teachers are very important to me. I am a straight-A student, and social studies is
my favorite subject by a mile. Outside of school, you can find me on the football field, basketball
court, or baseball field. I love sports, but I also love musical theater, which I have been doing
since kindergarten. I love to tra travel with my family. My favorite trip was my tenth birthday in
Greece, which was extra special to me because I am Greek and I was with my family. It was pretty
amazing climbing the Acropolis and learning all the history. I want to finish by thanking my family
for always supporting me and the school board for everything you do in a K.

[06:30–07:00]
Everything you do and make KIC a special place for kids like me. Thank you. And we have a guest that
we need students who come and form or do the flight for us if this tax if you want a very few
consistently happen. So I see you in here.

[07:00–07:30]
All right.",0,5,0
4,0:08:00,0:10:00,"[08:30–09:00]
Thank you all very much. At our August board meeting, uh we shared that during each regular meeting,
trustees this year will be proudly wearing the colors of one of our ten high schools. And uh tonight
is a show of unity across KDISD. Uh we're excited to spotlight the Taylor High School Mustangs,
which I see we have some representation.

[09:00–09:30]
We have some representatives here in the back. Can we give them a round of applause? Each trustee
serves as a liaison to each of our uh high schools, helping to maintain strong and meaningful
connections to our schools. Uh last month, our community heard from Ms. Fox that she proudly uh
introduced Katie High School and the district's first flagship campus. As the board liaison for
Taylor High School, uh I'm especially proud to recognize the educators, coaches, fine arts,
paraprofessionals, and staff who have shaped Taylor's legacy.

[09:30–10:00]
Many of them are here with us tonight, and we thank them. We thank you for your dedication and
support. I skipped ahead and recognized you earlier, but we should recognize them again. Let's give
them another round of applause. Taylor High School is Katie's second oldest high school. It was
built in 1979 and currently serves over 3,200 students. The Mustang's mission is to create a
community where curiosity is a norm and judgment is replaced with understanding. Taylor High School
graduates have gone on to careers and professions across the gamut.",0,5,0
5,0:10:00,0:12:00,"[10:00–10:30]
of industries, including the science, sciences, engineering, professional football and baseball, and
even film and entertainment. This campus was named for James Edgar Taylor, a former teacher and high
school administrator, who served as a superintendent at KDISD for 31 years. Taylor High School's
strong academics and vibrant student culture has consistently met the challenges of today, preparing
students for tomorrow. Every day the campus lives up to its motto, Taylor made for success. So let's
one more time give our educators and staff here tonight a round of applause.

[10:30–11:00]
Night a round of applause. And then if we could just humorous for one second, anybody here that is
on staff at Taylor, would you come forward and allow us to take a photo?",0,5,0
6,0:12:00,0:14:00,"[12:00–12:30]
All right, do we have any scouts in the audience?

[13:00–13:30]
C2. If you'd like to come forward and share with us what badge you're working on and what troop
you're with and what school you go to? Let's do it. If you want to come right here, the the podium,
uh the microphone will be ready for you. My name is Jacob Asensio. I am at Troop 230. Um I go to
Wood Creek Junior High and I'm working on life, but uh right now I'm doing citizenship in the
community merit badge, and I have to attend.

[13:30–14:00]
the meeting and choose a opinion on a problem. All right. Well good luck. I know you'll have a good
time tonight. Thank you. Thank you. It was Jacob, right? Thank you. All right. At this time, the
Board of Trustees will give members of the public an opportunity to speak in accordance with KDI
Steve board policy, BED Local. As defined by board policy, speakers who signed up by 2 p.m. on
Monday, September 22nd, 2025, will be allowed to address the board.",0,5,0
7,0:14:00,0:16:00,"[14:00–14:30]
Speakers who signed up to speak on posted agenda items will be allowed three minutes to speak.
Speakers that signed up to speak on non-agenda items will be allowed three minutes to speak tonight.
If a speaker is not finished speaking at the end of their allotted time, the audio will turn off.
The board shall not tolerate disruption of the meeting by members of the audience. If after at least
one warning from the presiding officer, a person continues to disrupt this meeting by his or her
words or actions, the presiding officer or his or her designee may request attendance from law
enforcement officials to have the person removed from the meeting. If speakers wish to share written
material with the board, please provide

[14:30–15:00]
10 copies to the Secretary of Board Services before the meeting begins for board members, the
superintendent, the chief communication officer, and permanent record. If a speaker is not attempted
to solve a matter administratively through proper channels as stated in board policy, the presiding
officer's designee shall advise the speaker to seek resolution through the appropriate policy.
Finally, pursuant to Texas Government Code Section 551-074 and 551-0821, the Board will not permit
the presentation of personally identifiable information regarding a student and will not discuss the
appointment, employment,

[15:00–15:30]
evaluation, reassignment, duties, discipline, or dismissal of a public officer or employee to hear a
complaint or charge against an officer or employee. Should a speaker wish to address one of these
issues, they must do so through the appropriate local grievance policies FNG local, DGBA local, CKE
local, or GF local. Our speakers will be called forward in the order they signed with the speak. We
will first work through our uh agenda items, speakers. Uh and the first uh speaker will be David
Long, followed by Ann Russian.

[15:30–16:00]
Welcome. Hello, thank you, members of the board. I want to speak about the Ten Commandments.
Displaying the Ten Commandments cuts against one of the bedrock foundation principles of America:
freedom of religion. The First Amendment guarantees that the government will not establish a
religion. And yet, when we display the Ten Commandments in a government-funded space, that's exactly
what we're doing. America is home to people of every faith and the people of no faith. By elevating
one religion above the others, we send a message that says.",0,5,0
8,0:16:00,0:18:00,"[16:00–16:30]
We send a message that some students are real Americans and everyone else is an outsider. That is
completely unfair to students of Jewish, Muslim, Buddhist, atheist, or any other faith. They came to
school to learn, not to be told how to worship God. Laws like this exist in scary countries around
the world, like Afghanistan and Iran. The people pushing this would claim otherwise, but really they
are the same as the religious cabals that rule those countries. Just because the Texas state
legislature is controlled by a realistic extremist, doesn't mean you, the board, have to genoflect
to them. Being American is about

[17:00–17:30]
protecting everyone's rights equally. If someone doesn't have religious freedom, then neither do
you. Our founders didn't fight for independence just to replace one form of religious doctrine with
another. True patriotism means fighting to keep government neutral so that every family can choose
their own beliefs. Thank you. Thank you. Next is Anne Russi, followed by Casey Malone.

[17:30–18:00]
President Redmond, Dr. Gogorski, and board. My name is Ann Russie. Tonight I'm here to express
concern and opposition to the district's plan to proceed with accepting donated Ten Commandments
posters pursuant to SB 10. As a mom of two currently enrolled elementary school students, I believe
it is a mistake for our school district to proceed with installing these posters until SB 10 makes
its way through the courts. I understand the AG of Texas has issued a press release instructing
school districts who are not currently enjoying by the federal ruling to proceed with accepting and
hanging posters.",0,5,0
9,0:18:00,0:20:00,"[18:00–18:30]
Caving to Ken Paxton's demands will directly violate SB 12, which explicitly prohibits you all from
infringing on the fundamental rights granted to me by my creator and upheld by the United States
Constitution, the Texas Constitution, and the laws of this state, including the right to direct the
moral and religious training of my children. I am asking you all to put the rights of all KDISD
students, parents, and staff members ahead of the partisan political interests of the state. I'm not
asking you to break state law. I am asking you to wait.

[18:30–19:00]
I'm asking you to wait until the question of its constitutionality is answered. I understand there
could be legal consequences against our district should KDISD decide to delay implementation of this
law. But why not err on the side of possibly needing to spend our taxpayer dollars defending your
decision to respect and uphold your students and staff's religious freedom rather than on the side
of having to defend yourself against likely claims over violating those rights? Here are some
questions I'd love to hear you all consider tonight as you all discuss the district.

[19:00–19:30]
Discuss the district's request to proceed with accepting and hanging these posters. What are the
possible consequences of delaying implementation? What options do parents and teachers have to opt
out of the Ten Commandments being placed into their classrooms? Can we utilize our district of
innovation status to give students, parents, staff members, and our district more options? How will
teachers be expected to handle questions from students and their parents about the Ten Commandments?
This push to infuse Christian nationalist extremism into our Texas schools is not starting with and
will

[19:30–20:00]
not end with these Ten Commandments posters. The ACLU of Texas filed suit against 14 more school
districts over SB 10 today. The decision you make tonight could keep KDISD from being one of the
next. Thank you. Thank you. Our next speaker is Casey Malone, followed by Sandy Quavis. Hi. My name
is Casey Malone. I'm a parent in the district. I'm also someone who does not practice a religion.",0,5,0
