chunk_id,window_start,window_end,text,binary_hit
0,0:00:00,0:02:00,"[00:00–00:30]
I call this regular meeting of the Spring Branch Independent School District Board of Trustees to
order. Let the record show the time is now six o'clock and a quorum of board members is present.
This meeting has been duly called, and the notice for this meeting has been posted in accordance
with the Texas Open Meetings Act, Texas Government Code, Chapter 551.041. Please stand while Trustee
Chris Ernest leads us in the pledges of allegiance to the U.S. and Texas flag.

[00:30–01:00]
I pledge allegiance to the flag and the United States of America and to the Republic for which it
stands one nation under God indivisible with liberty and justice for all. Under the Texas flag, I
pledge allegiance to the Texas state, under God, one and indivisible. I would like to introduce the
senior administrative staff. They are Ms. Linda Buckman, Associate Superintendent for Community.

[01:00–01:30]
Superintendent for Communications and Community Engagement, Ms. Karen Heath, Associate
Superintendent for Administration and Talent, Ms. Christina Massick, Associate Superintendent for
Information Technology, Dr. Annie Wolf, Associate Superintendent for Academics, Ms. Christine
Porter, Associate Superintendent for Finance, Mr. Travis Stanford, Associate Superintendent for
Operations, Dr. Jennifer Parker, Community Superintendent, Dr. Brian Williams, Community
Superintendent. I would like to introduce your board members from left to right. They are board
members.

[01:30–02:00]
They are board member David Slattery, Board Member Chris Ernest, Stacey Kim, Executive Assistant to
the Board, Dr. Jennifer Blaine, Superintendent, I am Lisa Alpey, Board President, Board Vice
President, Courtney Anderson, Board Secretary, Shannon Mahan, Board Member John Perez, and Board
Member Caroline H. Bennett. And before I ask Dr. Blaine for opening remarks, I just want to kind of
acknowledge at the outset the tragic death of our",0
1,0:02:00,0:04:00,"[02:00–02:30]
beloved SBISD police dispatcher Jose Torres. As many of you know, last Friday he was killed. His
death has left our entire community pretty heartbroken. He was beloved. He was taken by a senseless
act of violence as he worked to improve his new home for his wife and two beautiful daughters. His
untimely passing is a devastating loss not only to his family and friends, but to the Spring Branch
community and everyone who knew him. His dedication and service to our

[02:30–03:00]
police department and to the school district are felt by many, and he will be remembered for his
hard work, kindness, and the positive impact he made on all of our lives. We are grieving, but
please know that we want to do everything we can to support his family, and so we will be putting
out information on how anyone who wishes to support them can do so. Dr. Blaine, do you have any
opening remarks? Yes, I do, and thank you for that, President Alpe. Um so I do have several opening.

[03:00–03:30]
remarks. It's a bit lengthy, and I apologize. I don't usually speak this long, but I have several
things I wanted to share with everybody. The first thing is just really at this time of year, you
know, we're upon Thanksgiving break, and I just really want to start with gratitude. And it's just
really gratitude for our school district and all the members of our Spring Branch family, for our
employees, our parents, our students, our partners, our volunteers, our board of trustees who are
supportive of us. And it really takes everybody working together to have the outcomes that we have
right now, and we know we need to continue pushing forward and do.

[03:30–04:00]
pushing forward and doing great things, but certainly those things don't happen without the support
of the entire community. So thank you very much. And then I just want to, you know, point out that
it it really this collective greatness is everybody. You know, um we think about our academic staff
and they're they're tremendous, they're wonderful. But really, you know, we talk about our bus
drivers are the first people to see our kids when they get on the bus, get get up every day. Many of
our kids ride the bus and they're the first smiling face that our kids see and sometimes the last
one they might see when they get off the bus. So thank you to our bus drivers, our student nutrition
staff,",0
2,0:04:00,0:06:00,"[04:30–05:00]
Staff that feed our kids, make sure that they have healthy meals, breakfast and lunch, our
custodians who clean our buildings and make sure that they are spotless and clean so that our kids
and our teachers are able to learn and teach in a healthy environment. Our coaches, our counselors,
our principals, our campus staff members, our all of our senior staff members, our HR team who make
sure that our classrooms are staffed. I mean, I could go on and on about everybody's area, but I
just wanted to tell you how grateful I am to be in the system and work.

[05:00–05:30]
Um with such amazing, amazing people. And I say all that because we sent a message out this morning
that really affirms the great work of our system. And that's really our academic results. And I want
to take a minute to highlight those. But again, I want to say that you know, it's our teachers, our
amazing teachers in the classroom, they are doing such an incredible job. Our principals on the
campus overseeing that instructional leadership, our academic staff, all of those people are so
important in making this happen for kids. But we don't want to not notice all the support people in
other and other

[05:30–06:00]
divisions that really are the backbone of how we get this work done. So wanted to share that there's
a local education nonprofit called Goodreason Houston in the Houston area. We work closely with
Goodreason Houston and have for several years. They are a wonderful partner to many, many school
districts, and they provide much needed funding and partnership and thought processes for all of uh
local school districts and charter programs. Um but they um have just recently um published a
dashboard on their website. It's a third party independent source.",0
3,0:06:00,0:08:00,"[06:00–06:30]
And they are tracking, as I think we've talked about before, academic progress in the Houston area.
And Good Reason Houston's ultimate goal is that they want every child to have a robust academic
experience so that they are ready when they walk across the stage and that the sky's the limit and
they have those opportunities and they're post secondary ready. And all of their work really focuses
in that arena. And so they've published a dashboard recently that we learned about that tracks the
academic progress that has been made by all school districts in the Houston area. And if you go to
the dashboard, you'll see kindergarten readiness.

[06:30–07:00]
And readiness, you'll see third grade, you'll see fourth, fifth, sixth, you'll see third grade,
eighth grade readiness, and you'll see college readiness. All up there, and it's a drop-down. If you
go to the menu and you click, it will give you a listing of all the Houston area school districts
and charter programs that are part of their network, which is anybody in the Houston area, and they
have ranked the results. And I'm really proud to announce that Spring Branch ISD takes the top spot
in almost every single category. That's in kindergarten readiness, third grade reading, eighth grade
reading, college.

[07:00–07:30]
readiness, including SAT and ACT results. And I bring that about because I want to celebrate the
great work of this system, but there's another reason I wanted to say this in my opening comments,
and that's that as we think about this legislative session, and we are we know that we're going to
probably have vouchers. Our governor has said we're going to have vouchers, and he's determined to
bring that program to the state of Texas. And so our data affirm that we're doing great work for
kids. And when you go to the third grade list and you see Spring Branch sitting at the top at the
most critical indicator that a

[07:30–08:00]
school district can measure. We know if those kids don't hit the market third grade, we lose them
for every year we don't have them at that meets and master's level, at that college-ready level. And
so we are doing great work, and I want to say to the system and say to our board, and say to our
teachers and anybody who else who may be listening, that Spring Branch should be a top choice in a
voucher program. And so, you know, when you go look at that data dashboard, many of the programs
being are the school districts that are highlighted on there are public school districts.",1
4,0:08:00,0:10:00,"[08:30–09:00]
So colleagues of mine, Katie, Saifair, Klein, they're all at the top, right with us. And so again, I
just want to say when we think about vouchers, school public school districts should be a top option
for parents. And so as that voucher program, bring it on because we're a top choice. So I felt like
it was important to say that. And thank you to all of our teachers and everybody that made that
happen. We also reported recently, this is actually we've had two things that have come out to our
community.

[09:00–09:30]
Several weeks ago, we also reported that Spring Branch ISD is in the 92nd percentile and relative
performance when compared with other districts like us across the state. And let me just tell you,
if you look at the chart, the chart goes from 2013 to 2024. And there have been many, many years
when we were not even in the second uh quartile when we were at the bottom. So this has been a
journey. We have a long ways to go. We um have lots of great gaps to bridge. I am not claiming that
we are there, but we are going to continue to plug away at this and we are going to make this happen
for every kid in our district. So thank you for your support.

[09:30–10:00]
in that. Also, wanted to report that this morning during our senior leadership meeting, we had the
principal of Northbrook High School come and present the RISE a progress report on the RISE Early
College program. We have students that are in that inaugural court and they are doing really, really
well. And in fact, in 18 months, those students will walk across the stage not only with a
springbanch diploma but a two year degree in their hands while on school district time. That is
pretty incredible. Also, want to report that with uh Dr. Hyder was Miss Michelle, the spring
principal.",1
5,0:10:00,0:12:00,"[10:00–10:30]
at Spring Woods High School, and I'd like to publicly announce that next year we will launch the
Tiger College Academy and we will roll it out to Springwoods High School. So we're really excited
about that. And they are excited, their kids are excited, they've got lots of parents calling about
it. So we we are just thrilled to see that program go on to another school. Segwaying now, I want to
talk a little bit about literacy materials. As you all know, we are looking at adopting new literacy
materials. We have been working for the better part of a year, really studying that process. We
brought Texas Reads in.

[10:30–11:00]
Courtney and Caroline, you guys have been super helpful to lead that process with us. And if you
remember, last year we did a we had a board report to you all in a board workshop where we uh gave
you all the Texas Reads report, which recall Texas Reads is the group we uh contracted with to help
us with our literature with our curriculum audit and to try to kind of help us think about how we
embed and move forward with structured literacy. And so in their report, um they recommend a process
which actually aligns very closely with what we would do with a textbook adoption, so that was nice.
Um and so just wanted to give

[11:00–11:30]
you a quick report of where we are on that. So the humanities team has looked at all the options.
They did narrow down to two finalists that we are looking at. They are both aligned to the science
of reading. They're comprehensive. So two of the things we really are hearing from our teachers is
number one, our teachers are begging, Courtney, I you know, uh in the your words, are begging for a
comprehensive resource. They don't want a piecemeal resources anymore. They want a comprehensive
program, and that's actually what Texas Reads recommends that we have. So it needs to meet that
standard. And then second of all,

[11:30–12:00]
you know, we have 57 uh or uh 37% of our students who are in a dual language program. So English is
not their first language. So we have to have, and most of those students do speak Spanish, so we
have got to have a comprehensive curriculum that aligns and is in Spanish. So those are two really
important pieces when we look at curriculum. And so where we are with that is that there were
teacher review committees that um met on Monday, November 11th. Each elementary principal was um was
uh nominated two committee members, one teacher from K2, one teacher from 3 5. Um and",1
6,0:12:00,0:14:00,"[12:00–12:30]
And if they were on a campus with a dual language programming or a bilingual program, they needed to
recommend also a teacher from that program so that they could can view the materials in Spanish. We
also asked for each middle school principal to nominate one committee member. So it was a large
group of teachers that came together. They received on Tuesday, November 12th, they heard from each
of the two finalists vendors about the programs. They presented materials. Each teacher was given a
login credential to share then back with the campus. So each committee member came.

[13:00–13:30]
back with the login and then shared that out with the entire campus. So every teacher right now has
access and has had access to both of those sources so that they can go in, they can look at
everything, they can see everything online, they can ask questions. We are giving each campus a
rubric, has a rubric, and they are required to give feedback on the both materials and aligned with
the rubric, and they have about five weeks to review those materials and provide feedback, and then
we will get feedback from all of the campuses. It's a lengthy process, but again, this is

[13:30–14:00]
no different than what we've always done. It's really nice to have the login that teachers can log
in because in the olden days, I don't want to out any of us that we taught a long time ago, but uh
you know, you had to like go to a central location and go and flip through the books, and that's
kind of how that works. So it's nice that they have the login and they will have that login. I also
wanted to share that the public is invited to view those resources and provide feedback as well. And
so today through the end of this week, um, Friday, November 22nd, at the Technology Training Center,
which is on the west end of our school district, it's at 14330 Memorial Drive.",0
7,0:14:00,0:16:00,"[14:00–14:30]
30 Memorial Drive. You can come view those materials. There's a QR code you can scan to give
feedback. The materials are all there. They'll be there from 8 30 to 3 30. And then on Wednesday, or
I'm sorry, on Thursday, we extended those hours to 7. So from 8 30 to 7 p.m., people can come in and
give their feedback. They'll scan the QR code and they can tell us what they think. We also notified
the community via social media, as you all know, last week and then sent an email out all to pre K7
grade families last night so that they were aware that they could come view the materials.

[14:30–15:00]
So that's that with literacy materials. I'm almost done, I promise. And then tonight we also have
our Whitley Penn audit report. We have our auditor with us in the audience, and he will be
presenting the report on the district's audit. Remember, this is the second phase of our annual
financial accountability reporting. So we have academic accountability, we also have financial
accountability. And this is on the heels of last month's public hearing on the results of the
state's financial accountability rating system, the first system that we're all aware of, which
Spring Branch once again earned a superior rating for the 23rd.

[15:00–15:30]
consecutive year. So this district has always managed our finances well and I'm really proud of that
and we continue to do so. So we're also pleased to announce that this report tonight you'll hear
from the auditor is a clean report, meaning it's a great it's a great report. And you'll hear that
later on in the agenda and just wanted to drive home that we do take very seriously our fiduciary
responsibility and to be prudent and conservative with our dollars. We don't know what's happening
in this legislative session. You know we're we are going to advocate we are going to put our case
out there again but again last legislative session

[15:30–16:00]
we did the same thing and we didn't get any money. So we're hearing that vouchers are happening, and
that after that happens, the conversation about public school finance will occur. But again, we
can't hold our breath and hope. We have to be planful and thoughtful about being prudent and
conservative with our dollars. Wednesday night, as you all know, we have an SFAT meeting. And uh,
for those of you that are are listening this evening, that is a school finance advocacy team meeting
where the group is coming together. This is their third meeting.",0
8,0:16:00,0:18:00,"[16:00–16:30]
Um, they are actually going to hear from Representative Harold Dutton. He'll be with us on Wednesday
evening to talk with us about um public uh education finance. And that meeting is actually
considered a meeting of the board. It will be live streamed, and so you don't have to come. If if
you want to come sit in the audience and listen to it, you can, but you can also will be able to
view that meeting online. And that concludes my opening remarks. Thank you for uh indulging me.
Sorry, it was a little bit long. No, thank you. I appreciate that. Lots of good information. Are
there any Boy Scouts here?

[17:00–17:30]
Here. Oh, will you stand up? Tell us your name, your badge and troop number, and what badge you're
working on, I guess. My name is James Joel. I'm the shoot 641, and I'm working on my communications
marriage badge. My name is Rohan Aaron. Great, thank you. The first item on the agenda is public
comment on special presentations. At board meetings, public comment time is set aside for
individuals who wish to address the

[17:30–18:00]
board to honor our guests and their time this evening? We will hear public comments only on the
special presentation at this time. All other public comments will be addressed after the special
presentation. No one has signed up to speak for special presentations, so we will now move on to the
next agenda item. We will now address the special presentations, and I will turn this over to Chris
Ernest. Very good. Throughout the fall, our communications team has spotlighted students across the
district for academic achievements.",0
9,0:18:00,0:20:00,"[18:00–18:30]
co-curricular and extracurricular engagement and achievements in the arts and athletics. Tonight we
are pleased to share a video from their athletes in action series highlighting outstanding student
athletes of Spring Branch ISD. These students not only excel in their sports but also embody
academic achievement and the core characteristics of a T24 Ready graduate. Tonight we're featuring
Frank Miranda from Springwoods High School. Frank's dedication, hard work, and leadership make him a
stand out on the track and in the classroom. This is just one of many inspiring stories.

[18:30–19:00]
across SBISD, and we're proud to celebrate our students who inspire us all to be our best. Please
turn your attention to the screen and enjoy Frank Miranda's story. Told me to join Cross Country
because they were in summer conditioning, so I was like, why not? And my mom convinced me too to
joining, so I just joined, and I've stuck with it since then. It's been really fun with all my
teammates, and I really enjoy the process. He's one of those quiet leaders, meets by example. Very
proud of him. Very proud of him. Next year, I think he will definitely.

[19:00–19:30]
go to state and and next year uh he will be our one and uh very lucky and happy to have him with us.
If you run the best you can and if you leave it everything out there, you know you and I can go home
with our heads up because that's that's all that we that I asked for from him. Going to college,
getting my degree, and maybe run during college for cross country and track maybe. Maybe rice, AM,
UT, or U of H. Yeah, it's been a lot of fun with all my teammates. Uh thank you for having me.

[19:30–20:00]
The IM SBISD Award is presented to SBISD colleagues who go above and beyond in living our SBISD core
values and modeling what it truly means when our employees are at their best. I was actually honored
to actually be the person who did nominate tonight tonight's honoree, Spring Branch Independence
Police Office.",0
