seed,fold,best_c,best_class_weight,best_threshold,n_features_selected,lasso_c_chosen,n_test_transcripts,test_true_positive,test_false_positive,test_false_negative,test_true_negative,test_recall,val_recall,test_precision,val_precision,test_f1,val_f1,test_f2,val_f2,test_average_precision,val_average_precision
1,1,0.5,balanced,0.45,44,0.5,10,111,104,32,475,0.7762237762237763,0.9117647058823529,0.5162790697674419,0.4744897959183674,0.6201117318435754,0.6241610738255033,0.7052096569250318,0.7698675496688742,0.7104371445521416,0.7705576826326203
1,2,1.5,balanced,0.35,47,0.5,9,127,224,13,351,0.9071428571428571,0.9365079365079365,0.36182336182336183,0.41843971631205673,0.5173116089613035,0.5784313725490197,0.6970362239297475,0.7506361323155216,0.7402531278677762,0.7393065284383749
1,3,1.5,balanced,0.35,67,1.0,10,116,186,12,408,0.90625,0.9152542372881356,0.3841059602649007,0.44813278008298757,0.5395348837209303,0.6016713091922006,0.7125307125307125,0.7573632538569425,0.766564275675443,0.713328171107435
1,4,1.5,balanced,0.45,42,0.5,10,119,122,14,467,0.8947368421052632,0.8365384615384616,0.49377593360995853,0.435,0.6363636363636364,0.5723684210526315,0.7697283311772316,0.7061688311688312,0.7307683689604503,0.6767959077407417
1,5,2.0,balanced,0.35,50,0.5,10,159,218,8,345,0.9520958083832335,0.9312977099236641,0.4217506631299735,0.44363636363636366,0.5845588235294118,0.6009852216748769,0.7607655502392344,0.7634543178973717,0.7594356060170424,0.7871370328582733
2,1,1.5,balanced,0.35,42,0.5,10,137,181,22,382,0.8616352201257862,0.9265536723163842,0.4308176100628931,0.49696969696969695,0.5744234800838575,0.6469428007889546,0.7180293501048218,0.789980732177264,0.6702517131928187,0.750423932908727
2,2,1.5,balanced,0.3,64,1.0,9,114,188,10,403,0.9193548387096774,0.9099099099099099,0.37748344370860926,0.45495495495495497,0.5352112676056338,0.6066066066066066,0.7142857142857143,0.7582582582582582,0.7466748259907837,0.7117071285228981
2,3,2.0,balanced,0.35,45,0.5,10,102,189,10,421,0.9107142857142857,0.9010989010989011,0.35051546391752575,0.39805825242718446,0.5062034739454094,0.5521885521885522,0.6901217861975643,0.7192982456140351,0.7815837409382619,0.6962392585768274
2,4,2.0,balanced,0.3,53,0.5,10,141,198,8,375,0.9463087248322147,0.9300699300699301,0.415929203539823,0.4634146341463415,0.5778688524590164,0.6186046511627907,0.7540106951871658,0.7741559953434226,0.7080225320673478,0.7698813687037542
2,5,1.0,balanced,0.4,48,0.5,10,159,185,8,378,0.9520958083832335,0.8875,0.4622093023255814,0.3879781420765027,0.6223091976516634,0.5399239543726235,0.7855731225296443,0.705765407554672,0.7560971737034233,0.672549621576689
3,1,1.5,balanced,0.4,48,0.5,10,115,132,23,452,0.8333333333333334,0.8875,0.46558704453441296,0.44654088050314467,0.5974025974025974,0.5941422594142259,0.7196495619524406,0.7411273486430062,0.7353050694518795,0.6118038477428844
3,2,1.0,balanced,0.3,40,0.5,9,131,263,9,312,0.9357142857142857,0.9363636363636364,0.33248730964467005,0.42916666666666664,0.49063670411985016,0.5885714285714285,0.6865828092243187,0.7573529411764706,0.733805120259249,0.691952794585656
3,3,2.0,balanced,0.35,47,0.5,10,111,162,13,436,0.8951612903225806,0.8947368421052632,0.4065934065934066,0.37988826815642457,0.5591939546599496,0.5333333333333333,0.7217165149544863,0.7039337474120083,0.7486812591890454,0.6513622987210094
3,4,1.5,balanced,0.35,75,1.0,10,128,173,12,409,0.9142857142857143,0.8974358974358975,0.42524916943521596,0.35714285714285715,0.5804988662131519,0.5109489051094891,0.743321718931475,0.6889763779527559,0.7269123668421372,0.6319101252484328
3,5,1.5,balanced,0.35,77,1.0,10,159,193,10,368,0.9408284023668639,0.9014084507042254,0.45170454545454547,0.34782608695652173,0.6103646833013435,0.5019607843137255,0.7733463035019456,0.6837606837606838,0.7454466596204813,0.5742515007204425
4,1,0.25,balanced,0.4,47,0.5,10,136,194,17,375,0.8888888888888888,0.936,0.4121212121212121,0.44656488549618323,0.5631469979296067,0.6046511627906976,0.721868365180467,0.7677165354330708,0.7027696747390428,0.7505175367066513
4,2,2.0,balanced,0.4,48,0.5,9,103,154,21,437,0.8306451612903226,0.9338842975206612,0.40077821011673154,0.46887966804979253,0.5406824146981627,0.6243093922651933,0.6839309428950863,0.7793103448275862,0.7316835470082679,0.8212216967119718
4,3,2.0,balanced,0.5,53,0.5,10,104,105,24,489,0.8125,0.8111111111111111,0.49760765550239233,0.5,0.6172106824925816,0.6186440677966102,0.7212205270457698,0.7213438735177866,0.7700569830013473,0.6779411197981289
