seed,fold,best_c,best_class_weight,best_threshold,n_features_selected,lasso_c_chosen,n_test_transcripts,test_true_positive,test_false_positive,test_false_negative,test_true_negative,test_recall,val_recall,test_precision,val_precision,test_f1,val_f1,test_f2,val_f2,test_average_precision,val_average_precision
1,1,2.0,balanced,0.4,768,,10,110,94,33,485,0.7692307692307693,0.9215686274509803,0.5392156862745098,0.5108695652173914,0.6340057636887608,0.6573426573426573,0.7087628865979382,0.793918918918919,0.7357312373567451,0.8301483586791665
1,2,2.0,balanced,0.4,768,,9,122,154,18,421,0.8714285714285714,0.873015873015873,0.4420289855072464,0.5,0.5865384615384616,0.6358381502890174,0.7296650717703349,0.7596685082872928,0.7821083059385464,0.7490944900978177
1,3,1.0,balanced,0.35,768,,10,116,177,12,417,0.90625,0.9067796610169492,0.39590443686006827,0.46320346320346323,0.5510688836104513,0.6131805157593123,0.7204968944099379,0.7610241820768137,0.7812884191759792,0.7356336810582216
1,4,2.0,balanced,0.35,768,,10,122,132,11,457,0.9172932330827067,0.8942307692307693,0.48031496062992124,0.42857142857142855,0.6304909560723514,0.5794392523364486,0.7760814249363868,0.7345971563981043,0.7728938159164418,0.7298368263838367
1,5,1.0,balanced,0.45,768,,10,152,141,15,422,0.9101796407185628,0.8854961832061069,0.5187713310580204,0.5370370370370371,0.6608695652173913,0.6685878962536023,0.7908428720083247,0.7837837837837838,0.7748025101532466,0.8174184143787748
2,1,1.5,balanced,0.35,768,,10,135,139,24,424,0.8490566037735849,0.9378531073446328,0.4927007299270073,0.5253164556962026,0.6235565819861432,0.6734279918864098,0.7417582417582418,0.810546875,0.715637173325561,0.7854268235781563
2,2,1.5,balanced,0.2,768,,9,120,223,4,368,0.967741935483871,0.963963963963964,0.3498542274052478,0.4385245901639344,0.5139186295503212,0.6028169014084507,0.7151370679380215,0.7776162790697675,0.7570753713081886,0.7488979102736467
2,3,2.0,balanced,0.3,768,,10,103,182,9,428,0.9196428571428571,0.9340659340659341,0.36140350877192984,0.4166666666666667,0.5188916876574308,0.576271186440678,0.7025920873124147,0.7482394366197183,0.7974861559049955,0.7647106974662315
2,4,2.0,balanced,0.25,768,,10,144,190,5,383,0.9664429530201343,0.9370629370629371,0.4311377245508982,0.4734982332155477,0.5962732919254659,0.6291079812206573,0.7741935483870968,0.783625730994152,0.7678659269344649,0.7740785697166812
2,5,2.0,balanced,0.3,768,,10,158,177,9,386,0.9461077844311377,0.925,0.4716417910447761,0.38341968911917096,0.6294820717131474,0.5421245421245421,0.7876370887337986,0.7212475633528265,0.7908388952511242,0.6798755609972922
3,1,2.0,balanced,0.35,768,,10,113,113,25,471,0.8188405797101449,0.875,0.5,0.44871794871794873,0.6208791208791209,0.5932203389830508,0.7262210796915167,0.7352941176470589,0.7664887545249109,0.6327719824358892
