seed,fold,best_c,best_class_weight,best_threshold,n_features_selected,lasso_c_chosen,n_test_transcripts,test_true_positive,test_false_positive,test_false_negative,test_true_negative,test_recall,val_recall,test_precision,val_precision,test_f1,val_f1,test_f2,val_f2,test_average_precision,val_average_precision
1,1,0.5,balanced,0.45,44,0.5,10,111,104,32,475,0.7762237762237763,0.9117647058823529,0.5162790697674419,0.4744897959183674,0.6201117318435754,0.6241610738255033,0.7052096569250318,0.7698675496688742,0.7104371445521416,0.7705576826326203
1,2,1.0,balanced,0.4,11,0.1,9,114,208,26,367,0.8142857142857143,0.8650793650793651,0.35403726708074534,0.36333333333333334,0.4935064935064935,0.5117370892018779,0.6462585034013606,0.677860696517413,0.6280676776499716,0.6405182792778616
1,3,1.5,balanced,0.35,7,0.1,10,119,277,9,317,0.9296875,0.9152542372881356,0.3005050505050505,0.3068181818181818,0.4541984732824427,0.4595744680851064,0.6552863436123348,0.6553398058252428,0.6747880287525126,0.5538805573597035
1,4,1.5,balanced,0.45,42,0.5,10,119,122,14,467,0.8947368421052632,0.8365384615384616,0.49377593360995853,0.435,0.6363636363636364,0.5723684210526315,0.7697283311772316,0.7061688311688312,0.7307683689604503,0.6767959077407417
1,5,2.0,balanced,0.45,9,0.1,10,144,220,23,343,0.8622754491017964,0.8473282442748091,0.3956043956043956,0.43700787401574803,0.5423728813559322,0.5766233766233766,0.6976744186046512,0.7133676092544987,0.6468619245685585,0.6530886398229411
2,1,1.5,balanced,0.3,8,0.1,10,144,307,15,256,0.9056603773584906,0.9661016949152542,0.31929046563192903,0.3669527896995708,0.4721311475409836,0.5318818040435459,0.6623735050597976,0.7282793867120954,0.5122123733582493,0.6089025031542339
2,2,1.5,balanced,0.3,7,0.1,9,116,293,8,298,0.9354838709677419,0.9279279279279279,0.28361858190709044,0.3047337278106509,0.4352720450281426,0.45879732739420936,0.6408839779005525,0.6585677749360613,0.6342892450201905,0.49550807203537056
2,3,2.0,balanced,0.35,9,0.1,10,101,240,11,370,0.9017857142857143,0.9120879120879121,0.2961876832844575,0.3132075471698113,0.445916114790287,0.46629213483146065,0.6400506970849176,0.6597774244833068,0.7004207555445369,0.5593321182380335
2,4,1.5,balanced,0.55,9,0.1,10,105,131,44,442,0.7046979865771812,0.8181818181818182,0.4449152542372881,0.5492957746478874,0.5454545454545454,0.6573033707865169,0.6310096153846154,0.7452229299363057,0.5716442281966497,0.698460399822222
2,5,2.0,balanced,0.45,5,0.1,10,142,211,25,352,0.8502994011976048,0.8,0.40226628895184136,0.32323232323232326,0.5461538461538461,0.460431654676259,0.6953966699314398,0.6177606177606177,0.6632228787210765,0.5133592560566789
3,1,1.5,balanced,0.35,12,0.1,10,125,234,13,350,0.9057971014492754,0.9625,0.34818941504178275,0.30078125,0.5030181086519114,0.4583333333333333,0.686059275521405,0.6684027777777778,0.6640729450726311,0.3807590514192175
3,2,1.0,balanced,0.35,11,0.1,9,126,267,14,308,0.9,0.8909090909090909,0.32061068702290074,0.4,0.4727954971857411,0.5521126760563381,0.6610703043022036,0.7153284671532847,0.6429614608883004,0.5967346782951946
3,3,1.0,balanced,0.45,9,0.1,10,104,163,20,435,0.8387096774193549,0.8289473684210527,0.3895131086142322,0.2903225806451613,0.5319693094629157,0.4300341296928328,0.6815203145478375,0.6046065259117083,0.598300069360163,0.4373960405111103
3,4,1.5,balanced,0.3,43,0.5,10,129,209,11,373,0.9214285714285714,0.9358974358974359,0.3816568047337278,0.29435483870967744,0.5397489539748954,0.44785276073619634,0.7182628062360802,0.6517857142857143,0.6936270908695547,0.6231427504182494
3,5,1.5,balanced,0.35,39,0.5,10,158,197,11,364,0.9349112426035503,0.8873239436619719,0.4450704225352113,0.3351063829787234,0.6030534351145038,0.4864864864864865,0.7662463627546072,0.6673728813559322,0.7405168666206806,0.5746979958810267
4,1,0.5,balanced,0.4,14,0.1,10,128,213,25,356,0.8366013071895425,0.888,0.375366568914956,0.43190661478599224,0.5182186234817814,0.581151832460733,0.6715634837355718,0.7331571994715984,0.6206255307581973,0.684056642476477
4,2,0.25,balanced,0.5,11,0.1,9,88,118,36,473,0.7096774193548387,0.8677685950413223,0.42718446601941745,0.4646017699115044,0.5333333333333333,0.6051873198847262,0.6267806267806267,0.7394366197183099,0.594615262789698,0.7256562780691426
4,3,2.0,balanced,0.25,12,0.1,10,124,358,4,236,0.96875,0.9333333333333333,0.2572614107883817,0.23728813559322035,0.4065573770491803,0.3783783783783784,0.6237424547283702,0.5882352941176471,0.6675514915182936,0.43914997502636677
4,4,1.5,balanced,0.35,14,0.1,10,125,208,14,375,0.8992805755395683,0.8717948717948718,0.37537537537537535,0.2918454935622318,0.5296610169491526,0.43729903536977494,0.703037120359955,0.6238532110091743,0.6123459042541555,0.5935603128986938
4,5,2.0,balanced,0.3,10,0.1,10,165,325,2,238,0.9880239520958084,0.9540229885057471,0.336734693877551,0.30855018587360594,0.502283105022831,0.46629213483146065,0.7124352331606217,0.6726094003241491,0.6456025896199993,0.5353518001042354
5,1,1.0,balanced,0.3,13,0.1,10,134,310,16,262,0.8933333333333333,0.920863309352518,0.30180180180180183,0.42105263157894735,0.4511784511784512,0.5778781038374717,0.6417624521072797,0.7441860465116279,0.5555627299909991,0.7281071133848916
5,2,1.5,balanced,0.4,7,0.1,9,100,190,24,401,0.8064516129032258,0.8818181818181818,0.3448275862068966,0.3265993265993266,0.4830917874396135,0.47665847665847666,0.6361323155216285,0.6580732700135685,0.6098732643171558,0.5883953212174916
5,3,0.5,balanced,0.45,10,0.1,10,78,186,27,431,0.7428571428571429,0.8507462686567164,0.29545454545454547,0.5302325581395348,0.42276422764227645,0.6532951289398281,0.5701754385964912,0.758988015978695,0.420904617291652,0.7623229173534445
5,4,2.0,balanced,0.35,9,0.1,10,153,200,12,357,0.9272727272727272,0.9166666666666666,0.43342776203966005,0.3941368078175896,0.5907335907335908,0.55125284738041,0.7551826258637709,0.7245508982035929,0.7671434341497207,0.592903209162458
