transcript_id,chunk_id,source_file,window_start,window_end,text,binary_hit,predicted_probability,predicted_label
RELABEL Chunk_Katy_ISD-2024-12-09-Board_Meetings - Chunk_Katy_ISD-2024-12-09-Board_Meetings,24,RELABEL Chunk_Katy_ISD-2024-12-09-Board_Meetings - Chunk_Katy_ISD-2024-12-09-Board_Meetings.csv,0:50:00,0:52:00,"[50:00–50:30]
capable of making sure my kids' reading materials meet my standards, which I can easily do through
the Libby app. This is an infringement on every student's First Amendment rights. Please unblock
Libby and let KDISD students have access to public libraries. This is an overreach, even for this
board. Thank you. Thank you. Sebastian Romero, followed by Ryan Price.

[51:00–51:30]
Good afternoon. My name is Sebastian Romero. I'm a senior at Taylor High School. In today's day and
age, technology is rapidly advancing and we're being provided with hundreds of new of new forms of
it day by day. As of right now, KDISC is not taking advantage of these opportunities. The problem?
Outdated HVAC systems. Aging and underfunded, these systems cause discomfort, respiratory illnesses,
abstinence, and poor academic performances due to low indoor environmental quality. Studies show
HVAC systems account for 57 56% of schools' energy use, much of it from burning fossil fuels, with
nearly forty percent of schools lacking.

[51:30–52:00]
fuel full cooling capacity, leaving them burnable to extreme weather. Inefficient ventilation fails
to remove contaminants, increasing disease spread as highlighted during the COVID nineteen pandemic.
Upgrading these systems is essential for healthier, safer and more effective learning environments.
The rising extreme weather condition events has highlighted the urgent need for the implementation
of electrification projects in school districts ac across Texas, with the high cost of electricity
limiting the amount of money going towards essential improvements. Establishing electrification
initiatives such as electric school buses not only supports the r reduction of",1,0.39285609352593814,0
RELABEL_Houston_ISD-2026-01-15-Board_Meetings - NEW_Copy of Houston_ISD-2026-01-15-Board_Meetings,46,RELABEL_Houston_ISD-2026-01-15-Board_Meetings - NEW_Copy of Houston_ISD-2026-01-15-Board_Meetings.csv,1:32:00,1:34:00,"[01:32:00–01:32:30]
Yes, is the answer, and thanks for bringing that up because we also do uh uh principal surveys, we
do teacher uh or climate surveys uh of schools, and for certain teachers who volunteer, we do
student surveys of uh you know the classroom environment, the instruction, the rigor, and the things
like that. But teachers have to volunteer for that, uh, and we can get you that data as well. Uh
we'll be doing that during the distinction.

[01:32:30–01:33:00]
During the distinguished teacher review process. So there's there's lots of surveys that we do. This
is just one of them. Back to the improving, uh, is your school improving? We we may, and we'll
debate this at with the team, but we may change the May survey to June so that they have the latest
data because that might help them on their child's NWA or their child's star or something like that.
Uh that might help them answer the question. Thank you. Anyone else?

[01:33:00–01:33:30]
Thank you so much. And uh one other thing on the survey, uh I have to say to the to the staff, I
know you also work really hard in your departments to take care of our kids and families, and it
must be a little rewarding.""
47,01:34:00,01:36:00,""",1,0.3837672535953956,0
RELABEL_Katy_ISD-2025-06-23-Board_Meetings - Katy_ISD-2025-06-23-Board_Meetings,95,RELABEL_Katy_ISD-2025-06-23-Board_Meetings - Katy_ISD-2025-06-23-Board_Meetings.csv,3:10:00,3:12:00,"[03:10:00–03:10:30]
I think we should not have it in our budget. Be closer to a balanced budget. And then again, what
I've seen our administration do is when there is money left over. 2019, I believe it was, we got a
late uh insurance payment. Maybe in 2020 it came in from Harvey or somewhere along those lines. And
we ended up doing a return to school August bonus. Oh sorry, not bonus, a one-time lump sum payment.
Uh and we did a

[03:10:30–03:11:00]
uh end-of-the-year payment because anytime those dollars have been there and it has been financially
responsible, our district, uh our financial office, this board has a history of doing the right
thing with that money, not just sitting it popping it in the bank account. We we wisely look at it
and and say, what is this best use for? Is our fund balance growing? Are we are we hitting those
buckets that allow us next time uh we run into some type of hyperinflation, we're able to run that
the way we have been.

[03:11:00–03:11:30]
Right? Because we've made wise decisions in the past, it's allowed us these past three years to
operate in a healthy way that we haven't had to add to fund balance, that we haven't had to make all
these super tough decisions. We we've made some tough decisions, but we haven't had to shut schools
down. Right? And so that that's why I would be uh in support of as it's written. Um but as we're
looking at that, unless anybody else has anything to add, Mr. President, Ms. Gazilla? Thank you. Um
so but as Mr. Smith uh presented last week, our projection.

[03:11:30–03:12:00]
Our projected fund balance as a percentage of expenses is less than the last two years, less than
the last two budgets. Okay, it's it's 27%. So it's it's gone down. Great. So we're in a really good
position. Of expenses. Excuse me. Am I looking at this correctly? Um balance. Yeah. The fund balance
as percent of expenses was 35.6%.",1,0.38341987323300325,0
RELABEL_Katy_ISD-2025-06-23-Board_Meetings - Katy_ISD-2025-06-23-Board_Meetings,12,RELABEL_Katy_ISD-2025-06-23-Board_Meetings - Katy_ISD-2025-06-23-Board_Meetings.csv,0:24:00,0:26:00,"[24:00–24:30]
Students upon graduation have the opportunity to then transition to full time employment within
KDISD. Our CDL program is one of only a few in the state of Texas. Launched in fall of 2023,
students who meet Text Dot requirements by being 18 years of age or older pass a text dot physical
and have a Class E driver's license are eligible to earn a Class A license. We have successfully
supported 79 students in five separate cohorts to obtain their Class A. While working on their
requirements in the

[24:30–25:00]
course, students gain the opportunity to meet with employers for postsecondary employment. Our
graduates have already transitioned into careers where they are able to put their achievements to
work as either a firefighter, military service, private sector, family owned businesses, and even,
as I mentioned last week, the KDISD Transportation Department. Just this past spring, we began to
include a forklift certificate to give our students another competitive advantage for post secondary
employment based upon feedback from students and employers. With the help of our contracted partner,
our

[25:30–26:00]
Contracted partner, RGV CDL Services. It should be noted that we are able to complete this program
completely on site with the exception of two trips to DPS to register and to get their actual
official license. New in fall 2025 is a brand new water operation licensing program. Seniors will
have the opportunity to participate in an apprenticeship program where they will earn their clean
and wastewater certificate. Upon successful completion, they will be offered the opportunity to
become employed.",1,0.382475028082139,0
RELABEL Katy_ISD-2026-01-20-Board_Meetings - Chunk_Houston_ISD-2026-01-20-Board_Meetings,56,RELABEL Katy_ISD-2026-01-20-Board_Meetings - Chunk_Houston_ISD-2026-01-20-Board_Meetings.csv,1:58:00,2:00:00,"[01:58:00–01:58:30]
Um just that we're beginning discussing just looking at balancing our budget. Yeah, I mean that was
it. Uh and then uh academic committee met, uh believe was it last week? Is there any updates there?
So our academic committee is always very, very interesting. There m uh Mrs. Martinez and Ms. Kaske,
Dr. Kaskey and uh Dr. Bell always have

[01:58:30–01:59:00]
Have so much information, like deep and wide information. And uh we spend a lot of time asking and
and figuring all that out. And we talked um about the presentation we got at the work study meeting,
and then we looked at a lot of data, and then we saw the report she has coming there, and then we
get a lot of information about the one pagers, and then on that one pager that they send to all of
us board members link after link after link to click on to dive as deeply as we want to.

[01:59:30–02:00:00]
and um data down to every campus, uh every s every grade level, third graders across KDSD, all the
way through. It's very, very informative and deep and wide and intense and fabulous because KDSD is
so good at all of that. But so if you want any information specific, it's it's in our reports, but
also ask us and James and I'd be uh doc uh Mr Cross and I'd be happy.",1,0.3813368884421955,0
RELABEL_Katy_ISD-2025-06-23-Board_Meetings - Katy_ISD-2025-06-23-Board_Meetings,13,RELABEL_Katy_ISD-2025-06-23-Board_Meetings - Katy_ISD-2025-06-23-Board_Meetings.csv,0:26:00,0:28:00,"[26:00–26:30]
with companies like Inframark. This new exciting opportunity is geared towards supporting community
by ensuring clean water is available. The communications department has prepared a promotional video
for you guys right now. ISD's water operations licensing program takes you through the fundamentals
of career opportunities in clean water. Certified professionals keep water systems running safely
and efficiently. Hands on training and mentorship from industry experts offers career ready you can
put to work right away. Guided by professionals, you'll gain a

[26:30–27:00]
real world understanding of water solutions. Jumpstart your career with KDISD's water operations
licensing program now enrolling. Find out more at KDISD.org, Dr. Grooms. Our dual credit real estate
license program was new this past year. This program is a two year requirement that culminates in a
practicum course where students work directly with industry experts at real estate offices to learn
the real

[27:00–27:30]
world implications of the coursework they have completed over the past year and a half. In just our
first year, we had over 20 students successfully complete the first year, and over 80 students are
currently signed up to start this coming fall. Students, after setisfying all course requirements,
will be eligible to take their state real estate license test and become a real estate agent in the
state of Texas. I am proud to say that Raines Academy is a place where lives are transformed to
support in a hybrid setting higher education, certifications, and real world experiences.

[27:30–28:00]
We work tirelessly to build capacity with our students to reach a future that wasn't always within
their grasp. As Art Williams once said, I'm not telling you it's going to be easy, I'm telling you
it's going to be worth it. So here we have a graduate from every high school we've supported since
we have opened. I'm open to any questions you guys may have. Thank you, Mr. Mayerman. Board, are
there any questions? I have a question. Ms. Kalkin? Specific to",1,0.3810330531160719,0
RELABEL_Houston_ISD-2024-11-14-Board_Meetings - Houston_ISD-2024-11-14-Board_Meetings,27,RELABEL_Houston_ISD-2024-11-14-Board_Meetings - Houston_ISD-2024-11-14-Board_Meetings.csv,0:54:00,0:56:00,"[54:00–54:30]
Good evening. My name is Lawrence Dean. I'm a first-time speaker. I'm also an HISD an alumni. I'm an
HISD parent times two. And I'm also an HISD taxpayer times two because both my home and the business
that I own are within HISD's boundaries. That means I think I'm uh funding a lot of adult spin bikes
and strange little triangle-shaped uh desks that uh where books should be

[54:30–55:00]
Mike Miles, your media comments after this election just further show that you are so ensconced in
your own echo chamber that you are impervious to learning and impervious to community feedback. But
I applaud the self reflection of the Board of Managers in recent days. I'm hopeful that this is the
beginning of authentic, true engagement and communication between the community and the BOM, not
just a scripted meeting telling us what we should think and what we should feel about things. Our
kids, our community.

[55:30–56:00]
Speaker number twelve, please. Vaughn, HISD parent. I have been at an utter loss to understand how
this board can watch day in and day out as Miles and his administration decimate our schools. And it
finally occurred to me that you must just have bad information, that you're looking at the
accountability scores that have been meticulously engineered by this administration and taking them
at face value. That maybe it hasn't occurred to any of you that NES pedagogies based on strict state
mandated curricula might show an artificially great return on state mandated tests. Perhaps you're
unaware.",1,0.3799211731183529,0
RELABEL Katy_ISD-2026-01-20-Board_Meetings - Chunk_Houston_ISD-2026-01-20-Board_Meetings,22,RELABEL Katy_ISD-2026-01-20-Board_Meetings - Chunk_Houston_ISD-2026-01-20-Board_Meetings.csv,0:46:00,0:48:00,"[46:00–46:30]
As in other divisions, the secondary instrumental division has summer camp opportunities. We hold
two junior high band summer camps, two junior high orchestra camps, and additionally, we have a
secondary jazz camp for high school and junior high students. The data is clear regarding the
effects of musical training and its direct correlation with student academic achievement. The
following data demonstrates how consistent involvement in music learning affects academic scores.
KDIC music students scored

[47:00–47:30]
174 points above the national SAT average and 236 points above the Texas average SAT score.
Furthermore, KDIC music students scored 138 points higher than the overall KDIST average. To dive
deeper, KDISD Allstate musicians, these are the students that spend the most time practicing their
craft, scored 317 points higher than the national SAT average, 382 points above the Texas average,
and 281 points above a

[47:30–48:00]
Points above our own KDISD SAT average. And the grade point average of these all state musicians was
a 4.35. Students have shown how music learning, studies have shown how music learning has affected
brain development. Children with musical training show significantly stronger structural and
functional brain connectivity, especially in the areas tied to language, memory, and executive
function. Furthermore, music appears to strengthen the bundled nerves that connects the left and
right hemispheres of the brain. This improved inter hemispheric communication.",1,0.379253127410543,0
RELABEL_Houston_ISD-2025-08-14-Board_Meetings - Chunk_Houston_ISD-2025-08-14-Board_Meetings,56,RELABEL_Houston_ISD-2025-08-14-Board_Meetings - Chunk_Houston_ISD-2025-08-14-Board_Meetings.csv,1:52:00,1:54:00,"[01:52:00–01:52:30]
fifth grade students who were already using the HISD math curriculum scored at or below the district
average. Last year's second and third grade students thrived by receiving a carefully planned
curriculum, and their scores support this. This year's students and teachers are being forced into a
system that has not produced the same level of success and with almost no time for teachers to
adjust. This story is to be continued. We are not opposed to necessary changes. We are opposed to
poorly planned disruption without proper support and resources.

[01:52:30–01:53:00]
Hello, my name is Lauren Neemeyer. I'm also a Duran elementary parent. Unfortunately, the story
doesn't end there even after the first day of school. After students had settled into their
classrooms, teachers were informed of yet another last minute change. Despite having Miss Balderis
and other district leadership on site, during much of the professional development time on campus,
teachers were required to rearrange their classrooms, desks during the first day of school. Some
were rearranged in the middle of the day, while others were at least given the opportunity to
rearrange desks after school. The next day, children walk into their second day of school, found
classrooms with unfair.

[01:53:00–01:53:30]
On classrooms with unfamiliar layouts, their routines were disrupted, their sense of stability
shaken, their ability to focus were affected before the day even began. For young children,
classroom and environment is foundational. And for teachers, it meant another day of scrambling to
adapt. If classroom layouts uh were unacceptable, there was ample opportunity to provide their
feedback prior to students arriving on campus. Mr. Mell board your comments today earlier conveyed
to me a respect and reverence for teachers. This is not that. It's disrespectful. Thank you.

[01:53:30–01:54:00]
Speakers 21 through 30, please move to the front row. Should I wait? No, go ahead. Okay. Um, Nicole
Felice, another Durham parent, thank you. Uh the pattern of last-minute high impact changes
highlights exactly what we've been trying to communicate. It's not the change itself that's the
problem. Durham Elementary welcomes thoughtful adjustments and improvement improve student learning
outcomes. The problem is when changes are made suddenly, without time to prepare, adapt, or",1,0.3753372560023784,0
RELABEL_Houston_ISD-2024-11-14-Board_Meetings - Houston_ISD-2024-11-14-Board_Meetings,10,RELABEL_Houston_ISD-2024-11-14-Board_Meetings - Houston_ISD-2024-11-14-Board_Meetings.csv,0:20:00,0:22:00,"[20:00–20:30]
party when I read 40 books. I learned that I like fantasy books and poetry books through the 40 book
challenge. This year I'm on the name that book team for my school. My librarian and my teacher
taught me how to do reset research and site references. This summer I saw pictures of the school
library at SQ before it had books on the shelf and looked like my library at Harvard. Then H ISD
closed the library there.

[20:30–21:00]
There and at 27 other schools. Now the library at ASCU looks sad. Kids have to go there to do extra
work, teams. It isn't fair that some kids in HISD don't have a library at school. According to the
National Center for Education Statistics, more than 50 years of research across more than 60 studies
show that students with access to read well resourced school libraries.

[21:30–22:00]
With certified librarians, perform better academically. If you want students to improve
academically, please put libraries and librarians back into the schools that you took them out of.
Books and libraries are important for kids. It's not a library if it doesn't have a library. It's
just a room with books. Thank you. Thank you, Pearson. Rose Walter, please. William Rigley.",1,0.3710427282798409,0
