seed,fold,best_c,best_class_weight,best_threshold,n_features_selected,lasso_c_chosen,n_test_transcripts,test_true_positive,test_false_positive,test_false_negative,test_true_negative,test_recall,val_recall,test_precision,val_precision,test_f1,val_f1,test_f2,val_f2,test_average_precision,val_average_precision
1,1,,None,0.05,768,,10,106,76,37,503,0.7412587412587412,0.8627450980392157,0.5824175824175825,0.5789473684210527,0.6523076923076923,0.6929133858267716,0.7029177718832891,0.7857142857142857,0.7284502741342943,0.8048455747970705
1,2,,None,0.05,768,,9,124,196,16,379,0.8857142857142857,0.8888888888888888,0.3875,0.4148148148148148,0.5391304347826087,0.5656565656565656,0.7045454545454546,0.7235142118863049,0.7579792618832281,0.7191628485561953
1,3,,None,0.15,768,,10,115,206,13,388,0.8984375,0.923728813559322,0.3582554517133956,0.39492753623188404,0.512249443207127,0.5532994923857868,0.6902761104441777,0.7286096256684492,0.7502537807224506,0.6724447007767628
1,4,,None,0.05,768,,10,115,106,18,483,0.8646616541353384,0.8653846153846154,0.5203619909502263,0.4433497536945813,0.6497175141242938,0.5863192182410424,0.7636122177954847,0.7269789983844911,0.7403701959860737,0.6994705950622724
1,5,,None,0.05,768,,10,137,112,30,451,0.8203592814371258,0.8091603053435115,0.5502008032128514,0.6162790697674418,0.6586538461538461,0.6996699669966997,0.7470010905125409,0.7614942528735632,0.7605875988060166,0.7831590593211988
2,1,,None,0.05,768,,10,144,231,15,332,0.9056603773584906,0.943502824858757,0.384,0.4394736842105263,0.5393258426966292,0.599640933572711,0.712166172106825,0.7674632352941176,0.6985324170239302,0.7469197693376874
2,2,,None,0.05,768,,9,102,162,22,429,0.8225806451612904,0.8558558558558559,0.38636363636363635,0.5307262569832403,0.5257731958762887,0.6551724137931034,0.6710526315789473,0.7624398073836276,0.7006049934688893,0.7097061119138608
2,3,,None,0.1,768,,10,99,158,13,452,0.8839285714285714,0.9120879120879121,0.3852140077821012,0.4322916666666667,0.5365853658536586,0.5865724381625441,0.7021276595744681,0.7464028776978417,0.7644346948597578,0.74747647533254
2,4,,None,0.05,768,,10,142,246,7,327,0.9530201342281879,0.958041958041958,0.36597938144329895,0.4241486068111455,0.5288640595903166,0.5879828326180258,0.7215447154471545,0.7653631284916201,0.7511108384755363,0.7342204728060191
2,5,,None,0.05,768,,10,152,156,15,407,0.9101796407185628,0.825,0.4935064935064935,0.40993788819875776,0.64,0.5477178423236515,0.7786885245901639,0.6860706860706861,0.7731338658235725,0.6422000225256924
3,1,,None,0.25,768,,10,119,161,19,423,0.8623188405797102,0.925,0.425,0.4111111111111111,0.569377990430622,0.5692307692307692,0.7151442307692307,0.74,0.7152401582890928,0.6596439964084988
3,2,,None,0.15,768,,9,125,183,15,392,0.8928571428571429,0.8818181818181818,0.40584415584415584,0.48743718592964824,0.5580357142857143,0.627831715210356,0.7200460829493087,0.758998435054773,0.7582100708668453,0.706697254072641
3,3,,None,0.2,768,,10,110,124,14,474,0.8870967741935484,0.868421052631579,0.4700854700854701,0.43137254901960786,0.6145251396648045,0.5764192139737991,0.7534246575342466,0.7221006564551422,0.7488027555709776,0.6788240061605938
3,4,,None,0.1,768,,10,123,139,17,443,0.8785714285714286,0.8333333333333334,0.46946564885496184,0.3735632183908046,0.6119402985074627,0.5158730158730159,0.7481751824817519,0.668724279835391,0.7393904224136725,0.6722379589031227
3,5,,None,0.2,768,,10,139,142,30,419,0.8224852071005917,0.8028169014084507,0.49466192170818507,0.41911764705882354,0.6177777777777778,0.5507246376811594,0.7262277951933125,0.6785714285714286,0.7360977704490672,0.6118921883441358
4,1,,None,0.25,768,,10,127,152,26,417,0.8300653594771242,0.88,0.4551971326164875,0.4845814977973568,0.5879629629629629,0.625,0.712682379349046,0.7565337001375516,0.7093127620171852,0.7341166581801682
4,2,,None,0.05,768,,9,102,132,22,459,0.8225806451612904,0.9421487603305785,0.4358974358974359,0.4935064935064935,0.5698324022346368,0.6477272727272727,0.6986301369863014,0.7972027972027972,0.7235725570317695,0.8256003337076083
4,3,,None,0.05,768,,10,107,109,21,485,0.8359375,0.8111111111111111,0.49537037037037035,0.5367647058823529,0.622093023255814,0.6460176991150443,0.7348901098901099,0.7358870967741935,0.7498727606957747,0.7484648073499567
4,4,,None,0.05,768,,10,114,98,25,485,0.8201438848920863,0.8846153846153846,0.5377358490566038,0.4791666666666667,0.6495726495726496,0.6216216216216216,0.7421875,0.756578947368421,0.7446257163614426,0.755196594295939
4,5,,None,0.1,768,,10,137,107,30,456,0.8203592814371258,0.8390804597701149,0.5614754098360656,0.6403508771929824,0.6666666666666666,0.7263681592039801,0.7510964912280702,0.79004329004329,0.7552647713316204,0.7882709512234087
