neighborhood_label,neighborhood,transcript_id,chunk_id,tsne_x,tsne_y,text,window_start,window_end
A,0,RELABEL NEW2_Chunk_Houston_ISD-2024-11-19-Special_Board_Meeting - Chunk_Houston_ISD-2024-11-19-Special_Board_Meeting,8,52.540314,-14.385632,"[16:00–16:30]
I don't have to want any of the questions. Okay. Um, Ms. Heiner, I'm sorry, you haven't you haven't
registered to speak today. Thank you though. Um okay. The purpose of this special meeting is to
canvas and accept the official results of the November fifth, twenty twenty four schoolhouse bond
election. May I have a motion to canvas and accept these official results. So moved. I will second
that motion. Do we need to do it? I guess we have to do it this way.

[17:00–17:30]
Do I go ahead and read this? Yes, okay. The official results are as follows. Houston Independent
School District Proposition A. On November 5th, 2024, Proposition A received 187,634 or 42.07% of
the total votes cast in favor of the proposition, compared to 258,373 or 57.93% of votes cast
against the proposition, which is a majority of the votes cast. Proposition A was defeated.

[17:30–18:00]
Houston Independent School District Proposition B. On November 5th, 2024, Proposition B received
184,787 or 41.8% of the total votes cast in favor of the proposition, compared to 257,262 or 58.2%
of votes cast against the proposition, which is the majority of the votes cast. Proposition B was
defeated. The official tabulation of the results of the election, including precinct level returns,
is contained in the attachment to the order canvassing returns and",0:16:00,0:18:00
A,0,RELABEL_Chunk_Katy_ISD-2025-12-08-Board_Meetings - Chunk_Katy_ISD-2025-12-08-Board_Meetings,10,59.68245,-0.7192822,"[20:00–20:30]
Trustees, thank you for giving me this opportunity to speak to you tonight. I'm Ron Stefani. I've
been a resident of Cinco Ranch 2 for over 15 years. My daughter graduated from Tompkins High School.
I'm here to address something fundamental to the health of our district's governance, and that is
voter turnout and school board elections. KDISD holds its board elections in May, and turnout has
been abysmally low, only 5 to 7 percent. That means over

[20:30–21:00]
90% of voters are not participating in choosing the leaders who direct a billion-dollar budget and
make decisions affecting 95,000 students and over 14,000 employees. This is not partisan. This is
not about who wins. This is about whether our community participates. We already know how to fix
this because we saw it happen here. In November 2020, the COVID year, the board the one year.

[21:30–22:00]
or board election aligned with a general election, turnout soared from single digits to 75%. Not
because interest suddenly surged, I want to repeat that. Not because interest suddenly surged, but
because November is when people vote. Meanwhile, may elections catch voters off guard. Five to seven
percent turnout is not a mandate. It does not reflect the will of this community. Moving board
elections",0:20:00,0:22:00
A,0,RELABEL_Chunk_Katy_ISD-2025-12-08-Board_Meetings - Chunk_Katy_ISD-2025-12-08-Board_Meetings,11,60.445198,-2.4467895,"[22:00–22:30]
to November of even numbered years would fix that. Here's why. Turnout skyrockets, often 60 to 75
percent, in even year November. Voters have already spoken. They participate in November. By keeping
elections in May, we choose a system that excludes the vast majority of taxpayers, parents, and
community members from having a voice. And it favors splinter.

[22:30–23:00]
Splinter groups. By moving elections to November, we strengthen legitimacy, transparency, and trust
in the board. So I ask the trustees to take one simple step. Please move board elections to November
starting in 2026. Let's give our community its voice back. Let's make our elections representative
again. And let's align with what voters have made clear. They don't show up in May, but they
absolutely show up in November. Thank you. Thank you.

[23:00–23:30]
Next next is Mr. Sean Dolan, followed by Donna McClur McElmury. Good evening. Uh as an Eagle Scout,
it's always good to see the Girl Scouts represented. Uh they they tend to get overshadowed a lot, so
it's great seeing that in the lobby. A couple of weeks ago, my son and I visited the state capitol.
Uh my son put on a suit, stood tall, uh, shook hands with a bunch of leaders, and enjoyed a tour
with uh state rep Michael Schofield. Uh and then we met a friend of mine in the Governor Abbotsall.

[23:30–24:00]
Governor Abbott's office, and after a few moments of talking with my son, she looked at him and she
said, You know, you're incredibly well spoken. And as proud as I was, I uh flash back to the day we
received my son's diagnosis, that uh moment that a lot of parents go through where your world kind
of tilts, and you wonder if your child is gonna be okay or if they're gonna fit in or if they're
gonna find their place. And um, my son is who he is today, in large part because of the
paraprofessionals people like Katie Elementary's Miss Jenny and Miss Adrian. Um",0:22:00,0:24:00
A,0,RELABEL_Chunk_Katy_ISD-2025-12-08-Board_Meetings - Chunk_Katy_ISD-2025-12-08-Board_Meetings,13,60.307213,-0.7725332,"[26:00–26:30]
tiny fraction of the district's overall budget and less than 2% of the fund balance. If we can
afford optional expenses, we can afford the people who shape our children's future. Thank you. Thank
you. Donna McIlmurray, followed by Margaret Daniel. My name is Donna McIlmurray, and I'm speaking on
the topic of election days.

[26:30–27:00]
Regarding the issue of when school board elections are held, I strongly urge the board to move our
elections to November. For the last 10 years, KDISD board elections in May have had single-digit
voter turnout. In the most recent election, May of 2025, turnout was only 7.5% of district voters,
which means nearly 93% of eligible voters did not participate. In May 2016,

[27:00–27:30]
2016, only 2% voted, and in May 2017, only 2.5% voted. Over the last decade, excluding 2020, that
means roughly 93 to 98 percent of our voters did not vote in our school board elections. This
extremely small fraction of voters is choosing board members who oversee an operating budget of more
than 1 billion dollars and make critical educational decisions affecting tens of thousands of
students.

[27:30–28:00]
To give one example, this past May, one of the races was effectively decided by about 0.6% of our
approximately 240,000 district voters. I would hope the board wants greater representation from the
community in determining who holds these important positions. In my own neighborhood, I've seen
firsthand that before a May election, most voters don't even realize an election is taking place. By
contrast,",0:26:00,0:28:00
A,0,RELABEL_Chunk_Katy_ISD-2025-12-08-Board_Meetings - Chunk_Katy_ISD-2025-12-08-Board_Meetings,19,59.98944,0.08266879,"[38:30–39:00]
district this size. The fact speaks for themselves, voter turnout in November is dramatically higher
than in May. If we genuinely value community representation, representation, transparency, and broad
participation, then we should want elections held when the greatest number of voters are actually
paying attention. May elections are practically invisible. Most residents don't know they exist. And
year after year, turnout remains shockingly low in the single digits. This past May, turnout reached
about 7%, and that

[39:00–39:30]
was somehow considered a success. But let's be honest, 7% participation is not a success. It is a
failure of representation. And low turnout elections allow small organized groups to dominate the
results. Look at the scale of the numbers. KDISD has approximately 13,000 employees, all of whom are
directly or indirectly under the superintendent and district administration. We have 5,000 to 6,000
18 year olds who are inevitably influenced subtly or if not by their teachers. Meanwhile, total

[39:30–40:00]
voter turnout in recent May elections has often been just eight thousand to eighteen thousand versus
two hundred forty thousand registered voters. When those numbers are compared side by side, it
becomes impossible to ignore. May elections create conditions where narrow interests can outweigh
the broader community. This is not healthy, that is not democratic, and this is not the image KD ISD
should want for itself. KDISD has grown tremendously in size and diversity over the last decade. Our
school board elections should be a very important thing.",0:38:00,0:40:00
A,0,RELABEL_Chunk_Katy_ISD-2025-12-08-Board_Meetings - Chunk_Katy_ISD-2025-12-08-Board_Meetings,20,61.211258,-0.31175527,"[40:00–40:30]
School board elections should reflect that reality. Candidates should be expected to campaign across
the entire district to reach out to all voters and to earn the trust of every community, not just a
small circle of consistent May voters or familiar insiders. Some call that group informed voters.
Many in the public see something very different. And I want to raise one additional concern. Last
month, Trustee Kazella proposed creating an ad hoc committee to seriously study this issue.
President Redmond, you said you would consider it. To date, there has been no update that I've

[40:30–41:00]
seen or heard about, and the community deserves transparency and a clear answer. Has this request
been acted on, or is it being quietly swept aside? The community deserves transparency and a clear
answer. Thank you. Thank you. Next will be Ms. Claudia Turkoff. Good evening, trustees and Dr.
Grigorsky. I'm here tonight to advocate for moving May school board elections to the month of
November. KDISD has historically had a bid.

[41:00–41:30]
Historically had abysmally low voter turnout. Last year was the highest turnout ever at 7.5%, with
the exception of 2020, which was a November election, also. That means basically 93% of the
electorate are unrepresented. KDISD should be doing everything possible to ensure the broadest
participation of its citizens. In contrast, most bond elections do take place in November. I find
that odd. Why wouldn't the people who we elect to approve said bond packages not also be afforded
the same accessibility and visibility that an

[41:30–42:00]
Visibility that a November election would offer. Also, and I'm truly asking this question because I
don't know, would it not be more cost effective given that November elections take place every other
year instead of the annual May elections? And I also feel like I need to say that if Ms. Cuzella's
idea of an ad hoc committee had been followed through on maybe there could have been ways that y'all
could have discussed bringing that into a reasonable budget or a comparable budget to the May
elections. I've listened to some of the discussion on this topic in previous meetings. I have yet to
hear a",0:40:00,0:42:00
A,0,RELABEL_Chunk_Katy_ISD-2025-12-08-Board_Meetings - Chunk_Katy_ISD-2025-12-08-Board_Meetings,64,59.14091,-3.171068,"[02:08:30–02:09:00]
voter turnout. So, in case you missed it, just to reiterate in case anyone's listening for the first
time, previous board meeting, I said May voter turnout, as did many speakers tonight, has only had
single digit turnout since the history of this district, two to seven percent. And in contrast, we
held a November 2020 board election during COVID. There was a 77% voter turnout. Last month, both
trustees Fox and Champaign stated that they think there are way more uninformed voters in November
elections compared to May. That's a

[02:09:00–02:09:30]
quote of uninformed. So according to them, uh uninformed voters can pass bonds, I guess, in
November, because seven of the last ten bond elections have been in November. But informed quote
voters can vote for school board elections and uh school board members in May. Mr. Graham had
mentioned that also in our last board meeting the district has had a 400% increase in voter turnout.
That's uh uh might uh perk your ears, but to be clear, 400% of small number is still a small number.
Um I think he was comparing a two to eight.

[02:09:30–02:10:00]
percent voter turnout over the last ten years in May. Um that is 400% increase, but it's still
single digit voter turnout and it's not even 10%. So a term extensions were brought up by a couple
of our board members and uh tonight as well. To be clear, uh I'm gonna reiterate all board members'
terms would be extended in a uniform way as we transition from a May to November election. Our terms
would extend by six months to one and a half years in November of an even year. It just depends on
the board number here.",2:08:00,2:10:00
A,0,RELABEL_Chunk_Katy_ISD-2025-12-08-Board_Meetings - Chunk_Katy_ISD-2025-12-08-Board_Meetings,65,59.587456,-4.3628545,"[02:10:00–02:10:30]
Here. It's not just myself, Teamy, and Calhoun. Or it would be a one and a half to two and a half
year extension in our terms if we had vote if we vote on a November of an odd year election. And
that's something I detailed in a document that I shared with the board. This is just in the
transition from a yearly May election to every other year November election. And then moving
forward, any new board member that were elected, it'd be just a simple four-year term instead of a
three-year term. And we'd have elections every other year.

[02:10:30–02:11:00]
We heard some of that from our speakers. In our past May school board elections, many voters were
confused which poll to go to. When KDISD administers the elections, the voters are required to use
our polls, which are our schools, and that is totally different than where many of the county polls
are, so they're confused. We had uh when we had if we had were to have a joint November election,
this confusion would go away because the polls would then be the regular county polls that they're
already familiar with. Um there's also voter fatigue to consider in addition.

[02:11:00–02:11:30]
to voter confusion. Next year, as it stands, voters are going to be asked to turn out for three
elections the primary in March, in May for school board, and then again in November. So let's do our
part to streamline the election timeline for the voters and keep it to just March and November and
simplify the poll sites to the county polls. And then definitely costs. We need to talk costs. I did
some additional analysis given the election costs that were shared with the board from the district.
We all have five costs, excuse me, costs for five different elections.

[02:11:30–02:12:00]
Elections, the November 2020 bond election, the November 2023 bond election, and the last three May
board elections, 2023, 24, and last year, 2025. So I added a few columns on this spreadsheet that
you have a copy of, and you also received electronically from Dr. Grigorsky. And what I added was
what's in purple, it's highlighted. Because what we need to do when we look at the cost in comparing
these November elections to our May elections, we need a yearly.",2:10:00,2:12:00
A,0,RELABEL_Chunk_Katy_ISD-2025-12-08-Board_Meetings - Chunk_Katy_ISD-2025-12-08-Board_Meetings,66,60.937733,-6.382291,"[02:12:00–02:12:30]
basis cost. May elections happen every year, so there's a cost every year. Uh and it is not seventy
thousand. I think I was the one who quoted that estimate uh based on something Mr. Graham had said
in prior months, but it was just estimates. But our May elections are roughly $148,000 each month.
Um they've gone down a little bit last year. That's on your spreadsheet. The November biennial
costs, all of that needed to be divided by two to compare apples to apples with May. So that's quite
a quite a difference. So your half a million is actually

[02:13:00–02:13:30]
not half a million, it's half of that. It's 260,000 for a November in an even year. So what I did on
your spreadsheet board is in that purple box I distilled that information down and I ranked the five
elections by turnout and I put next to it a unit cost. That's the other thing we need to look at.
And that unit that I used is the same unit the district proposed on the spreadsheet, which is a cost
per ballot cast. So how much does it cost for each voter when they cast a ballot? So in first place
is the November 2020 even year election.

[02:13:30–02:14:00]
Even your election with 77% turnout, it's only $1.68 per ballot cast. In second place is your
November of 2023 odd year. There was 14% turnout, quite a bit lower, but that's still double the
highest turnout of a May election we've ever had. So 14% and the cost per ballot cast is $5.47
there. And then the three May elections, uh I did receive your updated cost information. Um I think
that came from Mr. Graham, I'm not exactly sure.",2:12:00,2:14:00
A,0,RELABEL_Chunk_Katy_ISD-2025-12-08-Board_Meetings - Chunk_Katy_ISD-2025-12-08-Board_Meetings,68,55.36633,-3.100205,"[02:16:00–02:16:30]
read lots and lots and lots and lots of pages and pages of things that master um educators have
spent lots of time researching the the way voters vote and so forth. But I will like to clarify, I
did say low low information or whatever, but that is what they're known, that's what you know
they're referred to. Some pe you know, some scholars refer, but I will say it's low really what it
is is low information about certain candidates in the lower level of uh on the ballot. So it's not
necessarily

[02:17:00–02:17:30]
that they're low informed. It's just that they have lower information about these certain
candidates. So what I've written is that you want to change our elections to November so though so
that more community members have a vote in our electoral process, which by the way, I would love to
have also. I'd love to have more, you know, higher voter turnout. However, turnout alone is not the
only important measure of an electoral system's success. Voters might participate in elections, but
may

[02:17:30–02:18:00]
not understand the choices they are making, particularly in the low the lower on the ballot that
they go. And by the way, voter fatigue is also referred to in a lot of these studies and they're
talking about the voter fatigue with such a long ballot. So the further they go down on the ballot,
you know, kind of the more exhausted they are and the less that they know about people. The decision
to vote in election cycle does not lead to equal attention across all positions. Lower level
positions do not have the same attraction as more prominent positions and potential voters may not
pay",2:16:00,2:18:00
